The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Throughout interphase, human Myt1 localizes to the endoplasmic reticulum and Golgi complex, whereas Cdc2 - cyclin B1 complexes shuttle between the nucleus and the cytoplasm.	"Myt1	29	33	Gene_or_gene_product"	"[{""token"": ""Myt1"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
The COOH - terminal 63 amino acids of Myt1 were identified as a Cdc2 - cyclin B1 interaction domain.	"Myt1	38	42	Gene_or_gene_product"	"[{""token"": ""Myt1"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"
We now report the identification and characterization of a novel IRAK - like molecule.	"IRAK	65	69	Gene_or_gene_product"	"[{""token"": ""IRAK"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
In addition, we show for the first time that members of the IRAK family are indispensable elements of lipopolysaccharide signal transduction.	"IRAK	60	64	Gene_or_gene_product"	"[{""token"": ""IRAK"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"
However, the molecular mechanism by which A20 exerts this effect is still unclear.	"A20	42	45	Gene_or_gene_product"	"[{""token"": ""A20"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
MAO ( monoamine oxidase) A and B are key isoenzymes that degrade biogenic and dietary amines.	"B	31	32	Gene_or_gene_product"	"[{""token"": ""B"", ""start_span"": 31, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
In contrast, MAO B KO mice do not exhibit aggression and only levels of PEA are increased.	"MAO B	13	18	Gene_or_gene_product"	"[{""token"": ""MAO B"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
The stabilization of beta - catenin is a key regulatory step during cell fate changes and transformations to tumor cells.	"beta - catenin	21	35	Gene_or_gene_product"	"[{""token"": ""beta - catenin"", ""start_span"": 21, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
Phosphorylation of Ser - 241 is essential for the activity of 3 - phosphoinositide - dependent protein kinase - 1: identification of five sites of phosphorylation in vivo.	"3 - phosphoinositide - dependent protein kinase - 1	62	113	Gene_or_gene_product"	"[{""token"": ""3 - phosphoinositide - dependent protein kinase - 1"", ""start_span"": 62, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}]"
Ser - 241, unlike the other phosphorylation sites on PDK1, was resistant to dephosphorylation by protein phosphatase 2A ( 1).	"PDK1	53	57	Gene_or_gene_product"	"[{""token"": ""PDK1"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Post - translational acetylation of histone H4 N - terminal tail in chromatin has been associated with several nuclear processes including transcription.	"histone H4	36	46	Gene_or_gene_product"	"[{""token"": ""histone H4"", ""start_span"": 36, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
We report the purification and characterization of a native multisubunit complex ( NuA4) from yeast that acetylates nucleosomal histone H4.	"histone H4	128	138	Gene_or_gene_product"	"[{""token"": ""histone H4"", ""start_span"": 128, ""end_span"": 138, ""type"": ""Gene_or_gene_product""}]"
All four conserved lysines of histone H4 can be acetylated by NuA4.	"histone H4	30	40	Gene_or_gene_product"	"[{""token"": ""histone H4"", ""start_span"": 30, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
We have identified the catalytic subunit of the complex as the product of ESA1, an essential gene required for cell cycle progression in yeast.	"ESA1	74	78	Gene_or_gene_product"	"[{""token"": ""ESA1"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}]"
Two co - existing mechanisms for nuclear import of MAP kinase: passive diffusion of a monomer and active transport of a dimer.	"MAP kinase	51	61	Gene_or_gene_product"	"[{""token"": ""MAP kinase"", ""start_span"": 51, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
We then show that nuclear entry of MAPK through a nuclear pore occurs via two distinct mechanisms.	"MAPK	35	39	Gene_or_gene_product"	"[{""token"": ""MAPK"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
These results suggest that monomeric and dimeric forms of MAPK enter the nucleus by passive diffusion and active transport mechanisms, respectively.	"MAPK	58	62	Gene_or_gene_product"	"[{""token"": ""MAPK"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}]"
The structure of phosphorylated p38gamma is monomeric and reveals a conserved activation - loop conformation.	"p38gamma	32	40	Gene_or_gene_product"	"[{""token"": ""p38gamma"", ""start_span"": 32, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
The structure of P38alpha MAP kinase has been determined in the apo, unphosphorylated, inactive form.	"P38alpha MAP kinase	17	36	Gene_or_gene_product"	"[{""token"": ""P38alpha MAP kinase"", ""start_span"": 17, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
RESULTS: We have determined the structure of doubly phosphorylated P38gamma in complex with an ATP analog by X - ray crystallography.	"P38gamma	67	75	Gene_or_gene_product"	"[{""token"": ""P38gamma"", ""start_span"": 67, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}]"
This is the first report of a structure of an activated kinase in the P38 subfamily, and the first bound to a nucleotide.	"P38	70	73	Gene_or_gene_product"	"[{""token"": ""P38"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"
P38gamma residue phosphoryl - Thr183 forms hydrogen bonds with five basic amino acids, and these interactions induce an interdomain rotation.	"P38gamma	0	8	Gene_or_gene_product"	"[{""token"": ""P38gamma"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
CONCLUSIONS: Interactions mediated by phosphoryl - Thr183 induce structural changes that direct the domains and active - site residues of P38gamma into a conformation consistent with catalytic activity.	"P38gamma	138	146	Gene_or_gene_product"	"[{""token"": ""P38gamma"", ""start_span"": 138, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}]"
Nuclear localisation of Ace2p is restricted to late M and early G phases of the mitotic cell cycle.	"Ace2p	24	29	Gene_or_gene_product"	"[{""token"": ""Ace2p"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
We show here that this nuclear localisation is directly associated with regulation of CTS1 expression.	"CTS1	86	90	Gene_or_gene_product"	"[{""token"": ""CTS1"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}]"
Ace2p is therefore controlled throughout the cell cycle at three levels: transcription, nuclear localisation, and proteolysis.	"Ace2p	0	5	Gene_or_gene_product"	"[{""token"": ""Ace2p"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
Role of two upstream open reading frames in the translational control of oncogene mdm2.	"mdm2	82	86	Gene_or_gene_product"	"[{""token"": ""mdm2"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}]"
Overexpression of oncoprotein MDM2 has been found in a significant number of human soft tissue tumors.	"MDM2	30	34	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
In a subset of these tumors, overexpression is a result of enhanced translation of mdm2 mRNA.	"mdm2	83	87	Gene_or_gene_product"	"[{""token"": ""mdm2"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}]"
The 5 ' leader of L - mdm2 was sufficient to transfer translational repression to a reporter gene and the two uORFs acted synergistically to achieve full suppression.	"L - mdm2	18	26	Gene_or_gene_product"	"[{""token"": ""L - mdm2"", ""start_span"": 18, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
In contrast, the 5 ' leader of S - mdm2 allowed efficient translation of an attached reporter gene in the tumor cells.	"S - mdm2	31	39	Gene_or_gene_product"	"[{""token"": ""S - mdm2"", ""start_span"": 31, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
These results are consistent with a model in which overexpression of MDM2 in certain tumors results from a change in mRNA structure due to a switch in promoter usage.	"MDM2	69	73	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"
Interleukin - 10 signaling blocks inhibitor of kappaB kinase activity and nuclear factor kappaB DNA binding.	"Interleukin - 10	0	16	Gene_or_gene_product"	"[{""token"": ""Interleukin - 10"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}]"
In its inactive state, NF - kappaB is constitutively present in the cytoplasm as a p50 - p65 heterodimer bound to its inhibitory protein IkappaB.	"IkappaB	137	144	Gene_or_gene_product"	"[{""token"": ""IkappaB"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Gene_or_gene_product""}]"
In this study, we show that IL - 10 functions to block NF - kappaB activity at two levels: 1) through the suppression of IKK activity and 2) through the inhibition of NF - kappaB DNA binding activity.	"IL - 10	28	35	Gene_or_gene_product"	"[{""token"": ""IL - 10"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
hSVCT1 had a 1797 bp open reading frame encoding a 598 amino acid polypeptide.	"hSVCT1	0	6	Gene_or_gene_product"	"[{""token"": ""hSVCT1"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
The 1953 bp open reading frame of hSVCT2 encoded a 650 amino acid polypeptide.	"hSVCT2	34	40	Gene_or_gene_product"	"[{""token"": ""hSVCT2"", ""start_span"": 34, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
In the Pig - n knockout cells, the first mannose in the GPI precursors was not modified by phosphoethanolamine.	"Pig - n	7	14	Gene_or_gene_product"	"[{""token"": ""Pig - n"", ""start_span"": 7, ""end_span"": 14, ""type"": ""Gene_or_gene_product""}]"
The surface expression of Thy - 1 was only partially affected, indicating that modification of the first mannose by phosphoethanolamine is not essential for attachment of GPI anchors in mammalian cells.	"Thy - 1	26	33	Gene_or_gene_product"	"[{""token"": ""Thy - 1"", ""start_span"": 26, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
Heparan sulfate D - glucosaminyl 3 - O - sulfotransferase - 3A sulfates N - unsubstituted glucosamine residues.	"Heparan sulfate D - glucosaminyl 3 - O - sulfotransferase - 3A	0	62	Gene_or_gene_product"	"[{""token"": ""Heparan sulfate D - glucosaminyl 3 - O - sulfotransferase - 3A"", ""start_span"": 0, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}]"
In this study, we characterize the substrate specificity of purified 3 - OST - 3A at the tetrasaccharide level.	"3 - OST - 3A	69	81	Gene_or_gene_product"	"[{""token"": ""3 - OST - 3A"", ""start_span"": 69, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"
Our study suggests that oligosaccharides with N - unsubstituted glucosamine are precursors for sulfation by 3 - OST - 3A.	"3 - OST - 3A	108	120	Gene_or_gene_product"	"[{""token"": ""3 - OST - 3A"", ""start_span"": 108, ""end_span"": 120, ""type"": ""Gene_or_gene_product""}]"
These findings provide a rationale to explain how inherited mutations in either of the two EXT genes can cause loss of activity, resulting in hereditary multiple exostoses.	"EXT	91	94	Gene_or_gene_product"	"[{""token"": ""EXT"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}]"
Although ubiquitinated histones are present in substantial levels in vertebrate cells, the roles they play in specific biological processes and the cellular factors that regulate this modification are not well characterized.	"histones	23	31	Gene_or_gene_product"	"[{""token"": ""histones"", ""start_span"": 23, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"
Cytoskeletal rearrangements during the cell cycle and in response to signals are regulated by small Rho - type GTPases, but it is not known how these GTPases are activated in a spatial and temporal manner.	"Rho	100	103	Gene_or_gene_product"	"[{""token"": ""Rho"", ""start_span"": 100, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}]"
Export of Cdc24 to a site of cell polarization is mediated by two mechanisms.	"Cdc24	10	15	Gene_or_gene_product"	"[{""token"": ""Cdc24"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
In contrast, in response to mating pheromones, the Far1 - Cdc24 complex is exported from the nucleus by Msn5.	"Msn5	104	108	Gene_or_gene_product"	"[{""token"": ""Msn5"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}]"
This sequestration regulates cell polarity in response to pheromones by restricting activation of Cdc42 to the site of pheromone receptor activation.	"Cdc42	98	103	Gene_or_gene_product"	"[{""token"": ""Cdc42"", ""start_span"": 98, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}]"
Molecular cloning of globotriaosylceramide / CD77 synthase, a glycosyltransferase that initiates the synthesis of globo series glycosphingolipids.	"globotriaosylceramide / CD77 synthase	21	58	Gene_or_gene_product"	"[{""token"": ""globotriaosylceramide / CD77 synthase"", ""start_span"": 21, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
The isolated cDNA clone designated pVTR1 predicted a type II membrane protein with 19 amino acids of cytoplasmic domain, 26 amino acids of transmembrane region, and a catalytic domain with 308 amino acids.	"pVTR1	35	40	Gene_or_gene_product"	"[{""token"": ""pVTR1"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
Since Gb3 / CD77 synthase initiates the synthesis of globo series glycolipids, the isolation of this cDNA will make possible further investigations into the function of its important series of glycolipids.	"Gb3 / CD77 synthase	6	25	Gene_or_gene_product"	"[{""token"": ""Gb3 / CD77 synthase"", ""start_span"": 6, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
E2F family members are differentially regulated by reversible acetylation.	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
The six members of the E2F family of transcription factors play a key role in the control of cell cycle progression by regulating the expression of genes involved in DNA replication and cell proliferation.	"E2F	23	26	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
Mechanism of reaction of myeloperoxidase with nitrite.	"myeloperoxidase	25	40	Gene_or_gene_product"	"[{""token"": ""myeloperoxidase"", ""start_span"": 25, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
At 15 degrees C the rate of formation of the low spin MPO - nitrite complex is ( 2. 5 + / - 0. 2) x 10 ( 4) m ( - 1) s ( - 1) at pH 7 and ( 2. 2 + / - 0. 7) x 10 ( 6) m ( - 1) s ( - 1) at pH 5.	"MPO	54	57	Gene_or_gene_product"	"[{""token"": ""MPO"", ""start_span"": 54, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Nitrite is oxidized by two one - electron steps in the MPO peroxidase cycle.	"MPO	55	58	Gene_or_gene_product"	"[{""token"": ""MPO"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
The rate constant of reduction of compound II to the ferric native enzyme at 15 degrees C is ( 5. 5 + / - 0. 1) x 10 ( 2) m ( - 1) s ( - 1) at pH 7 and ( 8. 9 + / - 1. 6) x 10 ( 4) m ( - 1) s ( - 1) at pH 5.	"compound II	34	45	Gene_or_gene_product"	"[{""token"": ""compound II"", ""start_span"": 34, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
Bruton ' s tyrosine kinase is required for activation of IkappaB kinase and nuclear factor kappaB in response to B cell receptor engagement.	"Bruton ' s tyrosine kinase	0	26	Gene_or_gene_product"	"[{""token"": ""Bruton ' s tyrosine kinase"", ""start_span"": 0, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
In vivo and in vitro studies indicate that the BTK protein is essential for B cell survival, cell cycle progression, and proliferation in response to B cell antigen receptor ( BCR) stimulation.	"BTK	47	50	Gene_or_gene_product"	"[{""token"": ""BTK"", ""start_span"": 47, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}]"
We now demonstrate that a null mutation in btk known to cause the xid phenotype prevents BCR - induced activation of NF - kappaB.	"btk	43	46	Gene_or_gene_product"	"[{""token"": ""btk"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
This defect can be rescued by reconstitution with wild - type BTK.	"BTK	62	65	Gene_or_gene_product"	"[{""token"": ""BTK"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}]"
This mutation also interferes with BCR - directed activation of IkappaB kinase ( IKK), which normally targets the NF - kappaB inhibitor IkappaBalpha for degradation.	"IkappaBalpha	136	148	Gene_or_gene_product"	"[{""token"": ""IkappaBalpha"", ""start_span"": 136, ""end_span"": 148, ""type"": ""Gene_or_gene_product""}]"
Taken together, these findings indicate that BTK couples IKK and NF - kappaB to the BCR.	"BTK	45	48	Gene_or_gene_product"	"[{""token"": ""BTK"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}]"
NF - kappaB ( nuclear factor - kappaB) is a collective name for inducible dimeric transcription factors composed of members of the Rel family of DNA - binding proteins that recognize a common sequence motif.	"Rel	131	134	Gene_or_gene_product"	"[{""token"": ""Rel"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}]"
The subcellular location of NF - kappaB is controlled by a family of inhibitory proteins, IkappaBs, which bind NF - kappaB and mask its nuclear localization signal, thereby preventing nuclear uptake.	"IkappaBs	90	98	Gene_or_gene_product"	"[{""token"": ""IkappaBs"", ""start_span"": 90, ""end_span"": 98, ""type"": ""Gene_or_gene_product""}]"
Exposure of cells to a variety of extracellular stimuli leads to the rapid phosphorylation, ubiquitination, and ultimately proteolytic degradation of IkappaB, which frees NF - kappaB to translocate to the nucleus where it regulates gene transcription.	"IkappaB	150	157	Gene_or_gene_product"	"[{""token"": ""IkappaB"", ""start_span"": 150, ""end_span"": 157, ""type"": ""Gene_or_gene_product""}]"
The multisubunit IkappaB kinase ( IKK) responsible for inducible IkappaB phosphorylation is the point of convergence for most NF - kappaB - activating stimuli.	"IkappaB	17	24	Gene_or_gene_product"	"[{""token"": ""IkappaB"", ""start_span"": 17, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}]"
A variety of other signaling events, including phosphorylation of NF - kappaB, hyperphosphorylation of IKK, induction of IkappaB synthesis, and the processing of NF - kappaB precursors, provide additional mechanisms that modulate the level and duration of NF - kappaB activity.	"IkappaB	121	128	Gene_or_gene_product"	"[{""token"": ""IkappaB"", ""start_span"": 121, ""end_span"": 128, ""type"": ""Gene_or_gene_product""}]"
In contrast, p63 has been demonstrated to be essential for limb and skin formation.	"p63	13	16	Gene_or_gene_product"	"[{""token"": ""p63"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}]"
This latter gene is predominantly expressed in its transcriptionally inactive form, DeltaNp63.	"DeltaNp63	84	93	Gene_or_gene_product"	"[{""token"": ""DeltaNp63"", ""start_span"": 84, ""end_span"": 93, ""type"": ""Gene_or_gene_product""}]"
Enzyme translocation was blocked by the specific PI3K inhibitor, LY294002, as well as cell entry into S - phase.	"PI3K	49	53	Gene_or_gene_product"	"[{""token"": ""PI3K"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"
Characterization of a cDNA encoding a novel human Golgi alpha 1, 2 - mannosidase ( IC) involved in N - glycan biosynthesis.	"IC	83	85	Gene_or_gene_product"	"[{""token"": ""IC"", ""start_span"": 83, ""end_span"": 85, ""type"": ""Gene_or_gene_product""}]"
The order of mannose hydrolysis from either pyridylaminated Man ( 9) GlcNAc ( 2) or Man ( 8) GlcNAc ( 2) isomer B differs from that previously reported for mammalian Golgi alpha1, 2 - mannosidases IA and IB.	"IB	204	206	Gene_or_gene_product"	"[{""token"": ""IB"", ""start_span"": 204, ""end_span"": 206, ""type"": ""Gene_or_gene_product""}]"
The expression pattern is different from that of human Golgi alpha1, 2 - mannosidases IA and IB.	"IB	93	95	Gene_or_gene_product"	"[{""token"": ""IB"", ""start_span"": 93, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}]"
In non - stimulated cells NF kappa B is anchored in the cytoplasm via the inhibitory protein I kappa B alpha.	"I kappa B alpha	93	108	Gene_or_gene_product"	"[{""token"": ""I kappa B alpha"", ""start_span"": 93, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}]"
Here we reconstitute phosphorylation dependent ubiquitination of I kappa B alpha using recombinant components.	"I kappa B alpha	65	80	Gene_or_gene_product"	"[{""token"": ""I kappa B alpha"", ""start_span"": 65, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}]"
Regulation of transcription by ubiquitination without proteolysis: Cdc34 / SCF ( Met30) - mediated inactivation of the transcription factor Met4.	"Met4	140	144	Gene_or_gene_product"	"[{""token"": ""Met4"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Gene_or_gene_product""}]"
Functionally, ubiquitinated Met4 associates with target promoters but fails to form functional transcription complexes.	"Met4	28	32	Gene_or_gene_product"	"[{""token"": ""Met4"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Nud1p links astral microtubule organization and the control of exit from mitosis.	"Nud1p	0	5	Gene_or_gene_product"	"[{""token"": ""Nud1p"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
Here, we describe that the core SPB component Nud1p is a key protein that functions in both processes.	"Nud1p	46	51	Gene_or_gene_product"	"[{""token"": ""Nud1p"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}]"
However, the intracellular signaling events following TLR activation are largely unknown.	"TLR	54	57	Gene_or_gene_product"	"[{""token"": ""TLR"", ""start_span"": 54, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Tyrosine phosphorylation of TLR2 is required for assembly of a multiprotein complex that is necessary for subsequent NF - kappa B transcriptional activity.	"TLR2	28	32	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
This indicates that eEF - 2K S499D is constitutively active when expressed in cells, thus leading to the suppression of its own expression.	"eEF - 2K S499D	20	34	Gene_or_gene_product"	"[{""token"": ""eEF - 2K S499D"", ""start_span"": 20, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
Our data demonstrate an important role for the phosphorylation of Ser - 499 in the activation of eEF - 2K by PKA and the inhibition of protein synthesis.	"eEF - 2K	97	105	Gene_or_gene_product"	"[{""token"": ""eEF - 2K"", ""start_span"": 97, ""end_span"": 105, ""type"": ""Gene_or_gene_product""}]"
This is the first time that phosphorylation sites of an SPB component have been determined, and these are the first sites of Mps1p phosphorylation identified.	"Mps1p	125	130	Gene_or_gene_product"	"[{""token"": ""Mps1p"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}]"
Alanine substitution for any one of these phosphorylated residues, in conjunction with an alanine substitution at residue Ser ( 36), is lethal in combination with alleles of SPC97, which encodes a component of the Tub4p complex.	"SPC97	174	179	Gene_or_gene_product"	"[{""token"": ""SPC97"", ""start_span"": 174, ""end_span"": 179, ""type"": ""Gene_or_gene_product""}]"
A nuclear export signal ( NES) was identified within the amino terminus of Cdc25C.	"Cdc25C	75	81	Gene_or_gene_product"	"[{""token"": ""Cdc25C"", ""start_span"": 75, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"
Cdc25A is a tyrosine phosphatase that is involved in the regulation of the G1 / S phase transition by activating cyclin E / Cdk2 and cyclin A / Cdk2 complexes through removal of inhibitory phosphorylations.	"Cdc25A	0	6	Gene_or_gene_product"	"[{""token"": ""Cdc25A"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
