Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	json	split
To inactivate Alk5 in cardiac NCCs, mice homozygous for the floxed Alk5 allele ( Alk5Flox / Flox) [ 21] were crossed with transgenic Wnt1 - Cre mice [ 22], which were also heterozygous for the Alk5 knockout allele ( Alk5KO) allele.	Alk5,14,18,Gene_or_geneproduct	NCCs,30,34,Cell	mice,36,40,Organism	floxed,60,66,Sequence	Alk5,67,71,Gene_or_geneproduct	allele,72,78,Sequence	Flox,85,89,Sequence	transgenic,122,132,Sequence	Wnt1,133,137,Gene_or_geneproduct	mice,144,148,Organism	Alk5,193,197,Gene_or_geneproduct	allele,207,213,Sequence	allele,224,230,Sequence	"[{""token"": ""Alk5"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Gene_or_geneproduct""}, {""token"": ""NCCs"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""mice"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Organism""}, {""token"": ""floxed"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Sequence""}, {""token"": ""Alk5"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Gene_or_geneproduct""}, {""token"": ""allele"", ""start_span"": 72, ""end_span"": 78, ""type"": ""Sequence""}, {""token"": ""Flox"", ""start_span"": 85, ""end_span"": 89, ""type"": ""Sequence""}, {""token"": ""transgenic"", ""start_span"": 122, ""end_span"": 132, ""type"": ""Sequence""}, {""token"": ""Wnt1"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Organism""}, {""token"": ""Alk5"", ""start_span"": 193, ""end_span"": 197, ""type"": ""Gene_or_geneproduct""}, {""token"": ""allele"", ""start_span"": 207, ""end_span"": 213, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 224, ""end_span"": 230, ""type"": ""Sequence""}]"	train
The resulting mice heterozygous for the Alk5Flox and Alk5KO alleles, which also carried the Wnt1 - Cre transgene, had the Alk5 gene specifically inactivated in NCCs ( herein termed Alk5 / Wnt1 - Cre), while the littermates with remaining allelic combinations were phenotypically normal and served as controls ( Alk5Flox / +, Alk5KO / +; Wnt1 - Cre).	mice,14,18,Organism	alleles,60,67,Sequence	Wnt1,92,96,Gene_or_geneproduct	transgene,103,112,Sequence	Alk5,122,126,Gene_or_geneproduct	gene,127,131,Sequence	NCCs,160,164,Cell	Alk5,181,185,Gene_or_geneproduct	Wnt1,188,192,Gene_or_geneproduct	allelic,238,245,Sequence	+,322,323,Sequence	+,334,335,Sequence	Wnt1,337,341,Gene_or_geneproduct	"[{""token"": ""mice"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Organism""}, {""token"": ""alleles"", ""start_span"": 60, ""end_span"": 67, ""type"": ""Sequence""}, {""token"": ""Wnt1"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Gene_or_geneproduct""}, {""token"": ""transgene"", ""start_span"": 103, ""end_span"": 112, ""type"": ""Sequence""}, {""token"": ""Alk5"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_geneproduct""}, {""token"": ""gene"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Sequence""}, {""token"": ""NCCs"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Cell""}, {""token"": ""Alk5"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Wnt1"", ""start_span"": 188, ""end_span"": 192, ""type"": ""Gene_or_geneproduct""}, {""token"": ""allelic"", ""start_span"": 238, ""end_span"": 245, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 322, ""end_span"": 323, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 334, ""end_span"": 335, ""type"": ""Sequence""}, {""token"": ""Wnt1"", ""start_span"": 337, ""end_span"": 341, ""type"": ""Gene_or_geneproduct""}]"	train
( E and M) Wild - type, ( F and N) Bmp2C / C; Prx1:: cre, ( G and O) Bmp4C / C; Prx1:: cre, ( H and P) Bmp7 - / -, ( I and Q) Bmp2C / C; Bmp4 + / C; Prx1:: cre, ( J and R) Bmp2 + / C; Bmp4C / C; Prx1:: cre, ( K and S) Bmp2C / C; Bmp4C / C; Prx1:: cre, ( L and T) Bmp2C / C, Bmp7 - / -; Prx1:: cre.	Wild - type,11,22,Sequence	Prx1,46,50,Gene_or_geneproduct	Prx1,80,84,Gene_or_geneproduct	Bmp7,103,107,Gene_or_geneproduct	Bmp4,137,141,Gene_or_geneproduct	+,142,143,Sequence	Prx1,149,153,Gene_or_geneproduct	Bmp2,172,176,Gene_or_geneproduct	+,177,178,Sequence	Prx1,195,199,Gene_or_geneproduct	Prx1,240,244,Gene_or_geneproduct	Bmp7,274,278,Gene_or_geneproduct	Prx1,286,290,Gene_or_geneproduct	"[{""token"": ""Wild - type"", ""start_span"": 11, ""end_span"": 22, ""type"": ""Sequence""}, {""token"": ""Prx1"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Prx1"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bmp7"", ""start_span"": 103, ""end_span"": 107, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bmp4"", ""start_span"": 137, ""end_span"": 141, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 142, ""end_span"": 143, ""type"": ""Sequence""}, {""token"": ""Prx1"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bmp2"", ""start_span"": 172, ""end_span"": 176, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 177, ""end_span"": 178, ""type"": ""Sequence""}, {""token"": ""Prx1"", ""start_span"": 195, ""end_span"": 199, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Prx1"", ""start_span"": 240, ""end_span"": 244, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bmp7"", ""start_span"": 274, ""end_span"": 278, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Prx1"", ""start_span"": 286, ""end_span"": 290, ""type"": ""Gene_or_geneproduct""}]"	train
Targeted animals were bred to beta - actin Cre mice to delete the DM domain - encoding exons, generating the Dmrt7 - allele, or to Flpe transgenic mice to delete the neo cassette, generating the Dmrt7flox allele.	animals,9,16,Organism	beta - actin,30,42,Gene_or_geneproduct	mice,47,51,Organism	delete,55,61,Sequence	domain,69,75,Sequence	exons,87,92,Sequence	Dmrt7,109,114,Gene_or_geneproduct	allele,117,123,Sequence	transgenic,136,146,Sequence	mice,147,151,Organism	delete,155,161,Sequence	cassette,170,178,Sequence	allele,205,211,Sequence	"[{""token"": ""animals"", ""start_span"": 9, ""end_span"": 16, ""type"": ""Organism""}, {""token"": ""beta - actin"", ""start_span"": 30, ""end_span"": 42, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Organism""}, {""token"": ""delete"", ""start_span"": 55, ""end_span"": 61, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 69, ""end_span"": 75, ""type"": ""Sequence""}, {""token"": ""exons"", ""start_span"": 87, ""end_span"": 92, ""type"": ""Sequence""}, {""token"": ""Dmrt7"", ""start_span"": 109, ""end_span"": 114, ""type"": ""Gene_or_geneproduct""}, {""token"": ""allele"", ""start_span"": 117, ""end_span"": 123, ""type"": ""Sequence""}, {""token"": ""transgenic"", ""start_span"": 136, ""end_span"": 146, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Organism""}, {""token"": ""delete"", ""start_span"": 155, ""end_span"": 161, ""type"": ""Sequence""}, {""token"": ""cassette"", ""start_span"": 170, ""end_span"": 178, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 205, ""end_span"": 211, ""type"": ""Sequence""}]"	train
Of these four genes, SAE2 and ZIP1 do not have clear mammalian orthologs ( although SYCP1 may be a functional ortholog of ZIP1), and mutation of the mouse RAD17 ortholog, Rad1, presumably causes embryonic lethality [ 42].	genes,14,19,Sequence	SAE2,21,25,Gene_or_geneproduct	ZIP1,30,34,Gene_or_geneproduct	mammalian,53,62,Organism	orthologs,63,72,Sequence	SYCP1,84,89,Gene_or_geneproduct	ortholog,110,118,Sequence	ZIP1,122,126,Gene_or_geneproduct	mutation,133,141,Sequence	mouse,149,154,Organism	RAD17,155,160,Gene_or_geneproduct	ortholog,161,169,Sequence	Rad1,171,175,Gene_or_geneproduct	"[{""token"": ""genes"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Sequence""}, {""token"": ""SAE2"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ZIP1"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mammalian"", ""start_span"": 53, ""end_span"": 62, ""type"": ""Organism""}, {""token"": ""orthologs"", ""start_span"": 63, ""end_span"": 72, ""type"": ""Sequence""}, {""token"": ""SYCP1"", ""start_span"": 84, ""end_span"": 89, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ortholog"", ""start_span"": 110, ""end_span"": 118, ""type"": ""Sequence""}, {""token"": ""ZIP1"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mutation"", ""start_span"": 133, ""end_span"": 141, ""type"": ""Sequence""}, {""token"": ""mouse"", ""start_span"": 149, ""end_span"": 154, ""type"": ""Organism""}, {""token"": ""RAD17"", ""start_span"": 155, ""end_span"": 160, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ortholog"", ""start_span"": 161, ""end_span"": 169, ""type"": ""Sequence""}, {""token"": ""Rad1"", ""start_span"": 171, ""end_span"": 175, ""type"": ""Gene_or_geneproduct""}]"	train
The transcript map of the region surrounding Mcoln1 is similar to the corresponding region of the homologous human MCOLN1 region [ 15], and the presence of the zinc finger gene and Nte confirms and extends the region of synteny between human chromosome 19 and mouse chromosome 8.	transcript,4,14,Sequence	region,26,32,Sequence	Mcoln1,45,51,Gene_or_geneproduct	region,84,90,Sequence	homologous human MCOLN1 region,98,128,Sequence	zinc,160,164,Chemical	gene,172,176,Sequence	Nte,181,184,Gene_or_geneproduct	region of synteny,210,227,Sequence	human,236,241,Organism	chromosome,242,252,GO_ontology	mouse,260,265,Organism	chromosome,266,276,GO_ontology	"[{""token"": ""transcript"", ""start_span"": 4, ""end_span"": 14, ""type"": ""Sequence""}, {""token"": ""region"", ""start_span"": 26, ""end_span"": 32, ""type"": ""Sequence""}, {""token"": ""Mcoln1"", ""start_span"": 45, ""end_span"": 51, ""type"": ""Gene_or_geneproduct""}, {""token"": ""region"", ""start_span"": 84, ""end_span"": 90, ""type"": ""Sequence""}, {""token"": ""homologous human MCOLN1 region"", ""start_span"": 98, ""end_span"": 128, ""type"": ""Sequence""}, {""token"": ""zinc"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Chemical""}, {""token"": ""gene"", ""start_span"": 172, ""end_span"": 176, ""type"": ""Sequence""}, {""token"": ""Nte"", ""start_span"": 181, ""end_span"": 184, ""type"": ""Gene_or_geneproduct""}, {""token"": ""region of synteny"", ""start_span"": 210, ""end_span"": 227, ""type"": ""Sequence""}, {""token"": ""human"", ""start_span"": 236, ""end_span"": 241, ""type"": ""Organism""}, {""token"": ""chromosome"", ""start_span"": 242, ""end_span"": 252, ""type"": ""GO_ontology""}, {""token"": ""mouse"", ""start_span"": 260, ""end_span"": 265, ""type"": ""Organism""}, {""token"": ""chromosome"", ""start_span"": 266, ""end_span"": 276, ""type"": ""GO_ontology""}]"	valid
The functions of these different isoforms are unknown, however the region deleted from the shorter variants can include the binding site for LSm7 [ 20] ( variants C, D, F - I), and / or the nuclear localization signals and binding site for GAS41 [ 15] and PCTAIRE2BP [ 20] ( isoforms B - D, S).	different isoforms,23,41,Sequence	region,67,73,Sequence	deleted,74,81,Sequence	variants,99,107,Sequence	binding site,124,136,Sequence	LSm7,141,145,Gene_or_geneproduct	variants,154,162,Sequence	nuclear,190,197,GO_ontology	signals,211,218,Sequence	binding site,223,235,Sequence	GAS41,240,245,Gene_or_geneproduct	PCTAIRE2BP,256,266,Gene_or_geneproduct	isoforms,275,283,Sequence	"[{""token"": ""different isoforms"", ""start_span"": 23, ""end_span"": 41, ""type"": ""Sequence""}, {""token"": ""region"", ""start_span"": 67, ""end_span"": 73, ""type"": ""Sequence""}, {""token"": ""deleted"", ""start_span"": 74, ""end_span"": 81, ""type"": ""Sequence""}, {""token"": ""variants"", ""start_span"": 99, ""end_span"": 107, ""type"": ""Sequence""}, {""token"": ""binding site"", ""start_span"": 124, ""end_span"": 136, ""type"": ""Sequence""}, {""token"": ""LSm7"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Gene_or_geneproduct""}, {""token"": ""variants"", ""start_span"": 154, ""end_span"": 162, ""type"": ""Sequence""}, {""token"": ""nuclear"", ""start_span"": 190, ""end_span"": 197, ""type"": ""GO_ontology""}, {""token"": ""signals"", ""start_span"": 211, ""end_span"": 218, ""type"": ""Sequence""}, {""token"": ""binding site"", ""start_span"": 223, ""end_span"": 235, ""type"": ""Sequence""}, {""token"": ""GAS41"", ""start_span"": 240, ""end_span"": 245, ""type"": ""Gene_or_geneproduct""}, {""token"": ""PCTAIRE2BP"", ""start_span"": 256, ""end_span"": 266, ""type"": ""Gene_or_geneproduct""}, {""token"": ""isoforms"", ""start_span"": 275, ""end_span"": 283, ""type"": ""Sequence""}]"	valid
In order to examine evolutionary relationships of proteins containing coiled coil domains, protein sequences representing the major members of this super family, including TACC, RHAMM, KLP, keratin and tropomyosin from available vertebrates and their recognizable orthologues from the urochordate Ciona intestinalis, Drosophila melanogaster, C. elegans and Saccharomyces cerevisiae were either directly retrieved from NCBI sequence databases, newly predicted or isolated ( see above).	proteins,50,58,Chemical	coiled coil,70,81,Sequence	domains,82,89,Sequence	protein,91,98,Chemical	sequences,99,108,Sequence	RHAMM,178,183,Gene_or_geneproduct	vertebrates,229,240,Organism	orthologues,264,275,Sequence	urochordate,285,296,Organism	Ciona intestinalis,297,315,Organism	Drosophila melanogaster,317,340,Organism	Saccharomyces cerevisiae,357,381,Organism	sequence,423,431,Sequence	"[{""token"": ""proteins"", ""start_span"": 50, ""end_span"": 58, ""type"": ""Chemical""}, {""token"": ""coiled coil"", ""start_span"": 70, ""end_span"": 81, ""type"": ""Sequence""}, {""token"": ""domains"", ""start_span"": 82, ""end_span"": 89, ""type"": ""Sequence""}, {""token"": ""protein"", ""start_span"": 91, ""end_span"": 98, ""type"": ""Chemical""}, {""token"": ""sequences"", ""start_span"": 99, ""end_span"": 108, ""type"": ""Sequence""}, {""token"": ""RHAMM"", ""start_span"": 178, ""end_span"": 183, ""type"": ""Gene_or_geneproduct""}, {""token"": ""vertebrates"", ""start_span"": 229, ""end_span"": 240, ""type"": ""Organism""}, {""token"": ""orthologues"", ""start_span"": 264, ""end_span"": 275, ""type"": ""Sequence""}, {""token"": ""urochordate"", ""start_span"": 285, ""end_span"": 296, ""type"": ""Organism""}, {""token"": ""Ciona intestinalis"", ""start_span"": 297, ""end_span"": 315, ""type"": ""Organism""}, {""token"": ""Drosophila melanogaster"", ""start_span"": 317, ""end_span"": 340, ""type"": ""Organism""}, {""token"": ""Saccharomyces cerevisiae"", ""start_span"": 357, ""end_span"": 381, ""type"": ""Organism""}, {""token"": ""sequence"", ""start_span"": 423, ""end_span"": 431, ""type"": ""Sequence""}]"	valid
Maple Syrup Urine Disease ( MSUD) is a genetic disorder caused by a deficiency of branched - chain keto acid dehydrogenase ( BCKDH), a mitochondrial multienzyme complex responsible for the oxidative decarboxylation of branched - chain keto acids derived from branched - chain amino acids ( BCAA), leucine, isoleucine and valine ( for review, see: [ 1]).	Maple,0,5,Organism	genetic,39,46,Sequence	branched - chain keto acid dehydrogenase,82,122,GO_ontology	BCKDH,125,130,GO_ontology	mitochondrial,135,148,GO_ontology	complex,161,168,GO_ontology	keto,235,239,Chemical	acids,240,245,Chemical	branched - chain amino acids,259,287,Chemical	BCAA,290,294,Chemical	leucine,297,304,Chemical	isoleucine,306,316,Chemical	valine,321,327,Chemical	"[{""token"": ""Maple"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Organism""}, {""token"": ""genetic"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Sequence""}, {""token"": ""branched - chain keto acid dehydrogenase"", ""start_span"": 82, ""end_span"": 122, ""type"": ""GO_ontology""}, {""token"": ""BCKDH"", ""start_span"": 125, ""end_span"": 130, ""type"": ""GO_ontology""}, {""token"": ""mitochondrial"", ""start_span"": 135, ""end_span"": 148, ""type"": ""GO_ontology""}, {""token"": ""complex"", ""start_span"": 161, ""end_span"": 168, ""type"": ""GO_ontology""}, {""token"": ""keto"", ""start_span"": 235, ""end_span"": 239, ""type"": ""Chemical""}, {""token"": ""acids"", ""start_span"": 240, ""end_span"": 245, ""type"": ""Chemical""}, {""token"": ""branched - chain amino acids"", ""start_span"": 259, ""end_span"": 287, ""type"": ""Chemical""}, {""token"": ""BCAA"", ""start_span"": 290, ""end_span"": 294, ""type"": ""Chemical""}, {""token"": ""leucine"", ""start_span"": 297, ""end_span"": 304, ""type"": ""Chemical""}, {""token"": ""isoleucine"", ""start_span"": 306, ""end_span"": 316, ""type"": ""Chemical""}, {""token"": ""valine"", ""start_span"": 321, ""end_span"": 327, ""type"": ""Chemical""}]"	valid
The genomic sequence encompassing Apc exons 11 to 15 was first subcloned into pBR322 vector, and then a loxP site was introduced into intron 13 followed by loxP - FRT - PGKneor - FRT selection cassette into intron14 of the Apc gene ( Figure 1A).	genomic sequence,4,20,Sequence	Apc,34,37,Gene_or_geneproduct	exons,38,43,Sequence	vector,85,91,Sequence	loxP site,104,113,Sequence	introduced,118,128,Sequence	intron,134,140,Sequence	loxP,156,160,Sequence	FRT,163,166,Sequence	FRT,179,182,Sequence	cassette,193,201,Sequence	Apc,223,226,Gene_or_geneproduct	gene,227,231,Sequence	"[{""token"": ""genomic sequence"", ""start_span"": 4, ""end_span"": 20, ""type"": ""Sequence""}, {""token"": ""Apc"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Gene_or_geneproduct""}, {""token"": ""exons"", ""start_span"": 38, ""end_span"": 43, ""type"": ""Sequence""}, {""token"": ""vector"", ""start_span"": 85, ""end_span"": 91, ""type"": ""Sequence""}, {""token"": ""loxP site"", ""start_span"": 104, ""end_span"": 113, ""type"": ""Sequence""}, {""token"": ""introduced"", ""start_span"": 118, ""end_span"": 128, ""type"": ""Sequence""}, {""token"": ""intron"", ""start_span"": 134, ""end_span"": 140, ""type"": ""Sequence""}, {""token"": ""loxP"", ""start_span"": 156, ""end_span"": 160, ""type"": ""Sequence""}, {""token"": ""FRT"", ""start_span"": 163, ""end_span"": 166, ""type"": ""Sequence""}, {""token"": ""FRT"", ""start_span"": 179, ""end_span"": 182, ""type"": ""Sequence""}, {""token"": ""cassette"", ""start_span"": 193, ""end_span"": 201, ""type"": ""Sequence""}, {""token"": ""Apc"", ""start_span"": 223, ""end_span"": 226, ""type"": ""Gene_or_geneproduct""}, {""token"": ""gene"", ""start_span"": 227, ""end_span"": 231, ""type"": ""Sequence""}]"	valid
Animals whose genotype is either heterozygous or homozygous for the wild - type Apc allele are referred to as normal ( N); those whose genotype are K14 - cre; ApcCKO / CKO and show the presence of K14 - cre - recombined mutant Apc allele are called mutant ( M).	Animals,0,7,Organism	genotype,14,22,Sequence	wild - type,68,79,Sequence	Apc,80,83,Gene_or_geneproduct	allele,84,90,Sequence	genotype,135,143,Sequence	K14,148,151,Gene_or_geneproduct	K14,197,200,Gene_or_geneproduct	mutant,220,226,Sequence	Apc,227,230,Gene_or_geneproduct	allele,231,237,Sequence	mutant,249,255,Sequence	M,258,259,Sequence	"[{""token"": ""Animals"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Organism""}, {""token"": ""genotype"", ""start_span"": 14, ""end_span"": 22, ""type"": ""Sequence""}, {""token"": ""wild - type"", ""start_span"": 68, ""end_span"": 79, ""type"": ""Sequence""}, {""token"": ""Apc"", ""start_span"": 80, ""end_span"": 83, ""type"": ""Gene_or_geneproduct""}, {""token"": ""allele"", ""start_span"": 84, ""end_span"": 90, ""type"": ""Sequence""}, {""token"": ""genotype"", ""start_span"": 135, ""end_span"": 143, ""type"": ""Sequence""}, {""token"": ""K14"", ""start_span"": 148, ""end_span"": 151, ""type"": ""Gene_or_geneproduct""}, {""token"": ""K14"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mutant"", ""start_span"": 220, ""end_span"": 226, ""type"": ""Sequence""}, {""token"": ""Apc"", ""start_span"": 227, ""end_span"": 230, ""type"": ""Gene_or_geneproduct""}, {""token"": ""allele"", ""start_span"": 231, ""end_span"": 237, ""type"": ""Sequence""}, {""token"": ""mutant"", ""start_span"": 249, ""end_span"": 255, ""type"": ""Sequence""}, {""token"": ""M"", ""start_span"": 258, ""end_span"": 259, ""type"": ""Sequence""}]"	valid
The mon locus on zebrafish Chromosome 8 is also predicted to be syntenic to the region of human Chromosome 1p that contains the TIF1 gamma gene based on the conserved locations of 12 other orthologous gene pairs, including NRAS, mapped to these regions in human and zebrafish ( Barbazuk et al. 2000).	mon,4,7,Gene_or_geneproduct	locus on zebrafish Chromosome,8,37,Sequence	syntenic,64,72,Sequence	region of human Chromosome,80,106,Sequence	TIF1 gamma,128,138,Gene_or_geneproduct	gene,139,143,Sequence	conserved locations,157,176,Sequence	orthologous,189,200,Sequence	gene,201,205,Sequence	NRAS,223,227,Gene_or_geneproduct	regions,245,252,Sequence	human,256,261,Organism	zebrafish,266,275,Organism	"[{""token"": ""mon"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene_or_geneproduct""}, {""token"": ""locus on zebrafish Chromosome"", ""start_span"": 8, ""end_span"": 37, ""type"": ""Sequence""}, {""token"": ""syntenic"", ""start_span"": 64, ""end_span"": 72, ""type"": ""Sequence""}, {""token"": ""region of human Chromosome"", ""start_span"": 80, ""end_span"": 106, ""type"": ""Sequence""}, {""token"": ""TIF1 gamma"", ""start_span"": 128, ""end_span"": 138, ""type"": ""Gene_or_geneproduct""}, {""token"": ""gene"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Sequence""}, {""token"": ""conserved locations"", ""start_span"": 157, ""end_span"": 176, ""type"": ""Sequence""}, {""token"": ""orthologous"", ""start_span"": 189, ""end_span"": 200, ""type"": ""Sequence""}, {""token"": ""gene"", ""start_span"": 201, ""end_span"": 205, ""type"": ""Sequence""}, {""token"": ""NRAS"", ""start_span"": 223, ""end_span"": 227, ""type"": ""Gene_or_geneproduct""}, {""token"": ""regions"", ""start_span"": 245, ""end_span"": 252, ""type"": ""Sequence""}, {""token"": ""human"", ""start_span"": 256, ""end_span"": 261, ""type"": ""Organism""}, {""token"": ""zebrafish"", ""start_span"": 266, ""end_span"": 275, ""type"": ""Organism""}]"	test
The PM and ER were probed using mouse anti - Na + / K + - ATPase ( Upstate, Waltham, Massachusetts, United States) or rabbit anti - calnexin ( Stressgen Biotechnology, Victoria, British Columbia, Canada) antibodies and the secondary antibodies, Cy3 - conjugated goat anti - mouse ( 1: 200; Jackson ImmunoResearch, West Grove, Pennsylvania, United States) or AlexaFluor 594 - conjugated chicken anti - rabbit ( 1: 200) respectively.	PM,4,6,GO_ontology	ER,11,13,GO_ontology	mouse,32,37,Organism	Na +,45,49,Chemical	K +,52,55,Chemical	rabbit,118,124,Organism	calnexin,132,140,Gene_or_geneproduct	antibodies,204,214,GO_ontology	antibodies,233,243,GO_ontology	goat,262,266,Organism	mouse,274,279,Organism	chicken,386,393,Organism	rabbit,401,407,Organism	"[{""token"": ""PM"", ""start_span"": 4, ""end_span"": 6, ""type"": ""GO_ontology""}, {""token"": ""ER"", ""start_span"": 11, ""end_span"": 13, ""type"": ""GO_ontology""}, {""token"": ""mouse"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Organism""}, {""token"": ""Na +"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""K +"", ""start_span"": 52, ""end_span"": 55, ""type"": ""Chemical""}, {""token"": ""rabbit"", ""start_span"": 118, ""end_span"": 124, ""type"": ""Organism""}, {""token"": ""calnexin"", ""start_span"": 132, ""end_span"": 140, ""type"": ""Gene_or_geneproduct""}, {""token"": ""antibodies"", ""start_span"": 204, ""end_span"": 214, ""type"": ""GO_ontology""}, {""token"": ""antibodies"", ""start_span"": 233, ""end_span"": 243, ""type"": ""GO_ontology""}, {""token"": ""goat"", ""start_span"": 262, ""end_span"": 266, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 274, ""end_span"": 279, ""type"": ""Organism""}, {""token"": ""chicken"", ""start_span"": 386, ""end_span"": 393, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 401, ""end_span"": 407, ""type"": ""Organism""}]"	test
In non - BC individuals there was significant ( p < 0. 01) correlation between CEBPG and eight of the 16 antioxidant or DNA repair genes, specifically XRCC1, ERCC5, GSTP1, SOD1, GPX1, ERCC1, CAT and ERCC2 ( Table 4).	individuals,12,23,Organism	CEBPG,79,84,Gene_or_geneproduct	antioxidant,105,116,Chemical	DNA,120,123,Sequence	genes,131,136,Sequence	XRCC1,151,156,Gene_or_geneproduct	ERCC5,158,163,Gene_or_geneproduct	GSTP1,165,170,Gene_or_geneproduct	SOD1,172,176,Gene_or_geneproduct	GPX1,178,182,Gene_or_geneproduct	ERCC1,184,189,Gene_or_geneproduct	CAT,191,194,Gene_or_geneproduct	ERCC2,199,204,Gene_or_geneproduct	"[{""token"": ""individuals"", ""start_span"": 12, ""end_span"": 23, ""type"": ""Organism""}, {""token"": ""CEBPG"", ""start_span"": 79, ""end_span"": 84, ""type"": ""Gene_or_geneproduct""}, {""token"": ""antioxidant"", ""start_span"": 105, ""end_span"": 116, ""type"": ""Chemical""}, {""token"": ""DNA"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Sequence""}, {""token"": ""genes"", ""start_span"": 131, ""end_span"": 136, ""type"": ""Sequence""}, {""token"": ""XRCC1"", ""start_span"": 151, ""end_span"": 156, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ERCC5"", ""start_span"": 158, ""end_span"": 163, ""type"": ""Gene_or_geneproduct""}, {""token"": ""GSTP1"", ""start_span"": 165, ""end_span"": 170, ""type"": ""Gene_or_geneproduct""}, {""token"": ""SOD1"", ""start_span"": 172, ""end_span"": 176, ""type"": ""Gene_or_geneproduct""}, {""token"": ""GPX1"", ""start_span"": 178, ""end_span"": 182, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ERCC1"", ""start_span"": 184, ""end_span"": 189, ""type"": ""Gene_or_geneproduct""}, {""token"": ""CAT"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ERCC2"", ""start_span"": 199, ""end_span"": 204, ""type"": ""Gene_or_geneproduct""}]"	test
