Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	entity_14	json	split
Mouse R1 ES cells [ 49] were maintained on gelatin - coated plates with feeder layers of mouse embryonic fibroblasts at 37 degrees C under 5% CO2 in ES cell medium ( DMEM [ high glucose] supplemented with 15% fetal bovine serum, 0. 1 mM non - essential amino acids, 2 mM glutamine, 1 mM sodium pyruvate, 0. 1 mM 2 - mercaptoethanol, 100 U / ml penicillin, 100 mu g / ml streptomycin, 25 mu g / ml amphotericin, and 1, 000 U / ml of ESGro [ Chemicon]).	cells,12,17,Cell	mouse,89,94,Organism	fibroblasts,105,116,Cell	CO2,142,145,Chemical	cell,152,156,Cell	glucose,178,185,Chemical	bovine,215,221,Organism	amino acids,253,264,Chemical	glutamine,271,280,Chemical	sodium,287,293,Chemical	pyruvate,294,302,Chemical	2 - mercaptoethanol,312,331,Chemical	penicillin,344,354,Chemical	streptomycin,370,382,Chemical	"[{""token"": ""cells"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Cell""}, {""token"": ""mouse"", ""start_span"": 89, ""end_span"": 94, ""type"": ""Organism""}, {""token"": ""fibroblasts"", ""start_span"": 105, ""end_span"": 116, ""type"": ""Cell""}, {""token"": ""CO2"", ""start_span"": 142, ""end_span"": 145, ""type"": ""Chemical""}, {""token"": ""cell"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Cell""}, {""token"": ""glucose"", ""start_span"": 178, ""end_span"": 185, ""type"": ""Chemical""}, {""token"": ""bovine"", ""start_span"": 215, ""end_span"": 221, ""type"": ""Organism""}, {""token"": ""amino acids"", ""start_span"": 253, ""end_span"": 264, ""type"": ""Chemical""}, {""token"": ""glutamine"", ""start_span"": 271, ""end_span"": 280, ""type"": ""Chemical""}, {""token"": ""sodium"", ""start_span"": 287, ""end_span"": 293, ""type"": ""Chemical""}, {""token"": ""pyruvate"", ""start_span"": 294, ""end_span"": 302, ""type"": ""Chemical""}, {""token"": ""2 - mercaptoethanol"", ""start_span"": 312, ""end_span"": 331, ""type"": ""Chemical""}, {""token"": ""penicillin"", ""start_span"": 344, ""end_span"": 354, ""type"": ""Chemical""}, {""token"": ""streptomycin"", ""start_span"": 370, ""end_span"": 382, ""type"": ""Chemical""}]"	train
A 2, 748 bp segment of the wild - type allele and a 2, 711 bp segment of the mutant allele were amplified in separate reactions using a common ( intron 4) sense primer, located outside the short arm of homology, and distinct antisense primers which hybridized to either wild - type ( exon 7) or mutant ( PGK - Neo) sequence ( Table I).	bp,9,11,Sequence	segment,12,19,Sequence	wild - type,27,38,Sequence	allele,39,45,Sequence	bp,59,61,Sequence	segment,62,69,Sequence	mutant,77,83,Sequence	allele,84,90,Sequence	intron,145,151,Sequence	primer,161,167,Sequence	antisense,225,234,Sequence	primers,235,242,Sequence	wild - type,270,281,Sequence	exon,284,288,Sequence	"[{""token"": ""bp"", ""start_span"": 9, ""end_span"": 11, ""type"": ""Sequence""}, {""token"": ""segment"", ""start_span"": 12, ""end_span"": 19, ""type"": ""Sequence""}, {""token"": ""wild - type"", ""start_span"": 27, ""end_span"": 38, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 39, ""end_span"": 45, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 59, ""end_span"": 61, ""type"": ""Sequence""}, {""token"": ""segment"", ""start_span"": 62, ""end_span"": 69, ""type"": ""Sequence""}, {""token"": ""mutant"", ""start_span"": 77, ""end_span"": 83, ""type"": ""Sequence""}, {""token"": ""allele"", ""start_span"": 84, ""end_span"": 90, ""type"": ""Sequence""}, {""token"": ""intron"", ""start_span"": 145, ""end_span"": 151, ""type"": ""Sequence""}, {""token"": ""primer"", ""start_span"": 161, ""end_span"": 167, ""type"": ""Sequence""}, {""token"": ""antisense"", ""start_span"": 225, ""end_span"": 234, ""type"": ""Sequence""}, {""token"": ""primers"", ""start_span"": 235, ""end_span"": 242, ""type"": ""Sequence""}, {""token"": ""wild - type"", ""start_span"": 270, ""end_span"": 281, ""type"": ""Sequence""}, {""token"": ""exon"", ""start_span"": 284, ""end_span"": 288, ""type"": ""Sequence""}]"	train
Antibodies used in whole - mount immunocytochemistry were: mouse monoclonal anti - N - MYC ( Cell Signaling Technology, Beverly, Massachusetts, United States; 1: 100), rabbit anti - SOX9 ( gift of F. Poulat; 1: 1, 000), rat anti - PECAM ( Pharmingen, San Diego, California, United States; 1: 500), rabbit anti - caspase - 3 fragment ( BD Bioscience, San Diego, California, United States; 1: 100), and rabbit anti - phosphorylated histone H3 ( Cell Signaling; 1: 250).	Antibodies,0,10,GO_ontology	mouse,59,64,Organism	N - MYC,83,90,Gene_or_geneproduct	Cell,93,97,Cell	rabbit,168,174,Organism	SOX9,182,186,Gene_or_geneproduct	rat,220,223,Organism	PECAM,231,236,Gene_or_geneproduct	rabbit,298,304,Organism	caspase - 3,312,323,Gene_or_geneproduct	fragment,324,332,Sequence	rabbit,401,407,Organism	histone,430,437,Chemical	Cell,443,447,Cell	"[{""token"": ""Antibodies"", ""start_span"": 0, ""end_span"": 10, ""type"": ""GO_ontology""}, {""token"": ""mouse"", ""start_span"": 59, ""end_span"": 64, ""type"": ""Organism""}, {""token"": ""N - MYC"", ""start_span"": 83, ""end_span"": 90, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Cell"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Cell""}, {""token"": ""rabbit"", ""start_span"": 168, ""end_span"": 174, ""type"": ""Organism""}, {""token"": ""SOX9"", ""start_span"": 182, ""end_span"": 186, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rat"", ""start_span"": 220, ""end_span"": 223, ""type"": ""Organism""}, {""token"": ""PECAM"", ""start_span"": 231, ""end_span"": 236, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rabbit"", ""start_span"": 298, ""end_span"": 304, ""type"": ""Organism""}, {""token"": ""caspase - 3"", ""start_span"": 312, ""end_span"": 323, ""type"": ""Gene_or_geneproduct""}, {""token"": ""fragment"", ""start_span"": 324, ""end_span"": 332, ""type"": ""Sequence""}, {""token"": ""rabbit"", ""start_span"": 401, ""end_span"": 407, ""type"": ""Organism""}, {""token"": ""histone"", ""start_span"": 430, ""end_span"": 437, ""type"": ""Chemical""}, {""token"": ""Cell"", ""start_span"": 443, ""end_span"": 447, ""type"": ""Cell""}]"	train
Pygo1 + / - / Pygo2 + / +, Pygo1 + / - / Pygo2 + / - and Pygo1 + / - / Pygo2 + / + kidneys all showed similar levels of BAT - gal expression.	Pygo1,0,5,Gene_or_geneproduct	+,6,7,Sequence	Pygo2,14,19,Gene_or_geneproduct	+,20,21,Sequence	+,24,25,Sequence	Pygo1,27,32,Gene_or_geneproduct	+,33,34,Sequence	Pygo2,41,46,Gene_or_geneproduct	+,47,48,Sequence	Pygo1,57,62,Gene_or_geneproduct	+,63,64,Sequence	Pygo2,71,76,Gene_or_geneproduct	+,77,78,Sequence	+,81,82,Sequence	"[{""token"": ""Pygo1"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 6, ""end_span"": 7, ""type"": ""Sequence""}, {""token"": ""Pygo2"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 20, ""end_span"": 21, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 24, ""end_span"": 25, ""type"": ""Sequence""}, {""token"": ""Pygo1"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 33, ""end_span"": 34, ""type"": ""Sequence""}, {""token"": ""Pygo2"", ""start_span"": 41, ""end_span"": 46, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 47, ""end_span"": 48, ""type"": ""Sequence""}, {""token"": ""Pygo1"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 63, ""end_span"": 64, ""type"": ""Sequence""}, {""token"": ""Pygo2"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 77, ""end_span"": 78, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 81, ""end_span"": 82, ""type"": ""Sequence""}]"	train
Dmrt7 + / Dmrt7neo females were bred with male beta - actin - Cre transgenic mice to delete the floxed sequences and generate heterozygous Dmrt7 - / + deletion mutants, which were interbred to generate homozygous Dmrt7 - / - mutants.	Dmrt7,0,5,Gene_or_geneproduct	+,6,7,Sequence	beta - actin,47,59,Gene_or_geneproduct	transgenic,66,76,Sequence	mice,77,81,Organism	delete,85,91,Sequence	floxed,96,102,Sequence	sequences,103,112,Sequence	Dmrt7,139,144,Gene_or_geneproduct	+,149,150,Sequence	deletion,151,159,Sequence	mutants,160,167,Sequence	Dmrt7,213,218,Gene_or_geneproduct	mutants,225,232,Sequence	"[{""token"": ""Dmrt7"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 6, ""end_span"": 7, ""type"": ""Sequence""}, {""token"": ""beta - actin"", ""start_span"": 47, ""end_span"": 59, ""type"": ""Gene_or_geneproduct""}, {""token"": ""transgenic"", ""start_span"": 66, ""end_span"": 76, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Organism""}, {""token"": ""delete"", ""start_span"": 85, ""end_span"": 91, ""type"": ""Sequence""}, {""token"": ""floxed"", ""start_span"": 96, ""end_span"": 102, ""type"": ""Sequence""}, {""token"": ""sequences"", ""start_span"": 103, ""end_span"": 112, ""type"": ""Sequence""}, {""token"": ""Dmrt7"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 149, ""end_span"": 150, ""type"": ""Sequence""}, {""token"": ""deletion"", ""start_span"": 151, ""end_span"": 159, ""type"": ""Sequence""}, {""token"": ""mutants"", ""start_span"": 160, ""end_span"": 167, ""type"": ""Sequence""}, {""token"": ""Dmrt7"", ""start_span"": 213, ""end_span"": 218, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mutants"", ""start_span"": 225, ""end_span"": 232, ""type"": ""Sequence""}]"	train
To assess whether these MLH1 / 3 foci in Trip13Gt / Gt pachytene spermatocytes represent CO events completed to a point where they could maintain interhomolog attachments though the end of prophase I, we treated testicular cells from 17. 5 - 20. 5 - d - old control ( + / +), Trip13Gt / Gt, and Dmc1 - / - mice with the protein phosphatase inhibitor okadaic acid ( OA), a chemical that induces degradation of the SC, chromosome condensation, and premature progression to metaphase I [ 33].	MLH1,24,28,Gene_or_geneproduct	spermatocytes,65,78,Cell	cells,223,228,Cell	+,268,269,Sequence	+,272,273,Sequence	Dmc1,295,299,Gene_or_geneproduct	mice,306,310,Organism	protein,320,327,Chemical	inhibitor,340,349,Chemical	okadaic acid,350,362,Chemical	OA,365,367,Chemical	chemical,372,380,Chemical	SC,413,415,GO_ontology	chromosome,417,427,GO_ontology	"[{""token"": ""MLH1"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_geneproduct""}, {""token"": ""spermatocytes"", ""start_span"": 65, ""end_span"": 78, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 223, ""end_span"": 228, ""type"": ""Cell""}, {""token"": ""+"", ""start_span"": 268, ""end_span"": 269, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 272, ""end_span"": 273, ""type"": ""Sequence""}, {""token"": ""Dmc1"", ""start_span"": 295, ""end_span"": 299, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 306, ""end_span"": 310, ""type"": ""Organism""}, {""token"": ""protein"", ""start_span"": 320, ""end_span"": 327, ""type"": ""Chemical""}, {""token"": ""inhibitor"", ""start_span"": 340, ""end_span"": 349, ""type"": ""Chemical""}, {""token"": ""okadaic acid"", ""start_span"": 350, ""end_span"": 362, ""type"": ""Chemical""}, {""token"": ""OA"", ""start_span"": 365, ""end_span"": 367, ""type"": ""Chemical""}, {""token"": ""chemical"", ""start_span"": 372, ""end_span"": 380, ""type"": ""Chemical""}, {""token"": ""SC"", ""start_span"": 413, ""end_span"": 415, ""type"": ""GO_ontology""}, {""token"": ""chromosome"", ""start_span"": 417, ""end_span"": 427, ""type"": ""GO_ontology""}]"	train
"Thus, if the TACC genes were duplicated at both events, we would expect to identify four TACC genes in the most "" primitive "" compact vertebrate genome sequenced to date, the pufferfish Takifugu rubripes, with three genes corresponding to the human TACC1 - 3, and, in keeping with the proposed model for genomic duplication of the chromosomal loci for the TACC genes ( discussed below), a possible fourth gene deriving from the TACC3 ancestor."	genes,18,23,Sequence	genes,94,99,Sequence	vertebrate,134,144,Organism	genome,145,151,Sequence	pufferfish,175,185,Organism	Takifugu rubripes,186,203,Organism	genes,216,221,Sequence	human TACC1,243,254,Gene_or_geneproduct	genomic,304,311,Sequence	duplication,312,323,Sequence	chromosomal loci,331,347,Sequence	genes,361,366,Sequence	gene,405,409,Sequence	TACC3,428,433,Gene_or_geneproduct	"[{""token"": ""genes"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Sequence""}, {""token"": ""genes"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Sequence""}, {""token"": ""vertebrate"", ""start_span"": 134, ""end_span"": 144, ""type"": ""Organism""}, {""token"": ""genome"", ""start_span"": 145, ""end_span"": 151, ""type"": ""Sequence""}, {""token"": ""pufferfish"", ""start_span"": 175, ""end_span"": 185, ""type"": ""Organism""}, {""token"": ""Takifugu rubripes"", ""start_span"": 186, ""end_span"": 203, ""type"": ""Organism""}, {""token"": ""genes"", ""start_span"": 216, ""end_span"": 221, ""type"": ""Sequence""}, {""token"": ""human TACC1"", ""start_span"": 243, ""end_span"": 254, ""type"": ""Gene_or_geneproduct""}, {""token"": ""genomic"", ""start_span"": 304, ""end_span"": 311, ""type"": ""Sequence""}, {""token"": ""duplication"", ""start_span"": 312, ""end_span"": 323, ""type"": ""Sequence""}, {""token"": ""chromosomal loci"", ""start_span"": 331, ""end_span"": 347, ""type"": ""Sequence""}, {""token"": ""genes"", ""start_span"": 361, ""end_span"": 366, ""type"": ""Sequence""}, {""token"": ""gene"", ""start_span"": 405, ""end_span"": 409, ""type"": ""Sequence""}, {""token"": ""TACC3"", ""start_span"": 428, ""end_span"": 433, ""type"": ""Gene_or_geneproduct""}]"	valid
The TRE - E2 transgene contains the tetracycline response element ( TRE) as part of the promoter, a synthetic intron ( thin line), the human E2 cDNA, an alanine spacer, a c - myc epitope tag, and SV40 derived polyadenylation sequence.	E2,10,12,Gene_or_geneproduct	transgene,13,22,Sequence	tetracycline,36,48,Chemical	element,58,65,Sequence	promoter,88,96,Sequence	synthetic,100,109,Sequence	intron,110,116,Sequence	human E2,135,143,Gene_or_geneproduct	cDNA,144,148,Sequence	alanine,153,160,Chemical	c - myc,171,178,Gene_or_geneproduct	epitope,179,186,Sequence	SV40,196,200,Organism	polyadenylation sequence,209,233,Sequence	"[{""token"": ""E2"", ""start_span"": 10, ""end_span"": 12, ""type"": ""Gene_or_geneproduct""}, {""token"": ""transgene"", ""start_span"": 13, ""end_span"": 22, ""type"": ""Sequence""}, {""token"": ""tetracycline"", ""start_span"": 36, ""end_span"": 48, ""type"": ""Chemical""}, {""token"": ""element"", ""start_span"": 58, ""end_span"": 65, ""type"": ""Sequence""}, {""token"": ""promoter"", ""start_span"": 88, ""end_span"": 96, ""type"": ""Sequence""}, {""token"": ""synthetic"", ""start_span"": 100, ""end_span"": 109, ""type"": ""Sequence""}, {""token"": ""intron"", ""start_span"": 110, ""end_span"": 116, ""type"": ""Sequence""}, {""token"": ""human E2"", ""start_span"": 135, ""end_span"": 143, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cDNA"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Sequence""}, {""token"": ""alanine"", ""start_span"": 153, ""end_span"": 160, ""type"": ""Chemical""}, {""token"": ""c - myc"", ""start_span"": 171, ""end_span"": 178, ""type"": ""Gene_or_geneproduct""}, {""token"": ""epitope"", ""start_span"": 179, ""end_span"": 186, ""type"": ""Sequence""}, {""token"": ""SV40"", ""start_span"": 196, ""end_span"": 200, ""type"": ""Organism""}, {""token"": ""polyadenylation sequence"", ""start_span"": 209, ""end_span"": 233, ""type"": ""Sequence""}]"	valid
A 14. 5 kb KpnI / BamHI fragment containing the entire Ptdsr locus and 5 ' and 3 ' flanking regions was subcloned from this BAC clone and a 1. 9 kb RsrII / AatII fragment containing exons I and II of the Ptdsr gene was replaced by a 1. 2 kb loxP - flanked neomycin - resistance gene cassette ( neo).	fragment,24,32,Sequence	Ptdsr,55,60,Gene_or_geneproduct	locus,61,66,Sequence	5 ' and 3 ' flanking regions,71,99,Sequence	BAC,124,127,Sequence	clone,128,133,Sequence	fragment,162,170,Sequence	exons,182,187,Sequence	Ptdsr,204,209,Gene_or_geneproduct	gene,210,214,Sequence	replaced,219,227,Sequence	loxP - flanked,241,255,Sequence	neomycin,256,264,Chemical	gene cassette,278,291,Sequence	"[{""token"": ""fragment"", ""start_span"": 24, ""end_span"": 32, ""type"": ""Sequence""}, {""token"": ""Ptdsr"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Gene_or_geneproduct""}, {""token"": ""locus"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Sequence""}, {""token"": ""5 ' and 3 ' flanking regions"", ""start_span"": 71, ""end_span"": 99, ""type"": ""Sequence""}, {""token"": ""BAC"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Sequence""}, {""token"": ""clone"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Sequence""}, {""token"": ""fragment"", ""start_span"": 162, ""end_span"": 170, ""type"": ""Sequence""}, {""token"": ""exons"", ""start_span"": 182, ""end_span"": 187, ""type"": ""Sequence""}, {""token"": ""Ptdsr"", ""start_span"": 204, ""end_span"": 209, ""type"": ""Gene_or_geneproduct""}, {""token"": ""gene"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Sequence""}, {""token"": ""replaced"", ""start_span"": 219, ""end_span"": 227, ""type"": ""Sequence""}, {""token"": ""loxP - flanked"", ""start_span"": 241, ""end_span"": 255, ""type"": ""Sequence""}, {""token"": ""neomycin"", ""start_span"": 256, ""end_span"": 264, ""type"": ""Chemical""}, {""token"": ""gene cassette"", ""start_span"": 278, ""end_span"": 291, ""type"": ""Sequence""}]"	test
A bacterial artificial chromosome ( BAC) containing the Gdf5 locus was modified by homologous recombination in bacteria to insert a cassette encoding Cre - internal ribosome entry site ( IRES) - human placental alkaline phosphatase ( hPLAP) into the translation start site of Gdf5 ( Figure 1A).	bacterial artificial chromosome,2,33,Sequence	BAC,36,39,Sequence	Gdf5,56,60,Gene_or_geneproduct	locus,61,66,Sequence	modified,71,79,Sequence	bacteria,111,119,Organism	insert,123,129,Sequence	cassette,132,140,Sequence	internal ribosome entry site,156,184,Sequence	IRES,187,191,Sequence	human placental alkaline phosphatase,195,231,Gene_or_geneproduct	hPLAP,234,239,Gene_or_geneproduct	translation start site,250,272,Sequence	Gdf5,276,280,Gene_or_geneproduct	"[{""token"": ""bacterial artificial chromosome"", ""start_span"": 2, ""end_span"": 33, ""type"": ""Sequence""}, {""token"": ""BAC"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Sequence""}, {""token"": ""Gdf5"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Gene_or_geneproduct""}, {""token"": ""locus"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Sequence""}, {""token"": ""modified"", ""start_span"": 71, ""end_span"": 79, ""type"": ""Sequence""}, {""token"": ""bacteria"", ""start_span"": 111, ""end_span"": 119, ""type"": ""Organism""}, {""token"": ""insert"", ""start_span"": 123, ""end_span"": 129, ""type"": ""Sequence""}, {""token"": ""cassette"", ""start_span"": 132, ""end_span"": 140, ""type"": ""Sequence""}, {""token"": ""internal ribosome entry site"", ""start_span"": 156, ""end_span"": 184, ""type"": ""Sequence""}, {""token"": ""IRES"", ""start_span"": 187, ""end_span"": 191, ""type"": ""Sequence""}, {""token"": ""human placental alkaline phosphatase"", ""start_span"": 195, ""end_span"": 231, ""type"": ""Gene_or_geneproduct""}, {""token"": ""hPLAP"", ""start_span"": 234, ""end_span"": 239, ""type"": ""Gene_or_geneproduct""}, {""token"": ""translation start site"", ""start_span"": 250, ""end_span"": 272, ""type"": ""Sequence""}, {""token"": ""Gdf5"", ""start_span"": 276, ""end_span"": 280, ""type"": ""Gene_or_geneproduct""}]"	test
It is interesting to note that several of these chromosome regions contain genes encoding different members of the BMP signaling pathway, including the BMP5 gene on human chromosome 6p12 ( Loughlin et al. 2002), the MADH1 gene on human chromosome 4q26 - 4q31 ( Leppavuori et al. 1999; Kent et al. 2002), and the BMPR2 receptor on human chromosome 2q33 ( Wright et al. 1996).	chromosome regions,48,66,Sequence	genes,75,80,Sequence	BMP,115,118,Gene_or_geneproduct	BMP5,152,156,Gene_or_geneproduct	gene,157,161,Sequence	human,165,170,Organism	chromosome,171,181,GO_ontology	MADH1,216,221,Gene_or_geneproduct	gene,222,226,Sequence	human,230,235,Organism	chromosome,236,246,GO_ontology	BMPR2 receptor,312,326,Gene_or_geneproduct	human,330,335,Organism	chromosome,336,346,GO_ontology	"[{""token"": ""chromosome regions"", ""start_span"": 48, ""end_span"": 66, ""type"": ""Sequence""}, {""token"": ""genes"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Sequence""}, {""token"": ""BMP"", ""start_span"": 115, ""end_span"": 118, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BMP5"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Gene_or_geneproduct""}, {""token"": ""gene"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Sequence""}, {""token"": ""human"", ""start_span"": 165, ""end_span"": 170, ""type"": ""Organism""}, {""token"": ""chromosome"", ""start_span"": 171, ""end_span"": 181, ""type"": ""GO_ontology""}, {""token"": ""MADH1"", ""start_span"": 216, ""end_span"": 221, ""type"": ""Gene_or_geneproduct""}, {""token"": ""gene"", ""start_span"": 222, ""end_span"": 226, ""type"": ""Sequence""}, {""token"": ""human"", ""start_span"": 230, ""end_span"": 235, ""type"": ""Organism""}, {""token"": ""chromosome"", ""start_span"": 236, ""end_span"": 246, ""type"": ""GO_ontology""}, {""token"": ""BMPR2 receptor"", ""start_span"": 312, ""end_span"": 326, ""type"": ""Gene_or_geneproduct""}, {""token"": ""human"", ""start_span"": 330, ""end_span"": 335, ""type"": ""Organism""}, {""token"": ""chromosome"", ""start_span"": 336, ""end_span"": 346, ""type"": ""GO_ontology""}]"	test
At 8 weeks of age, male Mtf1loxP / loxP mice harboring the Mx - cre transgene ( Mtf1loxP / loxP Mx - cre, abbr.: Mtf1Mx - cre) and control littermates without transgene ( Mtf1loxP / loxP, abbr.: Mtf1loxP) received four intraperitoneal injections each of 300 micro g synthetic double - stranded RNA polyinosinic - polycytidylic acid [ pI - pC; Sigma; in a volume of 60 micro l phosphate - buffered saline ( PBS)] at 3 day intervals.	loxP,28,32,Sequence	mice,40,44,Organism	Mx,59,61,Gene_or_geneproduct	transgene,68,77,Sequence	loxP,84,88,Sequence	Mx,96,98,Gene_or_geneproduct	transgene,159,168,Sequence	loxP,175,179,Sequence	synthetic,266,275,Sequence	double - stranded,276,293,Sequence	RNA,294,297,Sequence	acid,327,331,Chemical	phosphate,376,385,Chemical	buffered,388,396,Chemical	"[{""token"": ""loxP"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Organism""}, {""token"": ""Mx"", ""start_span"": 59, ""end_span"": 61, ""type"": ""Gene_or_geneproduct""}, {""token"": ""transgene"", ""start_span"": 68, ""end_span"": 77, ""type"": ""Sequence""}, {""token"": ""loxP"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Sequence""}, {""token"": ""Mx"", ""start_span"": 96, ""end_span"": 98, ""type"": ""Gene_or_geneproduct""}, {""token"": ""transgene"", ""start_span"": 159, ""end_span"": 168, ""type"": ""Sequence""}, {""token"": ""loxP"", ""start_span"": 175, ""end_span"": 179, ""type"": ""Sequence""}, {""token"": ""synthetic"", ""start_span"": 266, ""end_span"": 275, ""type"": ""Sequence""}, {""token"": ""double - stranded"", ""start_span"": 276, ""end_span"": 293, ""type"": ""Sequence""}, {""token"": ""RNA"", ""start_span"": 294, ""end_span"": 297, ""type"": ""Sequence""}, {""token"": ""acid"", ""start_span"": 327, ""end_span"": 331, ""type"": ""Chemical""}, {""token"": ""phosphate"", ""start_span"": 376, ""end_span"": 385, ""type"": ""Chemical""}, {""token"": ""buffered"", ""start_span"": 388, ""end_span"": 396, ""type"": ""Chemical""}]"	test
Besides genes related to the glutathione pathway, several other stress - related genes were upregulated upon cadmium exposure, including genes for thioredoxin reductase 1 ( Txnrd1), one of the reducing enzymes of the antioxidant thioredoxin ( 46); KDEL endoplasmic reticulum protein retention receptor 2 ( Kdelr2) participating in ER stress response ( 47); and the anti - apoptotic Bcl2 - associated athanogene 3 ( Bag3) involved in stress - induced apoptosis ( 48).	genes,8,13,Sequence	glutathione,29,40,Chemical	genes,81,86,Sequence	cadmium,109,116,Chemical	genes for thioredoxin reductase 1,137,170,Gene_or_geneproduct	Txnrd1,173,179,Gene_or_geneproduct	enzymes,202,209,Sequence	antioxidant,217,228,Chemical	thioredoxin,229,240,Chemical	KDEL endoplasmic reticulum protein retention receptor 2,248,303,Gene_or_geneproduct	Kdelr2,306,312,Gene_or_geneproduct	ER,331,333,GO_ontology	Bcl2 - associated athanogene 3,382,412,Gene_or_geneproduct	Bag3,415,419,Gene_or_geneproduct	"[{""token"": ""genes"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Sequence""}, {""token"": ""glutathione"", ""start_span"": 29, ""end_span"": 40, ""type"": ""Chemical""}, {""token"": ""genes"", ""start_span"": 81, ""end_span"": 86, ""type"": ""Sequence""}, {""token"": ""cadmium"", ""start_span"": 109, ""end_span"": 116, ""type"": ""Chemical""}, {""token"": ""genes for thioredoxin reductase 1"", ""start_span"": 137, ""end_span"": 170, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Txnrd1"", ""start_span"": 173, ""end_span"": 179, ""type"": ""Gene_or_geneproduct""}, {""token"": ""enzymes"", ""start_span"": 202, ""end_span"": 209, ""type"": ""Sequence""}, {""token"": ""antioxidant"", ""start_span"": 217, ""end_span"": 228, ""type"": ""Chemical""}, {""token"": ""thioredoxin"", ""start_span"": 229, ""end_span"": 240, ""type"": ""Chemical""}, {""token"": ""KDEL endoplasmic reticulum protein retention receptor 2"", ""start_span"": 248, ""end_span"": 303, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Kdelr2"", ""start_span"": 306, ""end_span"": 312, ""type"": ""Gene_or_geneproduct""}, {""token"": ""ER"", ""start_span"": 331, ""end_span"": 333, ""type"": ""GO_ontology""}, {""token"": ""Bcl2 - associated athanogene 3"", ""start_span"": 382, ""end_span"": 412, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bag3"", ""start_span"": 415, ""end_span"": 419, ""type"": ""Gene_or_geneproduct""}]"	test
