To date, there are very few reports describing species - specific splice variants.	"splice variants	66	81	Sequence"	"[{""token"": ""splice variants"", ""start_span"": 66, ""end_span"": 81, ""type"": ""Sequence""}]"
DNA Sequencing	"DNA	0	3	Sequence"	"[{""token"": ""DNA"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Sequence""}]"
Clones were purchased from Research Genetics ( Huntsville, AL).	"Clones	0	6	Sequence"	"[{""token"": ""Clones"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Sequence""}]"
Sequencing was performed using the AmpliCycle sequencing kit from Applied Biosystems ( Foster City, CA) on a Genomyx LR programmable DNA sequencer.	"DNA	133	136	Sequence"	"[{""token"": ""DNA"", ""start_span"": 133, ""end_span"": 136, ""type"": ""Sequence""}]"
The digests were electrophoresed on a 1% agarose gel at 60V overnight and were transferred onto a Hybond N + membrane from Amersham Pharmacia Biotech ( Piscataway, NJ).	"agarose	41	48	Chemical"	"[{""token"": ""agarose"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Chemical""}]"
Hybridizations and washes were carried out in standard conditions, with the stripping of previously bound probes in between [ 16].	"probes	106	112	Sequence"	"[{""token"": ""probes"", ""start_span"": 106, ""end_span"": 112, ""type"": ""Sequence""}]"
Many members of the animal kingdom display coat or skin color differences along their dorsoventral axis.	"animal	20	26	Organism"	"[{""token"": ""animal"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Organism""}]"
Transplantation experiments demonstrate that positional identity of the skin with regard to dorsoventral pigmentation differences is acquired by E12. 5, which is shortly after early embryonic expression of Tbx15.	"Tbx15	206	211	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 206, ""end_span"": 211, ""type"": ""Gene_or_geneproduct""}]"
Fate - mapping studies show that the dorsoventral pigmentation boundary is not in register with a previously identified dermal cell lineage boundary, but rather with the limb dorsoventral boundary.	"cell	127	131	Cell"	"[{""token"": ""cell"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Cell""}]"
Embryonic expression of Tbx15 in dorsolateral mesenchyme provides an instructional cue required to establish the future positional identity of dorsal dermis.	"Tbx15	24	29	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Gene_or_geneproduct""}]"
A fundamental question in developmental biology is how adjacent regions of the vertebrate body acquire differences in their appearance or morphology.	"vertebrate	79	89	Organism"	"[{""token"": ""vertebrate"", ""start_span"": 79, ""end_span"": 89, ""type"": ""Organism""}]"
Mechanisms that establish the general body plan make use of a relatively small number of signaling pathways shared among all animals ( reviewed in Pires - daSilva and Sommer 2003), but the extent to which these pathways control finer differences between body regions is not clear.	"animals	125	132	Organism"	"[{""token"": ""animals"", ""start_span"": 125, ""end_span"": 132, ""type"": ""Organism""}]"
In natural environments, color variation is a nearly universal mechanism for recognition, camouflage, or both; consequently, a large number of pigment patterns have been characterized from an evolutionary and ecological perspective ( Boughman 2001; Jiggins et al. 2001).	"pigment	143	150	Chemical"	"[{""token"": ""pigment"", ""start_span"": 143, ""end_span"": 150, ""type"": ""Chemical""}]"
Several mechanisms may contribute to regional differences in vertebrate pigmentation.	"vertebrate	61	71	Organism"	"[{""token"": ""vertebrate"", ""start_span"": 61, ""end_span"": 71, ""type"": ""Organism""}]"
Within hair follicles, paracrine signals control the type of pigment made in specific regions of the body or at specific times during the hair cycle ( reviewed in Furumura et al. 1996; Barsh et al. 2000).	"pigment	61	68	Chemical"	"[{""token"": ""pigment"", ""start_span"": 61, ""end_span"": 68, ""type"": ""Chemical""}]"
One of the most obvious aspects of regional color variation in vertebrates is a dark dorsal surface juxtaposed to a light ventral surface, apparent in the color of skin, scales, feathers, or hair, in which the boundary between dorsal and ventral compartments is often sharp and lies in register with the limbs.	"vertebrates	63	74	Organism"	"[{""token"": ""vertebrates"", ""start_span"": 63, ""end_span"": 74, ""type"": ""Organism""}]"
These results identify a previously unappreciated aspect of dorsoventral patterning that is widely represented in furred mammals and provide insight into the mechanisms that underlie region - specific differences in body morphology.	"mammals	121	128	Organism"	"[{""token"": ""mammals"", ""start_span"": 121, ""end_span"": 128, ""type"": ""Organism""}]"
In particular, ventral hair of at / at animals can vary from cream - colored to reddish - yellow depending on age, strain background, and position along the dorsoventral axis.	"animals	39	46	Organism"	"[{""token"": ""animals"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Organism""}]"
Within the region of transition from dorsum to ventrum ( Figure 1B), flank hairs from at / at mice become progressively shorter and exhibit increasing amounts of pheomelanin deposition progressing from the tip to the base of the hair.	"mice	94	98	Organism"	"[{""token"": ""mice"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Organism""}]"
Although hair - cycle timing varies along the rostrocaudal axis, measurements of absolute hair length for mice matched for age and rostrocaudal level are remarkably similar ( Figure 1D).	"mice	106	110	Organism"	"[{""token"": ""mice"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Organism""}]"
However, differences in skin thickness disappear by 3 - 4 wk of age ( Forsthoefel et al. 1966), and, overall, the proportion of different hair types is also similar in dorsa and ventra of adult mice.	"mice	194	198	Organism"	"[{""token"": ""mice"", ""start_span"": 194, ""end_span"": 198, ""type"": ""Organism""}]"
External craniofacial malformations are the most obvious characteristic of deH / deH animals, including widely spaced eyes, small palpebral fissures, a broad nasal area, and a shortened skull held in an elevated position, which presumably causes or contributes to the abnormal position of the ears.	"animals	85	92	Organism"	"[{""token"": ""animals"", ""start_span"": 85, ""end_span"": 92, ""type"": ""Organism""}]"
The ventral region has short hairs with a gray base and cream - colored tip whose boundary coincides with the limb - body wall junction; both the appearance of this region and position of the boundary are approximately similar in at / at compared to at / at; deH / deH mice.	"mice	269	273	Organism"	"[{""token"": ""mice"", ""start_span"": 269, ""end_span"": 273, ""type"": ""Organism""}]"
To investigate whether deH affects other dorsoventral skin characteristics besides pigment - type switching, we examined its effects on hair length and pigmentation in an ae / ae background.	"pigment	83	90	Chemical"	"[{""token"": ""pigment"", ""start_span"": 83, ""end_span"": 90, ""type"": ""Chemical""}]"
Adult ae / ae; deH / deH animals exhibit body - size reduction and skeletal abnormalities, but display no coat - color phenotype ( data not shown).	"animals	25	32	Organism"	"[{""token"": ""animals"", ""start_span"": 25, ""end_span"": 32, ""type"": ""Organism""}]"
This same region may serve as a boundary between dorsal and ventral skin by inhibiting melanocyte differentiation, by promoting pheomelanin synthesis, and by supporting a progressive increase in hair growth from ventrum to dorsum.	"melanocyte	87	97	Cell"	"[{""token"": ""melanocyte"", ""start_span"": 87, ""end_span"": 97, ""type"": ""Cell""}]"
Positional Cloning of deH	"Positional	0	10	Sequence"	"[{""token"": ""Positional"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Sequence""}]"
We considered Tbx15 as an excellent candidate for the skeletal abnormalities caused by deH, based on studies by Agulnik et al.	"Tbx15	14	19	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Gene_or_geneproduct""}]"
Using sequence information from Agulnik et al.	"sequence	6	14	Sequence"	"[{""token"": ""sequence"", ""start_span"": 6, ""end_span"": 14, ""type"": ""Sequence""}]"
( 1998) using whole - mount in situ hybridization described expression of Tbx15 as first detectable at E9. 5 in the limb buds, progressing to the branchial arches, flanks, and craniofacial regions through E12. 5.	"Tbx15	74	79	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Gene_or_geneproduct""}]"
We were particularly interested in determining the exact nature of the embryonic flank expression relative to the ventralized phenotype of adult deH / deH mice.	"mice	155	159	Organism"	"[{""token"": ""mice"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Organism""}]"
By E13. 5, the developing dermis has become separated from the loose mesenchyme by a subcutaneous muscle layer; Tbx15 is expressed in all of these layers as well as the underlying abdominal muscles.	"Tbx15	112	117	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 112, ""end_span"": 117, ""type"": ""Gene_or_geneproduct""}]"
However, at E14. 5, the normal ventral - to - dorsal gradient of Agouti expression appeared to extend more dorsally in deH / deH embryos ( Figure 6A).	"Agouti	65	71	Gene_or_geneproduct"	"[{""token"": ""Agouti"", ""start_span"": 65, ""end_span"": 71, ""type"": ""Gene_or_geneproduct""}]"
Relationship of Embryonic Tbx15 Expression to Dorsal and Ventral Pigmentation Domains	"Tbx15	26	31	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 26, ""end_span"": 31, ""type"": ""Gene_or_geneproduct""}]"
In a variation on this experiment, we divided embryonic skin from at / a embryos into dorsal, flank, and ventral pieces and analyzed the different pieces for their ability to give rise to black or yellow hair after testis transplantation, and, in parallel, for gene expression using in situ hybridization.	"gene	261	265	Sequence"	"[{""token"": ""gene"", ""start_span"": 261, ""end_span"": 265, ""type"": ""Sequence""}]"
Relationship of the Dorsoventral Pigment Boundary to Lineage Compartments and the Lateral Somitic Frontier	"Pigment	33	40	Chemical"	"[{""token"": ""Pigment"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Chemical""}]"
The ectodermal notch that we used to mark the boundary between embryonic dorsum and embryonic flank is a characteristic feature in vertebrate embryos.	"vertebrate	131	141	Organism"	"[{""token"": ""vertebrate"", ""start_span"": 131, ""end_span"": 141, ""type"": ""Organism""}]"
"In cell lineage studies carried out in the chick system, the notch serves as a landmark for the boundary between dermis derived from somitic mesoderm and dermis derived from lateral plate mesoderm and has been termed the "" lateral somitic frontier "" ( Olivera - Martinez et al. 2000; Sudo et al. 2001; Burke and Nowicki 2003; Nowicki et al. 2003)."	"cell	3	7	Cell"	"[{""token"": ""cell"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Cell""}]"
Although fate - mapping studies have not been carried out in mammalian embryos, somite - and lateral plate - derived mesoderm could give rise to precursors for dermis dorsal and ventral to the limb - body wall junction, respectively.	"mammalian	61	70	Organism"	"[{""token"": ""mammalian"", ""start_span"": 61, ""end_span"": 70, ""type"": ""Organism""}]"
In whole - mount skin preparations from P1. 5 or P4. 5 neonatal animals, we observed a ventral band of dark X - Gal staining corresponding to lateral plate - derived dermis, which represents 63% of the total circumference ( Figure 8A).	"animals	64	71	Organism"	"[{""token"": ""animals"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Organism""}]"
En1 is transiently expressed in the developing flank; at E11. 5, transverse abdominal sections reveal domains in the neural tube, somite - derived mesenchyme, and the ventral body wall ( Figure 8C).	"En1	0	3	Gene_or_geneproduct"	"[{""token"": ""En1"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_geneproduct""}]"
An adjacent section hybridized with Tbx15 reveals a complementary pattern in the flank, which provides additional evidence for developmental mechanisms that establish a pigmentation boundary entirely within lateral plate mesoderm and independent of lineage restrictions imposed by the lateral somitic frontier.	"Tbx15	36	41	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Gene_or_geneproduct""}]"
The ventral edge of Tbx15 expression in the developing flank does not correspond to a known lineage compartment, but, like limb development, occurs within lateral plate mesoderm.	"Tbx15	20	25	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Gene_or_geneproduct""}]"
The three gradients are close but not congruent, and it is their proximity that gives rise to the superficial distinction between dorsal and ventral skin of at / at mice.	"mice	165	169	Organism"	"[{""token"": ""mice"", ""start_span"": 165, ""end_span"": 169, ""type"": ""Organism""}]"
"Thus, despite the abnormal pattern of dark skin in neonatal deH / deH mice ( e. g., Figure 2D), the most obvious feature in adults is dorsal displacement of the "" boundary "" between black and yellow hair ( Figure 9A)."	"mice	70	74	Organism"	"[{""token"": ""mice"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Organism""}]"
Genetics of Tbx15	"Tbx15	12	17	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Gene_or_geneproduct""}]"
Originally described as a rare autosomal - dominant syndrome with progressive facial coarsening, overgrowth of the intraoral mucosa, and large, doughy hands, more recent case reports describe macrosomia, macrocephaly, or both and generalized hypertrichosis with progressive coarsening ( Dallapiccola et al. 1992; Irvine et al. 1996; da Silva et al. 1998; Zelante et al. 2000).	"autosomal	31	40	GO_ontology"	"[{""token"": ""autosomal"", ""start_span"": 31, ""end_span"": 40, ""type"": ""GO_ontology""}]"
Developmental Mechanism of Tbx15 Expression and Action in the Skin	"Tbx15	27	32	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Gene_or_geneproduct""}]"
However, Agouti is also expressed in the embryo, where it provides a convenient marker of ventral dermis identity.	"Agouti	9	15	Gene_or_geneproduct"	"[{""token"": ""Agouti"", ""start_span"": 9, ""end_span"": 15, ""type"": ""Gene_or_geneproduct""}]"
Either mechanism may apply to the apparent dorsal - to - ventral transformation in deH / deH mice.	"mice	93	97	Organism"	"[{""token"": ""mice"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Organism""}]"
Loss of Tbx15 also affects regional distribution of hair color in the limbs, with areas that would normally produce black hair giving rise to yellow hair instead.	"Tbx15	8	13	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Gene_or_geneproduct""}]"
However, the number and apparent position of the mammary glands are normal in deH / deH animals, indicating the existence of additional mechanisms that control dorsoventral patterning in the trunk as well as in the limbs.	"animals	88	95	Organism"	"[{""token"": ""animals"", ""start_span"": 88, ""end_span"": 95, ""type"": ""Organism""}]"
In fact, the same mechanism that determines dorsoventral position of the limbs and the apical ectodermal ridge may also act on expression of Tbx15 in the trunk, since ectopic limbs induced in the interlimb region by application of FGF beads develop along a single line that is coincident with normal limb buds ( and the future pigmentation boundary) ( Cohn et al. 1995; Crossley et al. 1996; Vogel et al. 1996; Altabef et al. 1997, 2000).	"Tbx15	141	146	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 141, ""end_span"": 146, ""type"": ""Gene_or_geneproduct""}]"
Our model predicts that ectopic expression of Tbx15 in ventral mesenchyme should give rise to a dorsalized pigmentation phenotype and could be tested with gain - of - function approaches.	"Tbx15	46	51	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Gene_or_geneproduct""}]"
However, Tbx15 expression is very dynamic and is restricted to dorsal mesoderm only from E11. 5 to E13. 5.	"Tbx15	9	14	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 9, ""end_span"": 14, ""type"": ""Gene_or_geneproduct""}]"
Mice	"Mice	0	4	Organism"	"[{""token"": ""Mice"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Organism""}]"
The deH mutation arose in the 1960s in Harwell, probably on the BN strain background ( C. Beechey, personal communication).	"mutation	8	16	Sequence"	"[{""token"": ""mutation"", ""start_span"": 8, ""end_span"": 16, ""type"": ""Sequence""}]"
For measurements of hair length and color, the entire interlimb region of skin was first dissected with a single incision at the dorsal midline and preserved with powdered sodium bicarbonate.	"sodium bicarbonate	172	190	Chemical"	"[{""token"": ""sodium bicarbonate"", ""start_span"": 172, ""end_span"": 190, ""type"": ""Chemical""}]"
To assess dorsoventral variation in hair - type distribution, several hundred hairs were plucked from the middorsum or midventrum of 8 - wk - old male BA strain animals, then sorted and categorized using a dissection microscope.	"animals	161	168	Organism"	"[{""token"": ""animals"", ""start_span"": 161, ""end_span"": 168, ""type"": ""Organism""}]"
This method is sufficient to stain interfollicular melanocytes without creating a high background.	"melanocytes	51	62	Cell"	"[{""token"": ""melanocytes"", ""start_span"": 51, ""end_span"": 62, ""type"": ""Cell""}]"
Positional cloning	"Positional	0	10	Sequence"	"[{""token"": ""Positional"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Sequence""}]"
We initially localized deH to a 1 cM interval between D3Mit233 and D3Mit11.	"interval	37	45	Sequence"	"[{""token"": ""interval"", ""start_span"": 37, ""end_span"": 45, ""type"": ""Sequence""}]"
Gene targeting	"Gene	0	4	Sequence"	"[{""token"": ""Gene"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Sequence""}]"
Skin fragments were grafted to the testes of congenic animals as follows.	"animals	54	61	Organism"	"[{""token"": ""animals"", ""start_span"": 54, ""end_span"": 61, ""type"": ""Organism""}]"
After 21 days, mice that received grafts were sacrificed and the resulting hair was dissected from the testes and examined.	"mice	15	19	Organism"	"[{""token"": ""mice"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Organism""}]"
We are especially grateful to Hirotake Ono for discussion, to Hermie Manuel and to Carla Kroon - Veenboer for technical help, and to David Kingsley for first drawing our attention to the effects of droopy ear on pigmentation.	"droopy ear	198	208	Gene_or_geneproduct"	"[{""token"": ""droopy ear"", ""start_span"": 198, ""end_span"": 208, ""type"": ""Gene_or_geneproduct""}]"
ae - extreme nonagouti allele	"allele	23	29	Sequence"	"[{""token"": ""allele"", ""start_span"": 23, ""end_span"": 29, ""type"": ""Sequence""}]"
at - black - and - tan allele	"allele	23	29	Sequence"	"[{""token"": ""allele"", ""start_span"": 23, ""end_span"": 29, ""type"": ""Sequence""}]"
B6 - C57BL / 6J mice	"mice	16	20	Organism"	"[{""token"": ""mice"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Organism""}]"
( B) Enlarged area from ( A), demonstrating the transition in hair length and color in at / at mice ( scale bar = 0. 375 cm).	"mice	95	99	Organism"	"[{""token"": ""mice"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Organism""}]"
( D) Hair length plotted as a function of absolute position along the dorsoventral axis for 8 - wk - old BA strain mice.	"mice	115	119	Organism"	"[{""token"": ""mice"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Organism""}]"
( E) Proportion of zigzag hairs ( +/- SEM) differs slightly between dorsum and ventrum of inbred mice ( p < 0. 0001, chi 2 test, n = 1, 958, 1, 477, 1, 579, 1, 502).	"mice	97	101	Organism"	"[{""token"": ""mice"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Organism""}]"
The lower panel shows DOPA - stained dermis ( scale bar = 200 mu m).	"DOPA	22	26	Chemical"	"[{""token"": ""DOPA"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Chemical""}]"
( A) 10 - wk - old deH / deH and nonmutant animals on a at background.	"animals	43	50	Organism"	"[{""token"": ""animals"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Organism""}]"
The proportion occupied by the yellow lateral compartment ( +/- SEM) differs between mutant and nonmutant littermate flanks ( p < 0. 0005, paired t - test, n = 6 pairs).	"mutant	85	91	Sequence"	"[{""token"": ""mutant"", ""start_span"": 85, ""end_span"": 91, ""type"": ""Sequence""}]"
There is also ( data not shown) a small increase in the proportion of total skin area occupied by the ventral cream - colored compartment, 47. 9% in mutant compared to 37. 8% in nonmutant ( p < 0. 005, paired t - test, n = 6 pairs).	"mutant	149	155	Sequence"	"[{""token"": ""mutant"", ""start_span"": 149, ""end_span"": 155, ""type"": ""Sequence""}]"
Heterozygotes for the targeted allele exhibit normal size, morphology, and hair - color patterns, but homozygotes and Tbx15LacZ / deH compound heterozygotes are identical to deH homozygotes.	"allele	31	37	Sequence"	"[{""token"": ""allele"", ""start_span"": 31, ""end_span"": 37, ""type"": ""Sequence""}]"
Developmental Expression of Tbx15	"Tbx15	28	33	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Gene_or_geneproduct""}]"
At P3. 5, Tbx15 is expressed in the entire dermis and is most strongly expressed in dermal sheaths ( scale bar = 200 mu m).	"Tbx15	10	15	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Gene_or_geneproduct""}]"
( A and C) Tbx15.	"Tbx15	11	16	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 11, ""end_span"": 16, ""type"": ""Gene_or_geneproduct""}]"
( B and D) Agouti.	"Agouti	11	17	Gene_or_geneproduct"	"[{""token"": ""Agouti"", ""start_span"": 11, ""end_span"": 17, ""type"": ""Gene_or_geneproduct""}]"
Effect of deH on Agouti Expression	"Agouti	17	23	Gene_or_geneproduct"	"[{""token"": ""Agouti"", ""start_span"": 17, ""end_span"": 23, ""type"": ""Gene_or_geneproduct""}]"
( A) At E14. 5, deH / deH embryos have a smaller body cavity and loose skin within which Agouti expression appears to be shifted dorsally, as marked by arrows ( scale bars = 500 mu m).	"Agouti	89	95	Gene_or_geneproduct"	"[{""token"": ""Agouti"", ""start_span"": 89, ""end_span"": 95, ""type"": ""Gene_or_geneproduct""}]"
Sections shown are representative of two mutant and two nonmutant samples examined at each time.	"mutant	41	47	Sequence"	"[{""token"": ""mutant"", ""start_span"": 41, ""end_span"": 47, ""type"": ""Sequence""}]"
Pieces of skin from dorsal, flank, and ventral regions of at / a E12. 5 embryos were transplanted into the testes of congenic animals as described in the text.	"animals	126	133	Organism"	"[{""token"": ""animals"", ""start_span"": 126, ""end_span"": 133, ""type"": ""Organism""}]"
The arrow indicates the boundary between the expression domains of the two genes.	"genes	75	80	Sequence"	"[{""token"": ""genes"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Sequence""}]"
Model for Acquisition of Dorsoventral Patterning in the Trunk and the Role of Tbx15	"Tbx15	78	83	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Gene_or_geneproduct""}]"
( B) The lateral yellow stripe in at / at mice lies at the same level as the limb dorsoventral boundary.	"mice	42	46	Organism"	"[{""token"": ""mice"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Organism""}]"
As described in the text, we propose that distinct dorsoventral compartments in ectoderm of the trunk provide an instructional cue to the mesoderm, leading to expression of Tbx15 in dorsal trunk mesenchyme and acquisition of dorsal dermis character.	"Tbx15	173	178	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 173, ""end_span"": 178, ""type"": ""Gene_or_geneproduct""}]"
In the absence of Tbx15, dorsal mesenchyme assumes ventral characteristics instead.	"Tbx15	18	23	Gene_or_geneproduct"	"[{""token"": ""Tbx15"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Gene_or_geneproduct""}]"
YC and AR contributed reagents / materials / analysis tools.	"reagents	22	30	Chemical"	"[{""token"": ""reagents"", ""start_span"": 22, ""end_span"": 30, ""type"": ""Chemical""}]"
Late gestational lung hypoplasia in a mouse model of the Smith - Lemli - Opitz syndrome	"mouse	38	43	Organism"	"[{""token"": ""mouse"", ""start_span"": 38, ""end_span"": 43, ""type"": ""Organism""}]"
Significant growth retardation, beginning at E14. 5 ~ E16. 5, was observed in Dhcr7 - / - embryos.	"Dhcr7	78	83	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Gene_or_geneproduct""}]"
Normal lobation but smaller lungs with a significant decrease in lung - to - body weight ratio was noted in Dhcr7 - / - embryos, compared to controls.	"Dhcr7	108	113	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 108, ""end_span"": 113, ""type"": ""Gene_or_geneproduct""}]"
Mammalian lung is unique in that it is fully developed, but does not function for gas exchange until at the moment of birth; the majority of structural development and maturation takes place in utero.	"Mammalian	0	9	Organism"	"[{""token"": ""Mammalian"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Organism""}]"
Lung development is a complex process that involves branching morphogenesis of epithelium, interstitial development including vasculogenesis, cellular differentiation, biochemical maturation and physical growth.	"cellular	142	150	Cell"	"[{""token"": ""cellular"", ""start_span"": 142, ""end_span"": 150, ""type"": ""Cell""}]"
Four stages of mouse lung development have been described, based upon the histological appearances of lung; pseudoglandular, canalicular, terminal saccular and alveolar stages [ 19].	"mouse	15	20	Organism"	"[{""token"": ""mouse"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Organism""}]"
Hedgehog family members play diverse roles in embryonic development, and cholesterol is necessary for maturation of these morphogens [ 20 - 23].	"cholesterol	73	84	Chemical"	"[{""token"": ""cholesterol"", ""start_span"": 73, ""end_span"": 84, ""type"": ""Chemical""}]"
Loss of Shh function resulted in severe lung defects associated with loss of branching morphogenesis, but preserved proximal - to - distal differentiation of lung epithelium [ 24].	"Shh	8	11	Gene_or_geneproduct"	"[{""token"": ""Shh"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Gene_or_geneproduct""}]"
In the present studies, we characterized lung development in Dhcr7 - / - embryos from E10. 5 to birth.	"Dhcr7	61	66	Gene_or_geneproduct"	"[{""token"": ""Dhcr7"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Gene_or_geneproduct""}]"
Differentiation of type II alveolar epithelial cells ( AECs) appeared normal but differentiation of type I AECs was severely impaired.	"epithelial cells	36	52	Cell"	"[{""token"": ""epithelial cells"", ""start_span"": 36, ""end_span"": 52, ""type"": ""Cell""}]"
Therefore, cholesterol deficiency resulted in a distinct late gestational lung hypoplasia, characterized by impaired sacculation with delayed type I AECs differentiation and immature vascular development.	"cholesterol	11	22	Chemical"	"[{""token"": ""cholesterol"", ""start_span"": 11, ""end_span"": 22, ""type"": ""Chemical""}]"
