The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
hSVCT1 had a 1797 bp open reading frame encoding a 598 amino acid polypeptide.	"hSVCT1	0	6	Gene_or_gene_product"	"[{""token"": ""hSVCT1"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
The 1953 bp open reading frame of hSVCT2 encoded a 650 amino acid polypeptide.	"hSVCT2	34	40	Gene_or_gene_product"	"[{""token"": ""hSVCT2"", ""start_span"": 34, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
Availability of the human transporter clones may facilitate new strategies for determining vitamin C intake.	"vitamin C	91	100	Chemical"	"[{""token"": ""vitamin C"", ""start_span"": 91, ""end_span"": 100, ""type"": ""Chemical""}]"
The core of the GPI anchor is conserved in all eukaryotes but is modified by various side chains.	"GPI anchor	16	26	Chemical"	"[{""token"": ""GPI anchor"", ""start_span"": 16, ""end_span"": 26, ""type"": ""Chemical""}]"
Two novel tetrasaccharides were discovered with proposed structures of DeltaUA2S - GlcNS - IdoUA2S - [ ( 35) S] GlcNH ( 2) 3S and DeltaUA2S - GlcNS - IdoUA2S - [ 3 - ( 35) S] GlcNH ( 2) 3S6S.	"tetrasaccharides	10	26	Chemical"	"[{""token"": ""tetrasaccharides"", ""start_span"": 10, ""end_span"": 26, ""type"": ""Chemical""}]"
These findings provide a rationale to explain how inherited mutations in either of the two EXT genes can cause loss of activity, resulting in hereditary multiple exostoses.	"EXT	91	94	Gene_or_gene_product"	"[{""token"": ""EXT"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}]"
Although ubiquitinated histones are present in substantial levels in vertebrate cells, the roles they play in specific biological processes and the cellular factors that regulate this modification are not well characterized.	"histones	23	31	Gene_or_gene_product"	"[{""token"": ""histones"", ""start_span"": 23, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"
Export of Cdc24 to a site of cell polarization is mediated by two mechanisms.	"Cdc24	10	15	Gene_or_gene_product"	"[{""token"": ""Cdc24"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
This sequestration regulates cell polarity in response to pheromones by restricting activation of Cdc42 to the site of pheromone receptor activation.	"Cdc42	98	103	Gene_or_gene_product"	"[{""token"": ""Cdc42"", ""start_span"": 98, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}]"
The expression cloning of a cDNA for globotriaosylceramide ( Gb3) / CD77 synthase ( alpha1, 4 - galactosyltransferase) was achieved using an anti - Gb3 antibody and mouse L cells as a recipient cell line for the transfection.	"Gb3	61	64	Chemical"	"[{""token"": ""Gb3"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Chemical""}]"
E2F family members are differentially regulated by reversible acetylation.	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
The six members of the E2F family of transcription factors play a key role in the control of cell cycle progression by regulating the expression of genes involved in DNA replication and cell proliferation.	"E2F	23	26	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
Acetylation occurs at three conserved lysine residues located at the N - terminal boundary of their DNA binding domains.	"lysine	38	44	Chemical"	"[{""token"": ""lysine"", ""start_span"": 38, ""end_span"": 44, ""type"": ""Chemical""}]"
The dissociation constant of nitrite bound to the native enzyme is 2. 3 + / - 0. 1 mm at pH 7 and 31. 3 + / - 0. 5 micrometer at pH 5.	"nitrite	29	36	Chemical"	"[{""token"": ""nitrite"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Chemical""}]"
The rate constant of reduction of compound II to the ferric native enzyme at 15 degrees C is ( 5. 5 + / - 0. 1) x 10 ( 2) m ( - 1) s ( - 1) at pH 7 and ( 8. 9 + / - 1. 6) x 10 ( 4) m ( - 1) s ( - 1) at pH 5.	"compound II	34	45	Gene_or_gene_product"	"[{""token"": ""compound II"", ""start_span"": 34, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
BCR stimulation leads to the activation of transcription factor nuclear factor ( NF) - kappaB, which in turn regulates genes controlling B cell growth.	"BCR	0	3	Complex"	"[{""token"": ""BCR"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Complex""}]"
This defect can be rescued by reconstitution with wild - type BTK.	"BTK	62	65	Gene_or_gene_product"	"[{""token"": ""BTK"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}]"
NF - kappaB is found in essentially all cell types and is involved in activation of an exceptionally large number of genes in response to infections, inflammation, and other stressful situations requiring rapid reprogramming of gene expression.	"NF - kappaB	0	11	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Complex""}]"
NF - kappaB activation represents a paradigm for controlling the function of a regulatory protein via ubiquitination - dependent proteolysis, as an integral part of a phosphorylationbased signaling cascade.	"NF - kappaB	0	11	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Complex""}]"
In contrast, p63 has been demonstrated to be essential for limb and skin formation.	"p63	13	16	Gene_or_gene_product"	"[{""token"": ""p63"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}]"
This latter gene is predominantly expressed in its transcriptionally inactive form, DeltaNp63.	"DeltaNp63	84	93	Gene_or_gene_product"	"[{""token"": ""DeltaNp63"", ""start_span"": 84, ""end_span"": 93, ""type"": ""Gene_or_gene_product""}]"
A human cDNA encoding a 70. 9 - kDa type II membrane protein with sequence similarity to class I alpha1, 2 - mannosidases was isolated.	"membrane	44	52	Cellular_component"	"[{""token"": ""membrane"", ""start_span"": 44, ""end_span"": 52, ""type"": ""Cellular_component""}]"
alpha1, 2 - Mannosidase IC sequentially hydrolyzes the alpha1, 2 - linked mannose residues of [ ( 3) H] mannose - labeled Man ( 9) GlcNAc to form [ ( 3) H] Man ( 6) GlcNAc and a small amount of [ ( 3) H] Man ( 5) GlcNAc.	"mannose	74	81	Chemical"	"[{""token"": ""mannose"", ""start_span"": 74, ""end_span"": 81, ""type"": ""Chemical""}]"
The order of mannose removal was determined by separating oligosaccharide isomers formed from pyridylaminated Man ( 9) GlcNAc ( 2) by high performance liquid chromatography.	"mannose	13	20	Chemical"	"[{""token"": ""mannose"", ""start_span"": 13, ""end_span"": 20, ""type"": ""Chemical""}]"
The full - length alpha1, 2 - mannosidase IC was localized to the Golgi of MDBK and MDCK cells by indirect immunofluorescence.	"Golgi	66	71	Cellular_component"	"[{""token"": ""Golgi"", ""start_span"": 66, ""end_span"": 71, ""type"": ""Cellular_component""}]"
Therefore, the human genome contains at least three differentially regulated Golgi alpha1, 2 - mannosidase genes encoding enzymes with similar, but not identical specificities.	"Golgi	77	82	Cellular_component"	"[{""token"": ""Golgi"", ""start_span"": 77, ""end_span"": 82, ""type"": ""Cellular_component""}]"
NF kappa B is an important transcriptional regulator of multiple pro - inflammatory genes.	"NF kappa B	0	10	Complex"	"[{""token"": ""NF kappa B"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Complex""}]"
Here we reconstitute phosphorylation dependent ubiquitination of I kappa B alpha using recombinant components.	"I kappa B alpha	65	80	Gene_or_gene_product"	"[{""token"": ""I kappa B alpha"", ""start_span"": 65, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}]"
Regulation of transcription by ubiquitination without proteolysis: Cdc34 / SCF ( Met30) - mediated inactivation of the transcription factor Met4.	"Met4	140	144	Gene_or_gene_product"	"[{""token"": ""Met4"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Gene_or_gene_product""}]"
Functionally, ubiquitinated Met4 associates with target promoters but fails to form functional transcription complexes.	"Met4	28	32	Gene_or_gene_product"	"[{""token"": ""Met4"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Our data reveal a novel proteolysis - independent function for Cdc34 / SCF and indicate that ubiquitination of transcription factors can be utilized to directly regulate their activities.	"Cdc34 / SCF	63	74	Complex"	"[{""token"": ""Cdc34 / SCF"", ""start_span"": 63, ""end_span"": 74, ""type"": ""Complex""}]"
This indicates that eEF - 2K S499D is constitutively active when expressed in cells, thus leading to the suppression of its own expression.	"eEF - 2K S499D	20	34	Gene_or_gene_product"	"[{""token"": ""eEF - 2K S499D"", ""start_span"": 20, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
The timing of their activation is determined by their post - translational modifications ( phosphorylations / dephosphorylations), and by the association of a protein called cyclin, which is the regulatory subunit of the kinase complex.	"cyclin	174	180	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 174, ""end_span"": 180, ""type"": ""Gene_or_gene_product""}]"
The cyclin family is divided into two main classes.	"cyclin	4	10	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 4, ""end_span"": 10, ""type"": ""Gene_or_gene_product""}]"
Each of the major components of this mechanism may become deregulated in cancer, and accumulating evidence points to the ' pRb pathway ' as a candidate obligatory target in multistep oncogenesis of possibly all human tumor types.	"pRb	123	126	Gene_or_gene_product"	"[{""token"": ""pRb"", ""start_span"": 123, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}]"
The G1 / S transition is orchestrated by the transcription factor E2F.	"E2F	66	69	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
E2F activity is repressed in growth - arrested cells and in early G1, and is activated at mid - to - late G1.	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
The molecular mechanisms underlying the pathogenesis of NTHi - induced infections remain undefined, but they may involve activation of NF - kappa B, a transcriptional activator of multiple host defense genes involved in immune and inflammatory responses.	"NF - kappa B	135	147	Complex"	"[{""token"": ""NF - kappa B"", ""start_span"": 135, ""end_span"": 147, ""type"": ""Complex""}]"
Expression of TLR2 renders HMEC responsive to all these ligands.	"TLR2	14	18	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
These effects were also noted on other leukemic cell lines that express PML but not the fusion transcript.	"PML	72	75	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}]"
Regulation of Snf1 kinase.	"Snf1	14	18	Complex"	"[{""token"": ""Snf1"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Complex""}]"
Activation requires the phosphorylation of a conserved threonine residue in the activation loop of the catalytic subunit.	"threonine	55	64	Chemical"	"[{""token"": ""threonine"", ""start_span"": 55, ""end_span"": 64, ""type"": ""Chemical""}]"
Our data indicate that activation of the Snf1 kinase complex involves two steps, one that requires a distinct upstream kinase and one that is mediated by the gamma subunit of the kinase itself.	"Snf1	41	45	Complex"	"[{""token"": ""Snf1"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Complex""}]"
Cells defective in transcription coupled repair ( TCR) maintain high levels of p53 for a prolonged period following UV exposure.	"p53	79	82	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}]"
We found that transcription of mdm2 was reduced in TCR - deficient cells.	"mdm2	31	35	Gene_or_gene_product"	"[{""token"": ""mdm2"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
The uninducible mdm2 promoter, P1, was more sensitive to the inhibitory effects of UV irradiation than the P2 promoter.	"mdm2	16	20	Gene_or_gene_product"	"[{""token"": ""mdm2"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}]"
Here, we show that Kip1p is regulated immediately after anaphase initiation by its rapid degradation.	"Kip1p	19	24	Gene_or_gene_product"	"[{""token"": ""Kip1p"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}]"
A mutation that stabilized Kip1p impaired anaphase progression.	"Kip1p	27	32	Gene_or_gene_product"	"[{""token"": ""Kip1p"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
A 1794 - bp human core 1 beta3 - Gal - T cDNA sequence was determined by sequencing the expressed sequence tag and performing 5 ' - rapid amplification of cDNA ends.	"core 1 beta3 - Gal - T	18	40	Gene_or_gene_product"	"[{""token"": ""core 1 beta3 - Gal - T"", ""start_span"": 18, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
Northern analysis demonstrated widespread expression of core 1 beta3 - Gal - T in tissues with a predominance in kidney, heart, placenta, and liver.	"core 1 beta3 - Gal - T	56	78	Gene_or_gene_product"	"[{""token"": ""core 1 beta3 - Gal - T"", ""start_span"": 56, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}]"
Hierarchical phosphorylation of the translation inhibitor 4E - BP1.	"4E - BP1	58	66	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
In most instances, translation is regulated at the initiation phase, when a ribosome is recruited to the 5 ' end of an mRNA.	"ribosome	76	84	Cellular_component"	"[{""token"": ""ribosome"", ""start_span"": 76, ""end_span"": 84, ""type"": ""Cellular_component""}]"
The 4E - BPs inhibit translation in a reversible manner.	"4E - BPs	4	12	Gene_or_gene_product"	"[{""token"": ""4E - BPs"", ""start_span"": 4, ""end_span"": 12, ""type"": ""Gene_or_gene_product""}]"
Phosphorylation of eukaryotic initiation factor 4E markedly reduces its affinity for capped mRNA.	"eukaryotic initiation factor 4E	19	50	Gene_or_gene_product"	"[{""token"": ""eukaryotic initiation factor 4E"", ""start_span"": 19, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}]"
Subsequent recruitment of several components, including the small ribosomal subunit, is thought to allow migration of initiation complexes and recognition of the initiation codon.	"small ribosomal subunit	60	83	Cellular_component"	"[{""token"": ""small ribosomal subunit"", ""start_span"": 60, ""end_span"": 83, ""type"": ""Cellular_component""}]"
Mitogens and cytokines stimulate the phosphorylation of eIF4E at Ser ( 209), but the functional consequences of this modification have remained a major unresolved question.	"eIF4E	56	61	Gene_or_gene_product"	"[{""token"": ""eIF4E"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
Using fluorescence spectroscopy and surface plasmon resonance techniques, we show that phosphorylation of eIF4E markedly reduces its affinity for capped RNA, primarily due to an increased rate of dissociation.	"eIF4E	106	111	Gene_or_gene_product"	"[{""token"": ""eIF4E"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Gene_or_gene_product""}]"
Variant eIF4E proteins harboring negatively charged acidic residues at position 209 also showed decreased binding to capped RNA.	"eIF4E	8	13	Gene_or_gene_product"	"[{""token"": ""eIF4E"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}]"
Furthermore, these studies suggest a potential mechanism for the in vivo actions of the immunosuppressant rapamycin.	"rapamycin	106	115	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 106, ""end_span"": 115, ""type"": ""Chemical""}]"
The adaptor protein Tollip was identified initially as an intermediate in interleukin ( IL) - 1 signaling.	"Tollip	20	26	Gene_or_gene_product"	"[{""token"": ""Tollip"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
Active inflammation and NF - kappaB activation contribute fundamentally to atherogenesis and plaque disruption.	"NF - kappaB	24	35	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 24, ""end_span"": 35, ""type"": ""Complex""}]"
cHSP60 might stimulate, enhance, and maintain innate immune and inflammatory responses and contribute to atherogenesis.	"cHSP60	0	6	Gene_or_gene_product"	"[{""token"": ""cHSP60"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
In this study, we investigated the signaling mechanism of cHSP60.	"cHSP60	58	64	Gene_or_gene_product"	"[{""token"": ""cHSP60"", ""start_span"": 58, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"
Collectively, our results indicate that cHSP60 is a potent inducer of vascular EC and macrophage inflammatory responses, which are very relevant to atherogenesis.	"cHSP60	40	46	Gene_or_gene_product"	"[{""token"": ""cHSP60"", ""start_span"": 40, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
Carnitine biosynthesis in mammals.	"Carnitine	0	9	Chemical"	"[{""token"": ""Carnitine"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}]"
Carnitine is probably present in all animal species, and in numerous micro - organisms and plants.	"Carnitine	0	9	Chemical"	"[{""token"": ""Carnitine"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}]"
In mammals, carnitine homoeostasis is maintained by endogenous synthesis, absorption from dietary sources and efficient tubular reabsorption by the kidney.	"carnitine	12	21	Chemical"	"[{""token"": ""carnitine"", ""start_span"": 12, ""end_span"": 21, ""type"": ""Chemical""}]"
This review aims to cover the current knowledge of the enzymological, molecular, metabolic and regulatory aspects of mammalian carnitine biosynthesis, with an emphasis on the human and rat.	"carnitine	127	136	Chemical"	"[{""token"": ""carnitine"", ""start_span"": 127, ""end_span"": 136, ""type"": ""Chemical""}]"
We propose that one function of Cdc14 released by the FEAR network is to stimulate MEN activity.	"Cdc14	32	37	Gene_or_gene_product"	"[{""token"": ""Cdc14"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Gene_or_gene_product""}]"
It is now clear that HSP can and do exit mammalian cells, interact with cells of the immune system, and exert immunoregulatory effects.	"HSP	21	24	Gene_or_gene_product"	"[{""token"": ""HSP"", ""start_span"": 21, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}]"
Recent studies of histone methylation have yielded fundamental new insights pertaining to the role of this modification in gene activation as well as in gene silencing.	"histone	18	25	Gene_or_gene_product"	"[{""token"": ""histone"", ""start_span"": 18, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
While a number of methylation sites are known to occur on histones, only limited information exists regarding the relevant enzymes that mediate these methylation events.	"histones	58	66	Gene_or_gene_product"	"[{""token"": ""histones"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
A second synthase, designated mPGES, is microsomal and can be regulated.	"mPGES	30	35	Gene_or_gene_product"	"[{""token"": ""mPGES"", ""start_span"": 30, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
The induction of both enzymes occurs at the pretranslational level, is the consequence of enhanced gene promoter activities, and can be blocked by dexamethasone ( 10 nm).	"dexamethasone	147	160	Chemical"	"[{""token"": ""dexamethasone"", ""start_span"": 147, ""end_span"": 160, ""type"": ""Chemical""}]"
Therefore, in yeast as in mammals, a docking site is required to target calcineurin to its substrate such that it can dephosphorylate it efficiently.	"calcineurin	72	83	Gene_or_gene_product"	"[{""token"": ""calcineurin"", ""start_span"": 72, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}]"
Both domains of MyD88 are separated by a small intermediate domain ( ID) of unknown function.	"MyD88	16	21	Gene_or_gene_product"	"[{""token"": ""MyD88"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
Here, we report the identification of a splice variant of MyD88, termed MyD88 ( S), which encodes for a protein lacking the ID.	"MyD88	58	63	Gene_or_gene_product"	"[{""token"": ""MyD88"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}]"
MyD88 ( S) is mainly expressed in the spleen and can be induced in monocytes upon LPS treatment.	"LPS	82	85	Chemical"	"[{""token"": ""LPS"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Chemical""}]"
Kinetic mechanism of activation of the Cdk2 / cyclin A complex.	"Cdk2 / cyclin A	39	54	Complex"	"[{""token"": ""Cdk2 / cyclin A"", ""start_span"": 39, ""end_span"": 54, ""type"": ""Complex""}]"
Key role of the C - lobe of the Cdk.	"Cdk	32	35	Gene_or_gene_product"	"[{""token"": ""Cdk"", ""start_span"": 32, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
Despite our understanding of the structural changes, which occur upon Cdk / cyclin formation and activation, little is known about the dynamics of the molecular events involved.	"Cdk / cyclin	70	82	Complex"	"[{""token"": ""Cdk / cyclin"", ""start_span"": 70, ""end_span"": 82, ""type"": ""Complex""}]"
We have characterized the mechanism of Cdk2 / cyclin A complex formation and activation at the molecular and dynamic level by rapid kinetics and demonstrate here that it is a two - step process.	"Cdk2 / cyclin A	39	54	Complex"	"[{""token"": ""Cdk2 / cyclin A"", ""start_span"": 39, ""end_span"": 54, ""type"": ""Complex""}]"
This conformational change is selective for the cyclin partner.	"cyclin	48	54	Gene_or_gene_product"	"[{""token"": ""cyclin"", ""start_span"": 48, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}]"
The simultaneous initiation of proapoptotic signaling by yersiniae infection or LPS treatment results in macrophage apoptosis.	"LPS	80	83	Chemical"	"[{""token"": ""LPS"", ""start_span"": 80, ""end_span"": 83, ""type"": ""Chemical""}]"
In this study, we used YopP as a tool to dissect survival - and death - inducing pathways in bacteria - faced macrophages.	"YopP	23	27	Gene_or_gene_product"	"[{""token"": ""YopP"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
These effects of tGPI - mucins may be important in the ensuing immune response to T. cruzi.	"tGPI - mucins	17	30	Gene_or_gene_product"	"[{""token"": ""tGPI - mucins"", ""start_span"": 17, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}]"
Here, we have sought evidence for a role of tGPI - mucins in mediating leukocyte recruitment in vivo.	"tGPI - mucins	44	57	Gene_or_gene_product"	"[{""token"": ""tGPI - mucins"", ""start_span"": 44, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Maximal recruitment was observed at a dose between 250 and 1250 ng tGPI - mucins.	"tGPI - mucins	67	80	Gene_or_gene_product"	"[{""token"": ""tGPI - mucins"", ""start_span"": 67, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}]"
OBJECTIVE: To investigate PML gene and protein expression and localization in leukemia cell lines.	"PML	26	29	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 26, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
Apoptosis was found in each cell line after treatment with quercetin.	"quercetin	59	68	Chemical"	"[{""token"": ""quercetin"", ""start_span"": 59, ""end_span"": 68, ""type"": ""Chemical""}]"
After treatment with quercetin, the fusion protein disappeared in NB4 cells, then degraded, and so did in HL - 60 cells and K562 cells.	"quercetin	21	30	Chemical"	"[{""token"": ""quercetin"", ""start_span"": 21, ""end_span"": 30, ""type"": ""Chemical""}]"
CONCLUSION: PML plays a role of differentiation and apoptosis induction in leukemia cells at the translational level.	"PML	12	15	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 12, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
