Acid pH activation of the PmrA / PmrB two - component regulatory system of Salmonella enterica	"Salmonella enterica	75	94	Organism"	"[{""token"": ""Salmonella enterica"", ""start_span"": 75, ""end_span"": 94, ""type"": ""Organism""}]"
To rule out this possibility, we treated the culture medium with Chelex 100 resin, an agent known to chelate polyvalent metal ions that does not affect Salmonella growth.	"Salmonella	152	162	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 152, ""end_span"": 162, ""type"": ""Organism""}]"
Expression of pbgP was still induced when Salmonella was grown in the Chelex - treated medium ( Fig. 2D) or in media containing the specific Fe3 + chelator deferoxamine mesylate ( data not shown) supporting the notion that mild acid pH is responsible for the observed induction.	"Salmonella	42	52	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 42, ""end_span"": 52, ""type"": ""Organism""}]"
From these results we conclude that Salmonella harbours a signalling pathway that responds to mild acid pH by activating the PmrA protein through phosphorylation.	"Salmonella	36	46	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 36, ""end_span"": 46, ""type"": ""Organism""}]"
To examine this hypothesis, we tested a Salmonella strain with a chromosomal pbgP - lac fusion, deleted for the chromosomal copy of the pmrB gene and harbouring a plasmid expressing a PmrB protein lacking its periplasmic domain for its ability to promote pbgP expression in response to different signals.	"Salmonella	40	50	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 40, ""end_span"": 50, ""type"": ""Organism""}]"
While this mutation severely diminished the ability of Salmonella to respond to mild acid pH, there still was some residual pbgP expression ( Fig. 6B) suggesting that other residues might also be required for pH sensing.	"Salmonella	55	65	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 55, ""end_span"": 65, ""type"": ""Organism""}]"
When either one of the four conserved glutamates was substituted by alanine Salmonella could no longer respond to mild acid pH ( Fig. 6B).	"Salmonella	76	86	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 76, ""end_span"": 86, ""type"": ""Organism""}]"
What role could the mild acid pH - dependent activation of PmrA - regulated genes play in Salmonella ' s lifestyle?	"Salmonella	90	100	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 90, ""end_span"": 100, ""type"": ""Organism""}]"
We have established that the sensor kinase PmrB is the primary sensor that activates the PmrA protein when Salmonella experiences mild acid pH, resulting in transcription of PmrA - activated genes ( Fig. 1).	"Salmonella	107	117	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 107, ""end_span"": 117, ""type"": ""Organism""}]"
( 1981) determined that the intracellular pH in Escherichia coli cells was 7. 4 even when the external pH was 5. 5.	"Escherichia coli	48	64	Organism"	"[{""token"": ""Escherichia coli"", ""start_span"": 48, ""end_span"": 64, ""type"": ""Organism""}]"
Likewise, the human receptor OGR1 responds to both pH and sphingosylphosphorylcholine ( Ludwig et al., 2003).	"human	14	19	Organism"	"[{""token"": ""human"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Organism""}]"
Although it has been suggested that the Salmonella PhoQ protein senses acid pH ( Aranda et al., 1992) or responds to both pH and Mg2 + ( Bearson et al., 1998), a direct role for PhoQ in responding to acid pH appears unlikely because not all PhoP - regulated genes are activated under these conditions, which is in contrast to low Mg2 + activating the whole PhoP regulon ( see Groisman and Mouslim, 2006 for a review).	"Salmonella	40	50	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 40, ""end_span"": 50, ""type"": ""Organism""}]"
What role could the pH - dependent activation of PmrA - regulated genes play in Salmonella ' s lifestyle?	"Salmonella	80	90	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 80, ""end_span"": 90, ""type"": ""Organism""}]"
Indeed, when grown at pH 5. 8 wild - type Salmonella were 100 000 - fold more resistant to polymyxin B than when grown at pH 7. 7 ( Fig. 7).	"Salmonella	42	52	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 42, ""end_span"": 52, ""type"": ""Organism""}]"
On the other hand, although mild acid ( pH 6. 0) per se, i. e. even in the presence of high Mg2 +, promotes LPS modifications ( Gibbons et al., 2005), the low pH signal may also act synergistically with the low Mg2 + signal in vivo because Mg2 + deprivation alone is not sufficient to provide all the LPS modifications seen in Salmonella when present inside macrophages ( Gibbons et al., 2005).	"Salmonella	327	337	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 327, ""end_span"": 337, ""type"": ""Organism""}]"
Mlc regulation of Salmonella pathogenicity island I gene expression via hilE repression	"Salmonella	18	28	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 18, ""end_span"": 28, ""type"": ""Organism""}]"
A Salmonella enterica serovar Typhimurium mlc mutant showed reduced levels of invasion and cytotoxicity compared to the wild - type, and exhibited reduced expression levels of hilD, hilA and invF, which are regulatory genes in the Salmonella pathogenicity island 1 ( SPI1).	"Salmonella	2	12	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 2, ""end_span"": 12, ""type"": ""Organism""}]"
Based on these results, we propose that Mlc functions to sense the availability of sugars and is linked to virulence gene regulation by its ability to control hilE expression in Salmonella.	"Salmonella	178	188	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 178, ""end_span"": 188, ""type"": ""Organism""}]"
However, this bacterium causes systemic disease in mice and has been used as an animal model of typhoid fever.	"mice	51	55	Organism"	"[{""token"": ""mice"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Organism""}]"
Since Salmonella is acquired usually by oral ingestion of contaminated materials, a key step in the infection process is passage across the intestinal epithelium by invasion of M cells in Peyer ' s patches ( 1).	"Salmonella	6	16	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 6, ""end_span"": 16, ""type"": ""Organism""}]"
Many of the genes required for intestinal penetration and invasion of host cells are carried on the 40 - kb region at centisome 63, which is called Salmonella pathogenicity island 1 ( SPI1) ( 2).	"Salmonella	148	158	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 148, ""end_span"": 158, ""type"": ""Organism""}]"
Recently, Baxter and Jones ( 18) have shown that HilE is an important Salmonella - specific regulator of hilA expression.	"Salmonella	70	80	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 70, ""end_span"": 80, ""type"": ""Organism""}]"
In the animal model, attenuation of virulence has been noted for Salmonella strains that carry mutations in the pts, crr, cya or crp genes, which encode the general energy - coupling enzymes of the PTS, enzyme IIAGlc of the PTS, adenylate cyclase and cyclic AMP receptor protein, respectively ( 23, 24).	"Salmonella	65	75	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 65, ""end_span"": 75, ""type"": ""Organism""}]"
Therefore, it seemed possible that Mlc also affects the virulence of Salmonella.	"Salmonella	69	79	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 69, ""end_span"": 79, ""type"": ""Organism""}]"
Mutation of the mlc gene reduces Salmonella invasiveness The process of invasion into non - phagocytic epithelial cells, which is known to be mediated by proteins secreted by the SPI1 - encoded type III machinery ( 3), is an important initial step in the pathogenesis of S.	"Salmonella	33	43	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 33, ""end_span"": 43, ""type"": ""Organism""}]"
Typhimurium.	"Typhimurium	0	11	Organism"	"[{""token"": ""Typhimurium"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Organism""}]"
SL1344 was used as the control strain, and the invasiveness of this strain was arbitrarily set at 100%.	"SL1344	0	6	Organism"	"[{""token"": ""SL1344"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Organism""}]"
Typhimurium induces the apoptosis of infected macrophages.	"Typhimurium	0	11	Organism"	"[{""token"": ""Typhimurium"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Organism""}]"
After cultivation to the stationary phase with aeration, the bacteria were opsonized with 10% normal mouse serum and added to the cell monolayer ( 30).	"mouse	101	106	Organism"	"[{""token"": ""mouse"", ""start_span"": 101, ""end_span"": 106, ""type"": ""Organism""}]"
We also observed reduced expression of the prgH and sigD genes, which are known to be regulated by HilA and InvF ( 10, 11, 29, 35), in SR1304 ( Figure 2B).	"SR1304	135	141	Organism"	"[{""token"": ""SR1304"", ""start_span"": 135, ""end_span"": 141, ""type"": ""Organism""}]"
( 20) have found that HilE plays an important regulatory role in the expression of the Salmonella - invasive phenotype by affecting hilA transcription through direct interaction with HilD.	"Salmonella	87	97	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 87, ""end_span"": 97, ""type"": ""Organism""}]"
The hilE mRNA level measured by real - time PCR also revealed that hilE expression was increased in SR1304 by about 2 - fold ( Figure 3A).	"SR1304	100	106	Organism"	"[{""token"": ""SR1304"", ""start_span"": 100, ""end_span"": 106, ""type"": ""Organism""}]"
The role of HilE in the regulation of SPI1 gene expression by Mlc was further studied by comparing the invasive abilities of the hilE and hilE / mlc mutant strains of Salmonella.	"Salmonella	167	177	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 167, ""end_span"": 177, ""type"": ""Organism""}]"
We performed a primer extension assay of total RNA isolated from SL1344 grown to exponential phase in static culture, using the primer described by Baxter and Jones ( 18), to discover which promoter is regulated by Mlc.	"SL1344	65	71	Organism"	"[{""token"": ""SL1344"", ""start_span"": 65, ""end_span"": 71, ""type"": ""Organism""}]"
This difference could be attributed to differences in the experimental model conditions; in our study, total RNA from a Salmonella strain was used in the primer extension assay, whereas Baxter and Jones ( 18) used total RNA prepared from E. coli harboring the hilE reporter plasmid pMAB69.	"Salmonella	120	130	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 120, ""end_span"": 130, ""type"": ""Organism""}]"
The specificity of the Mlc effect was verified by complementation, as the plasmid pKB, which expresses mlc, restored the transcriptional level of hilE in SR1304 almost to that of the wild - type strain ( Figure 4B, lane 4).	"SR1304	154	160	Organism"	"[{""token"": ""SR1304"", ""start_span"": 154, ""end_span"": 160, ""type"": ""Organism""}]"
The activity of the purified Mlc - His6 protein was verified with the control gel mobility shift experiment employing the Salmonella ptsG DNA fragment that contains the known Mlc - binding site ( data not shown).	"Salmonella	122	132	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 122, ""end_span"": 132, ""type"": ""Organism""}]"
On the other hand, the expression in SR1304 of both hilE and hilD was increased in the presence of glucose, mannose or arabinose.	"SR1304	37	43	Organism"	"[{""token"": ""SR1304"", ""start_span"": 37, ""end_span"": 43, ""type"": ""Organism""}]"
It has been suggested that glucose plays a negative role in the expression of invasion - associated genes in Salmonella.	"Salmonella	109	119	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 109, ""end_span"": 119, ""type"": ""Organism""}]"
Typhimurium ( 44).	"Typhimurium	0	11	Organism"	"[{""token"": ""Typhimurium"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Organism""}]"
These results suggest that the presence of complex regulatory mechanisms for hilE is required for optimal regulation of the SPI1 genes, as can be expected from the complex regulatory networks identified in Salmonella ( 46).	"Salmonella	206	216	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 206, ""end_span"": 216, ""type"": ""Organism""}]"
Collectively, these results show that SPI1 is not activated when Salmonella is grown in the presence of glucose ( Figure 6; 44, 45, 48).	"Salmonella	65	75	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 65, ""end_span"": 75, ""type"": ""Organism""}]"
Since the environmental conditions faced by Salmonella change constantly during passage through the intestine of the animal host, this bacterium should use multiple signals to modulate the virulence genes needed for survival.	"Salmonella	44	54	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 44, ""end_span"": 54, ""type"": ""Organism""}]"
Typhimurium uses bile or SCFAs including acetate, propionate and butyrate, as environmental signals to modulate its invasion of the gastrointestinal tract ( 50 - 52).	"Typhimurium	0	11	Organism"	"[{""token"": ""Typhimurium"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Organism""}]"
We propose that Salmonella can use the glucose concentration of the mammalian intestinal tract as one of many signals for the regulation of invasion genes.	"Salmonella	16	26	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 16, ""end_span"": 26, ""type"": ""Organism""}]"
Salmonella may use Mlc to sense the availability of sugars, thereby allowing decisions as to when and where to initiate the expression of genes involved in invasion.	"Salmonella	0	10	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Organism""}]"
Typhimurium typically invades the distal small intestine ( ileum) of the mammalian upper gastrointestinal tract ( 53).	"Typhimurium	0	11	Organism"	"[{""token"": ""Typhimurium"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Organism""}]"
The effects of various sugars on the differential regulation of SPI1 genes require further investigation to understand their roles in Salmonella pathogenesis.	"Salmonella	134	144	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 134, ""end_span"": 144, ""type"": ""Organism""}]"
SalK / SalR, a Two - Component Signal Transduction System, Is Essential for Full Virulence of Highly Invasive Streptococcus suis Serotype 2	"Streptococcus suis Serotype 2	110	139	Organism"	"[{""token"": ""Streptococcus suis Serotype 2"", ""start_span"": 110, ""end_span"": 139, ""type"": ""Organism""}]"
Methodology / Principal Findings 89K is a newly predicted pathogenicity island ( PAI) which is specific to Chinese epidemic strains isolated from these two SS2 outbreaks.	"SS2	156	159	Organism"	"[{""token"": ""SS2"", ""start_span"": 156, ""end_span"": 159, ""type"": ""Organism""}]"
Further bioinformatics analysis revealed a unique two - component signal transduction system ( TCSTS) located in the candidate 89K PAI, which is orthologous to the SalK / SalR regulatory system of Streptococcus salivarius.	"Streptococcus salivarius	197	221	Organism"	"[{""token"": ""Streptococcus salivarius"", ""start_span"": 197, ""end_span"": 221, ""type"": ""Organism""}]"
Colonization experiments showed that the DeltasalKR mutant could not colonize any susceptible tissue of piglets when administered alone.	"piglets	104	111	Organism"	"[{""token"": ""piglets"", ""start_span"": 104, ""end_span"": 111, ""type"": ""Organism""}]"
Conclusions / Significance These findings suggest that SalK / SalR is requisite for the full virulence of ethnic Chinese isolates of highly pathogenic SS2, thus providing experimental evidence for the validity of this bioinformatically predicted PAI.	"SS2	151	154	Organism"	"[{""token"": ""SS2"", ""start_span"": 151, ""end_span"": 154, ""type"": ""Organism""}]"
Among the known 35 serotypes [ 1], [ 2], S. suis serotype 2 ( S. suis 2 or SS2) is the most virulent and the most frequently isolated serotype.	"SS2	75	78	Organism"	"[{""token"": ""SS2"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Organism""}]"
However, two major emerging infectious disease outbreaks of SS2 in China ( one in Jiangsu Province, 1998, and the other in Sichuan Province, 2005), raised considerable international concerns among the public health professionals [ 3], [ 4].	"SS2	60	63	Organism"	"[{""token"": ""SS2"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Organism""}]"
A candidate pathogenicity island ( PAI) called 89K was predicted, which is only present in the epidemic strains in these two SS2 outbtreaks but not in other domestic clinical isolates or international virulent strains [ 6].	"SS2	125	128	Organism"	"[{""token"": ""SS2"", ""start_span"": 125, ""end_span"": 128, ""type"": ""Organism""}]"
However, this bioinformatically predicted candidate PAI needs experimental validation and its linkage to SS2 - related high pathogenicity remains unknown.	"SS2	105	108	Organism"	"[{""token"": ""SS2"", ""start_span"": 105, ""end_span"": 108, ""type"": ""Organism""}]"
Up until now, only one orphan response regulator, RevS, has been found to be implicated in the pathogenesis of SS2 [ 24].	"SS2	111	114	Organism"	"[{""token"": ""SS2"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Organism""}]"
In the present study, we attempted to generate the deletion mutant of salKR and assess the contribution of this TCSTS to the high pathogenicity of Chinese SS2 strains.	"SS2	155	158	Organism"	"[{""token"": ""SS2"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Organism""}]"
Virulence assays together with a series of experiments enabled us to identify a novel genetic determinant which is required for the overall virulence of Chinese isolates of highly pathogenic SS2.	"SS2	191	194	Organism"	"[{""token"": ""SS2"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Organism""}]"
On the negative strand of 89K, peptides encoded by 05SSU0944 and 05SSU0943 exhibit 27% and 41% amino acid sequence identity with the SalK and the SalR proteins of Streptococcus salivarius, respectively, forming a TCSTS belonging to the Nar / LuxR family.	"Streptococcus salivarius	163	187	Organism"	"[{""token"": ""Streptococcus salivarius"", ""start_span"": 163, ""end_span"": 187, ""type"": ""Organism""}]"
Notably, the average GC content of salKR, 29. 9%, is much less than that of both 89K and the whole genome of 05ZYH33 ( 36. 8% and 41. 1%, respectively) ( Fig. 1B).	"05ZYH33	109	116	Organism"	"[{""token"": ""05ZYH33"", ""start_span"": 109, ""end_span"": 116, ""type"": ""Organism""}]"
Downstream of salKR, the 05SSU0942, 05SSU0941, 05SSU0940, 05SSU0939, 05SSU0938 genes were predicted to encode peptides with significant identities to the orthologues of Streptococcus agalactiae.	"Streptococcus agalactiae	169	193	Organism"	"[{""token"": ""Streptococcus agalactiae"", ""start_span"": 169, ""end_span"": 193, ""type"": ""Organism""}]"
In wild type strain 05ZYH33, the internal fragment of salKR probe hybridized with a single 4. 0 kb Cla I fragment ( Fig. 3C, lane 1), whereas the SpcR and pUC18 probes did not hybridized with the genomic DNA ( Fig. 3B and 3D, lane 1).	"05ZYH33	20	27	Organism"	"[{""token"": ""05ZYH33"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Organism""}]"
Given the multiple roles of TCSTS in bacteria, we evaluated the effect of salKR deletion on the general biological characteristics of SS2 prior to in vivo work.	"SS2	134	137	Organism"	"[{""token"": ""SS2"", ""start_span"": 134, ""end_span"": 137, ""type"": ""Organism""}]"
An experimental infection model in piglets was designed to assess the role of SalK / SalR in virulence.	"piglets	35	42	Organism"	"[{""token"": ""piglets"", ""start_span"": 35, ""end_span"": 42, ""type"": ""Organism""}]"
As shown in Figure 5, all six SPF - piglets inoculated intravenously with WT developed most of the typical disease symptoms, including high fever, limping, swollen joints, shivering, CNS failure and respiratory failure within 24 hrs.	"piglets	36	43	Organism"	"[{""token"": ""piglets"", ""start_span"": 36, ""end_span"": 43, ""type"": ""Organism""}]"
Wherein the six piglets challenged with the DeltasalKR mutant were all alive and symptom - free during the entire course monitored.	"piglets	16	23	Organism"	"[{""token"": ""piglets"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Organism""}]"
Five out of six piglets succumbed to the lethal infections of CDeltasalKR and died, with median survival times of 2 to 3 days.	"piglets	16	23	Organism"	"[{""token"": ""piglets"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Organism""}]"
All these results strongly suggest that SalK / SalR plays an important role in the pathogenesis of Chinese isolates of highly invasive SS2.	"SS2	135	138	Organism"	"[{""token"": ""SS2"", ""start_span"": 135, ""end_span"": 138, ""type"": ""Organism""}]"
We anticipated that the DeltasalKR mutant is still able to colonize these organs, is just due to the WT - mediated impairment of host defense against SS2 infection in these tissues.	"SS2	150	153	Organism"	"[{""token"": ""SS2"", ""start_span"": 150, ""end_span"": 153, ""type"": ""Organism""}]"
Furthermore, orotidine - 5 - phosphate decarboxylase ( 05SSU1009), a newly identified pathogenesis - related protein in Vibrio vulnificus [ 31], was also found to be repressed greatly in DeltasalKR.	"Vibrio vulnificus	120	137	Organism"	"[{""token"": ""Vibrio vulnificus"", ""start_span"": 120, ""end_span"": 137, ""type"": ""Organism""}]"
[ 32] has shown that mutation of phosphotransferase system ( PST) in extraintestinal pathogenic E. coli ( ExPEC) can cause the loss of its colonization ability in extraintestinal organs, and bacteria are cleared rapidly from the bloodstream.	"ExPEC	106	111	Organism"	"[{""token"": ""ExPEC"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Organism""}]"
These genes include the total 26 ones that are down - regulated in the DeltasalKR mutant, four virulence factors ( CPS, MRP, EF, SLY) coding genes [ 40] - [ 44], genes immediately flanking the salKR locus ( 05SSU0945 and 05SSU0942), and 10 genes that selected from the chromosome of 05ZYH33 every 200 ORFs.	"05ZYH33	283	290	Organism"	"[{""token"": ""05ZYH33"", ""start_span"": 283, ""end_span"": 290, ""type"": ""Organism""}]"
During the past decades, a series of virulence determinants of SS2 involved in the survival, spread and pathopoiesis of the bacterium within the host have been identified, such as capsule polysaccharide ( CPS), muramidase - related protein ( MRP), suilysin, etc.	"SS2	63	66	Organism"	"[{""token"": ""SS2"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Organism""}]"
Suilysin, a known virulence factor, was believed to be introduced into SS2 via lateral gene transfer [ 43].	"SS2	71	74	Organism"	"[{""token"": ""SS2"", ""start_span"": 71, ""end_span"": 74, ""type"": ""Organism""}]"
Moreover, PCR analysis using primers amplifying the salKR locus also demonstrated that this TCSTS is specific to Chinese epidemic outbreak strains of SS2 ( data not shown), implying its tight linkage to the virulence of this new emerging pathogenic species.	"SS2	150	153	Organism"	"[{""token"": ""SS2"", ""start_span"": 150, ""end_span"": 153, ""type"": ""Organism""}]"
Results of piglets experimental infections clearly showed that the deletion of salKR leads to elimination of the lethality of this important pathogen.	"piglets	11	18	Organism"	"[{""token"": ""piglets"", ""start_span"": 11, ""end_span"": 18, ""type"": ""Organism""}]"
Colonization analysis also revealed the incapability of the DeltasalKR mutant to colonize any susceptible tissue of piglets when administered alone.	"piglets	116	123	Organism"	"[{""token"": ""piglets"", ""start_span"": 116, ""end_span"": 123, ""type"": ""Organism""}]"
These results indicate definitely that SalK / SalR plays a critical role in the pathogenicity of SS2.	"SS2	97	100	Organism"	"[{""token"": ""SS2"", ""start_span"": 97, ""end_span"": 100, ""type"": ""Organism""}]"
We consider that the partial complementation observed in the piglets infection model is inherent to the pleiotropic role of this regulatory system which makes it difficult to restore the fine tuning of gene expression as in the wild - type strain.	"piglets	61	68	Organism"	"[{""token"": ""piglets"", ""start_span"": 61, ""end_span"": 68, ""type"": ""Organism""}]"
Those unrecovered genes were probably irrelavent to the bacterial virulence of SS2.	"SS2	79	82	Organism"	"[{""token"": ""SS2"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Organism""}]"
It seems that SalK / SalR may control the full virulence of SS2 by regulating distant gene expression at the genome - wide level.	"SS2	60	63	Organism"	"[{""token"": ""SS2"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Organism""}]"
Secondly, some of the TCSTSs of S. pneumoniae were suggested to be involved in key processes of pathogenesis, such as autolysis and cell - cell signaling [ 52], SalK / SalR might regulate similar processes in Chinese SS2 virulent isolates.	"SS2	217	220	Organism"	"[{""token"": ""SS2"", ""start_span"": 217, ""end_span"": 220, ""type"": ""Organism""}]"
More importantly, accumulated evidence suggests that some of the known virulent factors are not requisite for the full virulence of SS2, as the absence of one or more of these proteins in isolates from infected animals cannot necessarily be associated with a lack of virulence [ 53] - [ 56].	"SS2	132	135	Organism"	"[{""token"": ""SS2"", ""start_span"": 132, ""end_span"": 135, ""type"": ""Organism""}]"
In conclusion, a unique two - component regulatory system SalK / SalR has been identified from a putative 89K PAI in Chinese isolates of highly pathogenic SS2.	"SS2	155	158	Organism"	"[{""token"": ""SS2"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Organism""}]"
Our data confirm, for the first time, that SalK / SalR is absolutely indispensable for the full virulence of Chinese highly invasive SS2 strains, although we fails to define its precise regulatory mechanism.	"SS2	133	136	Organism"	"[{""token"": ""SS2"", ""start_span"": 133, ""end_span"": 136, ""type"": ""Organism""}]"
Not only does this investigation provide experimental evidence for the validity of the candidate 89K PAI, but it adds novel insights into the infectious disease pathogenesis of SS2.	"SS2	177	180	Organism"	"[{""token"": ""SS2"", ""start_span"": 177, ""end_span"": 180, ""type"": ""Organism""}]"
RpoE fine tunes expression of a subset of SsrB - regulated virulence factors in Salmonella enterica serovar Typhimurium	"Salmonella enterica serovar Typhimurium	80	119	Organism"	"[{""token"": ""Salmonella enterica serovar Typhimurium"", ""start_span"": 80, ""end_span"": 119, ""type"": ""Organism""}]"
Background The survival of Salmonella enterica within the intracellular host niche requires highly co - ordinated expression of virulence effectors predominantly regulated by the SsrAB two - component regulatory system.	"Salmonella enterica	27	46	Organism"	"[{""token"": ""Salmonella enterica"", ""start_span"": 27, ""end_span"": 46, ""type"": ""Organism""}]"
S. enterica serovar Typhimurium mutants lacking the ssrAB genes are avirulent in mice, highlighting the importance of this regulatory system in vivo.	"mice	81	85	Organism"	"[{""token"": ""mice"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Organism""}]"
Results In this study we demonstrate that RpoE is involved in fine - tuning the expression of a subset of SsrB - regulated genes found in the Salmonella pathogenicity island - 2 ( SPI - 2) genetic locus that encodes a horizontally acquired type III secretion system, and unlinked genes integrated into this regulon that are required for virulence in host animals.	"Salmonella	142	152	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 142, ""end_span"": 152, ""type"": ""Organism""}]"
Salmonella enterica are enteric pathogens that acquired a type III secretion system ( T3SS) through horizontal gene transfer of a genomic island termed Salmonella Pathogenicity Island 2 ( SPI - 2) [ 1, 2].	"Salmonella enterica	0	19	Organism"	"[{""token"": ""Salmonella enterica"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Organism""}]"
