Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	json	split
The 12 flavonoids identified were quercetin 3 - O - robinobioside, quercetin 3 - O - rutinoside, quercetin 3 ' - O - galactoside, quercetin 3 ' - O - glucoside, quercetin 3 ' - O - rhamnoside, quercetin 3 ' - O - pentosylhexoside, quercetin 3 - O - 6 ' malonylglucoside, quercetin 3 ' - O - malonylglucoside, luteolin 7 - O - 6 ' malonylglucoside, luteolin 7 - O - malonylglucoside, myricetin 3 - O - galactoside, and naringenin tri glycoside.	flavonoids,7,17,Chemical/Drug	quercetin 3 - O - robinobioside,34,65,Chemical/Drug	quercetin 3 - O - rutinoside,67,95,Chemical/Drug	quercetin 3 ' - O - galactoside,97,128,Chemical/Drug	quercetin 3 ' - O - glucoside,130,159,Chemical/Drug	quercetin 3 ' - O - rhamnoside,161,191,Chemical/Drug	quercetin 3 ' - O - pentosylhexoside,193,229,Chemical/Drug	quercetin 3 - O - 6 ' malonylglucoside,231,269,Chemical/Drug	quercetin 3 ' - O - malonylglucoside,271,307,Chemical/Drug	luteolin 7 - O - 6 ' malonylglucoside,309,346,Chemical/Drug	luteolin 7 - O - malonylglucoside,348,381,Chemical/Drug	myricetin 3 - O - galactoside,383,412,Chemical/Drug	naringenin tri glycoside,418,442,Chemical/Drug	"[{""token"": ""flavonoids"", ""start_span"": 7, ""end_span"": 17, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin 3 - O - robinobioside"", ""start_span"": 34, ""end_span"": 65, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin 3 - O - rutinoside"", ""start_span"": 67, ""end_span"": 95, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin 3 ' - O - galactoside"", ""start_span"": 97, ""end_span"": 128, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin 3 ' - O - glucoside"", ""start_span"": 130, ""end_span"": 159, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin 3 ' - O - rhamnoside"", ""start_span"": 161, ""end_span"": 191, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin 3 ' - O - pentosylhexoside"", ""start_span"": 193, ""end_span"": 229, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin 3 - O - 6 ' malonylglucoside"", ""start_span"": 231, ""end_span"": 269, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin 3 ' - O - malonylglucoside"", ""start_span"": 271, ""end_span"": 307, ""type"": ""Chemical/Drug""}, {""token"": ""luteolin 7 - O - 6 ' malonylglucoside"", ""start_span"": 309, ""end_span"": 346, ""type"": ""Chemical/Drug""}, {""token"": ""luteolin 7 - O - malonylglucoside"", ""start_span"": 348, ""end_span"": 381, ""type"": ""Chemical/Drug""}, {""token"": ""myricetin 3 - O - galactoside"", ""start_span"": 383, ""end_span"": 412, ""type"": ""Chemical/Drug""}, {""token"": ""naringenin tri glycoside"", ""start_span"": 418, ""end_span"": 442, ""type"": ""Chemical/Drug""}]"	valid
Ethylene sulfide ( ES), propargyl carbonylimidazole ( PPC) and azidoethyl carbonylimidazole ( AEC) reacted with amine and / or hydroxyl groups in BC to introduce the corresponding thiol, alkyne and azide groups on SS surfaces ( SS - thiol, SS - alkyne and SS - azide, respectively).	Ethylene sulfide,0,16,Chemical/Drug	propargyl carbonylimidazole,24,51,Chemical/Drug	PPC,54,57,Chemical/Drug	azidoethyl carbonylimidazole,63,91,Chemical/Drug	AEC,94,97,Chemical/Drug	amine,112,117,Chemical/Drug	hydroxyl,127,135,Chemical/Drug	thiol,180,185,Chemical/Drug	alkyne,187,193,Chemical/Drug	azide,198,203,Chemical/Drug	thiol,233,238,Chemical/Drug	alkyne,245,251,Chemical/Drug	azide,261,266,Chemical/Drug	"[{""token"": ""Ethylene sulfide"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Chemical/Drug""}, {""token"": ""propargyl carbonylimidazole"", ""start_span"": 24, ""end_span"": 51, ""type"": ""Chemical/Drug""}, {""token"": ""PPC"", ""start_span"": 54, ""end_span"": 57, ""type"": ""Chemical/Drug""}, {""token"": ""azidoethyl carbonylimidazole"", ""start_span"": 63, ""end_span"": 91, ""type"": ""Chemical/Drug""}, {""token"": ""AEC"", ""start_span"": 94, ""end_span"": 97, ""type"": ""Chemical/Drug""}, {""token"": ""amine"", ""start_span"": 112, ""end_span"": 117, ""type"": ""Chemical/Drug""}, {""token"": ""hydroxyl"", ""start_span"": 127, ""end_span"": 135, ""type"": ""Chemical/Drug""}, {""token"": ""thiol"", ""start_span"": 180, ""end_span"": 185, ""type"": ""Chemical/Drug""}, {""token"": ""alkyne"", ""start_span"": 187, ""end_span"": 193, ""type"": ""Chemical/Drug""}, {""token"": ""azide"", ""start_span"": 198, ""end_span"": 203, ""type"": ""Chemical/Drug""}, {""token"": ""thiol"", ""start_span"": 233, ""end_span"": 238, ""type"": ""Chemical/Drug""}, {""token"": ""alkyne"", ""start_span"": 245, ""end_span"": 251, ""type"": ""Chemical/Drug""}, {""token"": ""azide"", ""start_span"": 261, ""end_span"": 266, ""type"": ""Chemical/Drug""}]"	valid
The main isolated compounds were triterpenes ( alpha - amyrin, beta - amyrin, lupeol, betulin, betulinic acid, uvaol, erythrodiol and oleanolic acid) and phenolic acid derivatives from 4 - hydroxybenzoic acid ( gallic and protocatechuic acids and isocorilagin).	triterpenes,33,44,Chemical/Drug	alpha - amyrin,47,61,Chemical/Drug	beta - amyrin,63,76,Chemical/Drug	lupeol,78,84,Chemical/Drug	betulin,86,93,Chemical/Drug	betulinic acid,95,109,Chemical/Drug	uvaol,111,116,Chemical/Drug	erythrodiol,118,129,Chemical/Drug	oleanolic acid,134,148,Chemical/Drug	phenolic acid,154,167,Chemical/Drug	4 - hydroxybenzoic acid,185,208,Chemical/Drug	gallic and protocatechuic acids,211,242,Chemical/Drug	isocorilagin,247,259,Chemical/Drug	"[{""token"": ""triterpenes"", ""start_span"": 33, ""end_span"": 44, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - amyrin"", ""start_span"": 47, ""end_span"": 61, ""type"": ""Chemical/Drug""}, {""token"": ""beta - amyrin"", ""start_span"": 63, ""end_span"": 76, ""type"": ""Chemical/Drug""}, {""token"": ""lupeol"", ""start_span"": 78, ""end_span"": 84, ""type"": ""Chemical/Drug""}, {""token"": ""betulin"", ""start_span"": 86, ""end_span"": 93, ""type"": ""Chemical/Drug""}, {""token"": ""betulinic acid"", ""start_span"": 95, ""end_span"": 109, ""type"": ""Chemical/Drug""}, {""token"": ""uvaol"", ""start_span"": 111, ""end_span"": 116, ""type"": ""Chemical/Drug""}, {""token"": ""erythrodiol"", ""start_span"": 118, ""end_span"": 129, ""type"": ""Chemical/Drug""}, {""token"": ""oleanolic acid"", ""start_span"": 134, ""end_span"": 148, ""type"": ""Chemical/Drug""}, {""token"": ""phenolic acid"", ""start_span"": 154, ""end_span"": 167, ""type"": ""Chemical/Drug""}, {""token"": ""4 - hydroxybenzoic acid"", ""start_span"": 185, ""end_span"": 208, ""type"": ""Chemical/Drug""}, {""token"": ""gallic and protocatechuic acids"", ""start_span"": 211, ""end_span"": 242, ""type"": ""Chemical/Drug""}, {""token"": ""isocorilagin"", ""start_span"": 247, ""end_span"": 259, ""type"": ""Chemical/Drug""}]"	test
Objective: The purpose of the present study was to evaluate the effects of melatonin on biochemical and cardiovascular changes resulting from exposure to 2, 3, 7, 8 - tetrachlorodibenzo - p - dioxin ( TCDD), a polychlorinated dibenzo - para - dioxin. Methods: A total of 24 Sprague - Dawley rats were divided equally into the following four groups: ( 1) control group was administered with 0. 5 mL corn oil by gavage and 0. 5 cc vehicle of melatonin ( proportionally nine parts physiological serum + one part ethyl alcohol) intraperitoneally for 4 weeks, ( 2) the melatonin group was given 5 mg / kg / day melatonin intraperitoneally for 4 weeks, ( 3) the TCDD group was given 500 ng / kg / day TCDD by gavage for 4 weeks and ( 4) the TCDD + melatonin group was given TCDD ( 500 ng / kg / day) by gavage and melatonin ( 5 mg / kg / day) intraperitoneally simultaneously for 4 weeks.	melatonin,75,84,Chemical/Drug	TCDD,201,205,Chemical/Drug	polychlorinated dibenzo - para - dioxin,210,249,Chemical/Drug	melatonin,440,449,Chemical/Drug	ethyl alcohol,509,522,Chemical/Drug	melatonin,564,573,Chemical/Drug	melatonin,606,615,Chemical/Drug	TCDD,656,660,Chemical/Drug	TCDD,695,699,Chemical/Drug	TCDD,735,739,Chemical/Drug	melatonin,742,751,Chemical/Drug	TCDD,768,772,Chemical/Drug	melatonin,808,817,Chemical/Drug	"[{""token"": ""melatonin"", ""start_span"": 75, ""end_span"": 84, ""type"": ""Chemical/Drug""}, {""token"": ""TCDD"", ""start_span"": 201, ""end_span"": 205, ""type"": ""Chemical/Drug""}, {""token"": ""polychlorinated dibenzo - para - dioxin"", ""start_span"": 210, ""end_span"": 249, ""type"": ""Chemical/Drug""}, {""token"": ""melatonin"", ""start_span"": 440, ""end_span"": 449, ""type"": ""Chemical/Drug""}, {""token"": ""ethyl alcohol"", ""start_span"": 509, ""end_span"": 522, ""type"": ""Chemical/Drug""}, {""token"": ""melatonin"", ""start_span"": 564, ""end_span"": 573, ""type"": ""Chemical/Drug""}, {""token"": ""melatonin"", ""start_span"": 606, ""end_span"": 615, ""type"": ""Chemical/Drug""}, {""token"": ""TCDD"", ""start_span"": 656, ""end_span"": 660, ""type"": ""Chemical/Drug""}, {""token"": ""TCDD"", ""start_span"": 695, ""end_span"": 699, ""type"": ""Chemical/Drug""}, {""token"": ""TCDD"", ""start_span"": 735, ""end_span"": 739, ""type"": ""Chemical/Drug""}, {""token"": ""melatonin"", ""start_span"": 742, ""end_span"": 751, ""type"": ""Chemical/Drug""}, {""token"": ""TCDD"", ""start_span"": 768, ""end_span"": 772, ""type"": ""Chemical/Drug""}, {""token"": ""melatonin"", ""start_span"": 808, ""end_span"": 817, ""type"": ""Chemical/Drug""}]"	test
In the present research, nanomaterial interaction with DCFH - DA was studied in relation to its nature and / or assay conditions ( cell - based and time exposure) by incubating Rhodamine ( Rhd) - labeled 25nm and 50nm silica ( SiO2), naked and oleic acid coated magnetite, ( Fe3O4) and maghemite ( Fe2O3) iron oxide, titanium dioxide ( TiO2) and poly ( ethylene oxide) - poly ( lactide / glycolide) acid ( PLGA - PEO) nanoparticles ( NPs) with metabolically active rat hepatocytes for 4 and 24 - h periods.	DCFH - DA,55,64,Chemical/Drug	Rhodamine,177,186,Chemical/Drug	Rhd,189,192,Chemical/Drug	silica,218,224,Chemical/Drug	SiO2,227,231,Chemical/Drug	oleic acid coated magnetite,244,271,Chemical/Drug	Fe3O4,275,280,Chemical/Drug	maghemite,286,295,Chemical/Drug	Fe2O3,298,303,Chemical/Drug	iron oxide,305,315,Chemical/Drug	titanium dioxide,317,333,Chemical/Drug	TiO2,336,340,Chemical/Drug	PLGA - PEO,406,416,Chemical/Drug	"[{""token"": ""DCFH - DA"", ""start_span"": 55, ""end_span"": 64, ""type"": ""Chemical/Drug""}, {""token"": ""Rhodamine"", ""start_span"": 177, ""end_span"": 186, ""type"": ""Chemical/Drug""}, {""token"": ""Rhd"", ""start_span"": 189, ""end_span"": 192, ""type"": ""Chemical/Drug""}, {""token"": ""silica"", ""start_span"": 218, ""end_span"": 224, ""type"": ""Chemical/Drug""}, {""token"": ""SiO2"", ""start_span"": 227, ""end_span"": 231, ""type"": ""Chemical/Drug""}, {""token"": ""oleic acid coated magnetite"", ""start_span"": 244, ""end_span"": 271, ""type"": ""Chemical/Drug""}, {""token"": ""Fe3O4"", ""start_span"": 275, ""end_span"": 280, ""type"": ""Chemical/Drug""}, {""token"": ""maghemite"", ""start_span"": 286, ""end_span"": 295, ""type"": ""Chemical/Drug""}, {""token"": ""Fe2O3"", ""start_span"": 298, ""end_span"": 303, ""type"": ""Chemical/Drug""}, {""token"": ""iron oxide"", ""start_span"": 305, ""end_span"": 315, ""type"": ""Chemical/Drug""}, {""token"": ""titanium dioxide"", ""start_span"": 317, ""end_span"": 333, ""type"": ""Chemical/Drug""}, {""token"": ""TiO2"", ""start_span"": 336, ""end_span"": 340, ""type"": ""Chemical/Drug""}, {""token"": ""PLGA - PEO"", ""start_span"": 406, ""end_span"": 416, ""type"": ""Chemical/Drug""}]"	test
Derivatives of five anthocyanins ( malvidin, peonidin, petunidin, delphinidin and cyanidin) and derivatives of six flavonols ( quercetin, myricetin, kaempherol, laricitrin isorhamnetin and syringetin) were detected in both positions within the cluster.	anthocyanins,20,32,Chemical/Drug	malvidin,35,43,Chemical/Drug	peonidin,45,53,Chemical/Drug	petunidin,55,64,Chemical/Drug	delphinidin,66,77,Chemical/Drug	cyanidin,82,90,Chemical/Drug	flavonols,115,124,Chemical/Drug	quercetin,127,136,Chemical/Drug	myricetin,138,147,Chemical/Drug	kaempherol,149,159,Chemical/Drug	laricitrin,161,171,Chemical/Drug	isorhamnetin,172,184,Chemical/Drug	syringetin,189,199,Chemical/Drug	"[{""token"": ""anthocyanins"", ""start_span"": 20, ""end_span"": 32, ""type"": ""Chemical/Drug""}, {""token"": ""malvidin"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Chemical/Drug""}, {""token"": ""peonidin"", ""start_span"": 45, ""end_span"": 53, ""type"": ""Chemical/Drug""}, {""token"": ""petunidin"", ""start_span"": 55, ""end_span"": 64, ""type"": ""Chemical/Drug""}, {""token"": ""delphinidin"", ""start_span"": 66, ""end_span"": 77, ""type"": ""Chemical/Drug""}, {""token"": ""cyanidin"", ""start_span"": 82, ""end_span"": 90, ""type"": ""Chemical/Drug""}, {""token"": ""flavonols"", ""start_span"": 115, ""end_span"": 124, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin"", ""start_span"": 127, ""end_span"": 136, ""type"": ""Chemical/Drug""}, {""token"": ""myricetin"", ""start_span"": 138, ""end_span"": 147, ""type"": ""Chemical/Drug""}, {""token"": ""kaempherol"", ""start_span"": 149, ""end_span"": 159, ""type"": ""Chemical/Drug""}, {""token"": ""laricitrin"", ""start_span"": 161, ""end_span"": 171, ""type"": ""Chemical/Drug""}, {""token"": ""isorhamnetin"", ""start_span"": 172, ""end_span"": 184, ""type"": ""Chemical/Drug""}, {""token"": ""syringetin"", ""start_span"": 189, ""end_span"": 199, ""type"": ""Chemical/Drug""}]"	test
Coumarin 7 - hydroxylation, catalyzed by P450 2A13, was strongly inhibited by 2 ' - methoxy - 5, 7 - dihydroxyflavone, 2 - ethynylnaphthalene, 2 ' - methoxyflavone, 2 - naphththalene propargyl ether, acenaphthene, acenaphthylene, naphthalene, 1 - acetylpyrene, flavanone, chrysin, 3 - ethynylphenanthrene, flavone, and 7 - hydroxyflavone; these chemicals induced Type I spectral changes with low Ks values.	Coumarin,0,8,Chemical/Drug	2 - ethynylnaphthalene,119,141,Chemical/Drug	2 ' - methoxyflavone,143,163,Chemical/Drug	2 - naphththalene propargyl ether,165,198,Chemical/Drug	acenaphthene,200,212,Chemical/Drug	acenaphthylene,214,228,Chemical/Drug	naphthalene,230,241,Chemical/Drug	1 - acetylpyrene,243,259,Chemical/Drug	flavanone,261,270,Chemical/Drug	chrysin,272,279,Chemical/Drug	3 - ethynylphenanthrene,281,304,Chemical/Drug	flavone,306,313,Chemical/Drug	7 - hydroxyflavone,319,337,Chemical/Drug	"[{""token"": ""Coumarin"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Chemical/Drug""}, {""token"": ""2 - ethynylnaphthalene"", ""start_span"": 119, ""end_span"": 141, ""type"": ""Chemical/Drug""}, {""token"": ""2 ' - methoxyflavone"", ""start_span"": 143, ""end_span"": 163, ""type"": ""Chemical/Drug""}, {""token"": ""2 - naphththalene propargyl ether"", ""start_span"": 165, ""end_span"": 198, ""type"": ""Chemical/Drug""}, {""token"": ""acenaphthene"", ""start_span"": 200, ""end_span"": 212, ""type"": ""Chemical/Drug""}, {""token"": ""acenaphthylene"", ""start_span"": 214, ""end_span"": 228, ""type"": ""Chemical/Drug""}, {""token"": ""naphthalene"", ""start_span"": 230, ""end_span"": 241, ""type"": ""Chemical/Drug""}, {""token"": ""1 - acetylpyrene"", ""start_span"": 243, ""end_span"": 259, ""type"": ""Chemical/Drug""}, {""token"": ""flavanone"", ""start_span"": 261, ""end_span"": 270, ""type"": ""Chemical/Drug""}, {""token"": ""chrysin"", ""start_span"": 272, ""end_span"": 279, ""type"": ""Chemical/Drug""}, {""token"": ""3 - ethynylphenanthrene"", ""start_span"": 281, ""end_span"": 304, ""type"": ""Chemical/Drug""}, {""token"": ""flavone"", ""start_span"": 306, ""end_span"": 313, ""type"": ""Chemical/Drug""}, {""token"": ""7 - hydroxyflavone"", ""start_span"": 319, ""end_span"": 337, ""type"": ""Chemical/Drug""}]"	test
The major biochemicals ( metabolites) that contributed to discrimination between cabbages grown in the two regions were 4 - aminobutyrate ( GABA), acetate, asparagine, leucine, isoleucine, O - phosphocholine, phenylacetate, phenylalanine, succinate, sucrose, tyrosine, and valine.	4 - aminobutyrate,120,137,Chemical/Drug	GABA,140,144,Chemical/Drug	acetate,147,154,Chemical/Drug	asparagine,156,166,Chemical/Drug	leucine,168,175,Chemical/Drug	isoleucine,177,187,Chemical/Drug	O - phosphocholine,189,207,Chemical/Drug	phenylacetate,209,222,Chemical/Drug	phenylalanine,224,237,Chemical/Drug	succinate,239,248,Chemical/Drug	sucrose,250,257,Chemical/Drug	tyrosine,259,267,Chemical/Drug	valine,273,279,Chemical/Drug	"[{""token"": ""4 - aminobutyrate"", ""start_span"": 120, ""end_span"": 137, ""type"": ""Chemical/Drug""}, {""token"": ""GABA"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Chemical/Drug""}, {""token"": ""acetate"", ""start_span"": 147, ""end_span"": 154, ""type"": ""Chemical/Drug""}, {""token"": ""asparagine"", ""start_span"": 156, ""end_span"": 166, ""type"": ""Chemical/Drug""}, {""token"": ""leucine"", ""start_span"": 168, ""end_span"": 175, ""type"": ""Chemical/Drug""}, {""token"": ""isoleucine"", ""start_span"": 177, ""end_span"": 187, ""type"": ""Chemical/Drug""}, {""token"": ""O - phosphocholine"", ""start_span"": 189, ""end_span"": 207, ""type"": ""Chemical/Drug""}, {""token"": ""phenylacetate"", ""start_span"": 209, ""end_span"": 222, ""type"": ""Chemical/Drug""}, {""token"": ""phenylalanine"", ""start_span"": 224, ""end_span"": 237, ""type"": ""Chemical/Drug""}, {""token"": ""succinate"", ""start_span"": 239, ""end_span"": 248, ""type"": ""Chemical/Drug""}, {""token"": ""sucrose"", ""start_span"": 250, ""end_span"": 257, ""type"": ""Chemical/Drug""}, {""token"": ""tyrosine"", ""start_span"": 259, ""end_span"": 267, ""type"": ""Chemical/Drug""}, {""token"": ""valine"", ""start_span"": 273, ""end_span"": 279, ""type"": ""Chemical/Drug""}]"	train
Overall, there is compelling evidence that salivary TDM can be usefully applied so as to optimize the treatment of epilepsy with carbamazepine, clobazam, ethosuximide, gabapentin, lacosamide, lamotrigine, levetiracetam, oxcarbazepine, phenobarbital, phenytoin, primidone, topiramate, and zonisamide.	carbamazepine,129,142,Chemical/Drug	clobazam,144,152,Chemical/Drug	ethosuximide,154,166,Chemical/Drug	gabapentin,168,178,Chemical/Drug	lacosamide,180,190,Chemical/Drug	lamotrigine,192,203,Chemical/Drug	levetiracetam,205,218,Chemical/Drug	oxcarbazepine,220,233,Chemical/Drug	phenobarbital,235,248,Chemical/Drug	phenytoin,250,259,Chemical/Drug	primidone,261,270,Chemical/Drug	topiramate,272,282,Chemical/Drug	zonisamide,288,298,Chemical/Drug	"[{""token"": ""carbamazepine"", ""start_span"": 129, ""end_span"": 142, ""type"": ""Chemical/Drug""}, {""token"": ""clobazam"", ""start_span"": 144, ""end_span"": 152, ""type"": ""Chemical/Drug""}, {""token"": ""ethosuximide"", ""start_span"": 154, ""end_span"": 166, ""type"": ""Chemical/Drug""}, {""token"": ""gabapentin"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Chemical/Drug""}, {""token"": ""lacosamide"", ""start_span"": 180, ""end_span"": 190, ""type"": ""Chemical/Drug""}, {""token"": ""lamotrigine"", ""start_span"": 192, ""end_span"": 203, ""type"": ""Chemical/Drug""}, {""token"": ""levetiracetam"", ""start_span"": 205, ""end_span"": 218, ""type"": ""Chemical/Drug""}, {""token"": ""oxcarbazepine"", ""start_span"": 220, ""end_span"": 233, ""type"": ""Chemical/Drug""}, {""token"": ""phenobarbital"", ""start_span"": 235, ""end_span"": 248, ""type"": ""Chemical/Drug""}, {""token"": ""phenytoin"", ""start_span"": 250, ""end_span"": 259, ""type"": ""Chemical/Drug""}, {""token"": ""primidone"", ""start_span"": 261, ""end_span"": 270, ""type"": ""Chemical/Drug""}, {""token"": ""topiramate"", ""start_span"": 272, ""end_span"": 282, ""type"": ""Chemical/Drug""}, {""token"": ""zonisamide"", ""start_span"": 288, ""end_span"": 298, ""type"": ""Chemical/Drug""}]"	train
Twenty - five elements were identifiable from 18 positions on the cardiac calculus by EDXRF spectrometer, in which the highest concentrations of toxic TEs ( Ni, Pt, Hg, Sn, Pb, W, Au, Al, Si) and higher levels of essential TEs ( Ca, Sr, Cr, P) were detected.	Ni,157,159,Chemical/Drug	Pt,161,163,Chemical/Drug	Hg,165,167,Chemical/Drug	Sn,169,171,Chemical/Drug	Pb,173,175,Chemical/Drug	W,177,178,Chemical/Drug	Au,180,182,Chemical/Drug	Al,184,186,Chemical/Drug	Si,188,190,Chemical/Drug	Ca,229,231,Chemical/Drug	Sr,233,235,Chemical/Drug	Cr,237,239,Chemical/Drug	P,241,242,Chemical/Drug	"[{""token"": ""Ni"", ""start_span"": 157, ""end_span"": 159, ""type"": ""Chemical/Drug""}, {""token"": ""Pt"", ""start_span"": 161, ""end_span"": 163, ""type"": ""Chemical/Drug""}, {""token"": ""Hg"", ""start_span"": 165, ""end_span"": 167, ""type"": ""Chemical/Drug""}, {""token"": ""Sn"", ""start_span"": 169, ""end_span"": 171, ""type"": ""Chemical/Drug""}, {""token"": ""Pb"", ""start_span"": 173, ""end_span"": 175, ""type"": ""Chemical/Drug""}, {""token"": ""W"", ""start_span"": 177, ""end_span"": 178, ""type"": ""Chemical/Drug""}, {""token"": ""Au"", ""start_span"": 180, ""end_span"": 182, ""type"": ""Chemical/Drug""}, {""token"": ""Al"", ""start_span"": 184, ""end_span"": 186, ""type"": ""Chemical/Drug""}, {""token"": ""Si"", ""start_span"": 188, ""end_span"": 190, ""type"": ""Chemical/Drug""}, {""token"": ""Ca"", ""start_span"": 229, ""end_span"": 231, ""type"": ""Chemical/Drug""}, {""token"": ""Sr"", ""start_span"": 233, ""end_span"": 235, ""type"": ""Chemical/Drug""}, {""token"": ""Cr"", ""start_span"": 237, ""end_span"": 239, ""type"": ""Chemical/Drug""}, {""token"": ""P"", ""start_span"": 241, ""end_span"": 242, ""type"": ""Chemical/Drug""}]"	train
Silica gel column chromatography of the aqueous extract with a linear gradient of ethyl acetate, acetonitrile and carbon tetrachloride ( v / v) yielded five new metabolites named benzopranyl capriate ( 9H - 1 - isoprenyl - benzopyran - 5 - isopropanoic acid - 6 - ol - 6 - n - decanoate), shorghumoic acid ( n - octadec - 8, 11 - dien - 7 alpha - ol - 1 - oic acid) and sorghumflavin A ( 2 - n - butyloxo - 6 - beta - hydroxy - 7 - beta - isoprenyl ankaflavin) from Monascus - fermented S. bicolor, while hordeumflavin B ( 2 - n - undecanyloxo - 7 - beta - isoprenyl ankaflavin) and vulgaredilone ( 2 - dodecanyl - 7 - beta isopranyl monoscodilone) from Monascus - fermented H. vulgare.	Silica gel,0,10,Chemical/Drug	ethyl acetate,82,95,Chemical/Drug	acetonitrile,97,109,Chemical/Drug	carbon tetrachloride,114,134,Chemical/Drug	benzopranyl capriate,179,199,Chemical/Drug	9H - 1 - isoprenyl - benzopyran - 5 - isopropanoic acid - 6 - ol - 6 - n - decanoate,202,286,Chemical/Drug	shorghumoic acid,289,305,Chemical/Drug	sorghumflavin A,370,385,Chemical/Drug	2 - n - butyloxo - 6 - beta - hydroxy - 7 - beta - isoprenyl ankaflavin,388,459,Chemical/Drug	hordeumflavin B,505,520,Chemical/Drug	2 - n - undecanyloxo - 7 - beta - isoprenyl ankaflavin,523,577,Chemical/Drug	vulgaredilone,583,596,Chemical/Drug	2 - dodecanyl - 7 - beta isopranyl monoscodilone,599,647,Chemical/Drug	"[{""token"": ""Silica gel"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Chemical/Drug""}, {""token"": ""ethyl acetate"", ""start_span"": 82, ""end_span"": 95, ""type"": ""Chemical/Drug""}, {""token"": ""acetonitrile"", ""start_span"": 97, ""end_span"": 109, ""type"": ""Chemical/Drug""}, {""token"": ""carbon tetrachloride"", ""start_span"": 114, ""end_span"": 134, ""type"": ""Chemical/Drug""}, {""token"": ""benzopranyl capriate"", ""start_span"": 179, ""end_span"": 199, ""type"": ""Chemical/Drug""}, {""token"": ""9H - 1 - isoprenyl - benzopyran - 5 - isopropanoic acid - 6 - ol - 6 - n - decanoate"", ""start_span"": 202, ""end_span"": 286, ""type"": ""Chemical/Drug""}, {""token"": ""shorghumoic acid"", ""start_span"": 289, ""end_span"": 305, ""type"": ""Chemical/Drug""}, {""token"": ""sorghumflavin A"", ""start_span"": 370, ""end_span"": 385, ""type"": ""Chemical/Drug""}, {""token"": ""2 - n - butyloxo - 6 - beta - hydroxy - 7 - beta - isoprenyl ankaflavin"", ""start_span"": 388, ""end_span"": 459, ""type"": ""Chemical/Drug""}, {""token"": ""hordeumflavin B"", ""start_span"": 505, ""end_span"": 520, ""type"": ""Chemical/Drug""}, {""token"": ""2 - n - undecanyloxo - 7 - beta - isoprenyl ankaflavin"", ""start_span"": 523, ""end_span"": 577, ""type"": ""Chemical/Drug""}, {""token"": ""vulgaredilone"", ""start_span"": 583, ""end_span"": 596, ""type"": ""Chemical/Drug""}, {""token"": ""2 - dodecanyl - 7 - beta isopranyl monoscodilone"", ""start_span"": 599, ""end_span"": 647, ""type"": ""Chemical/Drug""}]"	train
