Aldose reductase, a key enzyme in the oxidative deamination of norepinephrine in rats.	"norepinephrine	63	77	Chemical"	"[{""token"": ""norepinephrine"", ""start_span"": 63, ""end_span"": 77, ""type"": ""Chemical""}]"
"A cDNA sequence containing the "" conserved domain "" complements an NAGS - deficient Escherichia coli strain and the recombinant protein has arginine - responsive NAGS catalytic activity."	"arginine	140	148	Chemical"	"[{""token"": ""arginine"", ""start_span"": 140, ""end_span"": 148, ""type"": ""Chemical""}]"
Although capable of transesterification reactions, these heterocyclic esters are exceptionally stable toward exchange reactions in solution.	"heterocyclic esters	57	76	Chemical"	"[{""token"": ""heterocyclic esters"", ""start_span"": 57, ""end_span"": 76, ""type"": ""Chemical""}]"
This reaction thus seems promising for single - site osmium labeling in polynucleotides.	"osmium	53	59	Chemical"	"[{""token"": ""osmium"", ""start_span"": 53, ""end_span"": 59, ""type"": ""Chemical""}]"
Mutational analysis of p65 revealed Ser276 as a target for phosphorylation and transactivation in response to TNF.	"Ser276	36	42	Chemical"	"[{""token"": ""Ser276"", ""start_span"": 36, ""end_span"": 42, ""type"": ""Chemical""}]"
Moreover, we identified MSK1 as a nuclear kinase for p65, since MSK1 associates with p65 in a stimulus - dependent way and phosphorylates p65 at Ser276.	"Ser276	145	151	Chemical"	"[{""token"": ""Ser276"", ""start_span"": 145, ""end_span"": 151, ""type"": ""Chemical""}]"
More importantly, down - regulation of Claspin augments the premature chromatin condensation induced by hydroxyurea, inhibits the UV - induced reduction of DNA synthesis, and decreases cell survival.	"hydroxyurea	104	115	Chemical"	"[{""token"": ""hydroxyurea"", ""start_span"": 104, ""end_span"": 115, ""type"": ""Chemical""}]"
Cbl - b negatively regulates B cell antigen receptor signaling in mature B cells through ubiquitination of the tyrosine kinase Syk.	"tyrosine	111	119	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 111, ""end_span"": 119, ""type"": ""Chemical""}]"
Members of the Cbl family of molecular adaptors play key roles in regulating tyrosine kinase - dependent signaling in a variety of cellular systems.	"tyrosine	77	85	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 77, ""end_span"": 85, ""type"": ""Chemical""}]"
In B cells from Cbl - b - deficient mice cross - linking the BCRs resulted in sustained phosphorylation of Igalpha, Syk, and phospholipase C ( PLC) - gamma2, leading to prolonged Ca2 + mobilization, and increases in extracellular signal - regulated kinase ( ERK) and c - Jun NH2 - terminal protein kinase ( JNK) phosphorylation and surface expression of the activation marker, CD69.	"Ca2 +	179	184	Chemical"	"[{""token"": ""Ca2 +"", ""start_span"": 179, ""end_span"": 184, ""type"": ""Chemical""}]"
Characterizing the role of MDM2 in diethylnitrosamine induced acute liver damage and development of pre - neoplastic lesions.	"diethylnitrosamine	35	53	Chemical"	"[{""token"": ""diethylnitrosamine"", ""start_span"": 35, ""end_span"": 53, ""type"": ""Chemical""}]"
A single dose of DEN induced a centrilobular p53 response that peaked at 24 h.	"DEN	17	20	Chemical"	"[{""token"": ""DEN"", ""start_span"": 17, ""end_span"": 20, ""type"": ""Chemical""}]"
Rats pre - treated with repeated low or high weekly doses of DEN exhibited EAF and these lesions expressed high levels of cytoplasmic MDM2.	"DEN	61	64	Chemical"	"[{""token"": ""DEN"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Chemical""}]"
Furthermore, small EAF, elicited by low doses of DEN, were preferentially localized to midzonal areas.	"DEN	49	52	Chemical"	"[{""token"": ""DEN"", ""start_span"": 49, ""end_span"": 52, ""type"": ""Chemical""}]"
It is concluded that in centrilobular areas DEN - induced alterations in p53 / MDM2 levels are compatible with a previously described feedback loop.	"DEN	44	47	Chemical"	"[{""token"": ""DEN"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Chemical""}]"
Consistent with a role of this phosphatase on cell wall physiology, cells lacking Msg5 displayed an increased sensitivity to the cell wall - interfering compound Congo Red.	"Congo Red	162	171	Chemical"	"[{""token"": ""Congo Red"", ""start_span"": 162, ""end_span"": 171, ""type"": ""Chemical""}]"
Role of vav1 - and src - related tyrosine kinases in macrophage activation by CpG DNA.	"tyrosine	33	41	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 33, ""end_span"": 41, ""type"": ""Chemical""}]"
Herein we report that exposure of RAW 264. 7 murine macrophages to CpG DNA ( but not non - CpG DNA) provoked the rapid tyrosine phosphorylation of vav1.	"tyrosine	119	127	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 119, ""end_span"": 127, ""type"": ""Chemical""}]"
Furthermore, we found that the inducible expression of any of three dominant interfering mutants of vav1 ( a truncated protein, vavC; a form containing a point mutation in the regulatory tyrosine residue, vavYF174; and a form with an in - frame deletion of six amino acids required for the guanidine nucleotide exchange factor ( GEF) activity of vav1 for rac family GTPases, vavGEFmt) consistently inhibited CpG DNA - mediated up - regulation of tumor necrosis factor secretion and inducible nitric - oxide synthase protein accumulation in RAW - TT10 macrophages.	"tyrosine	187	195	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 187, ""end_span"": 195, ""type"": ""Chemical""}]"
Moreover, E2F1 induces ATM - and NBS1 - dependent phosphorylation of the checkpoint kinase Chk2 at Thr68, a phosphorylation site that stimulates Chk2 activity.	"Thr68	99	104	Chemical"	"[{""token"": ""Thr68"", ""start_span"": 99, ""end_span"": 104, ""type"": ""Chemical""}]"
Delayed gammaH2AX phosphorylation and absence of ATM autophosphorylation at Ser1981 suggest that E2F1 stimulates ATM through a unique mechanism that is distinct from agents that cause DNA double - strand breaks.	"Ser1981	76	83	Chemical"	"[{""token"": ""Ser1981"", ""start_span"": 76, ""end_span"": 83, ""type"": ""Chemical""}]"
We showed, by performing chromatin immunoprecipitation that, in response to UV irradiation but not doxorubicin treatment, E2F4 accumulated on the MCM10 and TopBP1 promoters.	"doxorubicin	99	110	Chemical"	"[{""token"": ""doxorubicin"", ""start_span"": 99, ""end_span"": 110, ""type"": ""Chemical""}]"
Our previous studies established that treatment of human cancer cells with low effective concentrations of DAP specifically activates the G ( 1) - phase checkpoint and simultaneously inhibit Cdk4 and Cdk2 activities.	"DAP	107	110	Chemical"	"[{""token"": ""DAP"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Chemical""}]"
Here we demonstrate that DAP treatment of human cancer cells activates the p53 - p21 pathway without activating other known mechanisms that inhibit Cdk4 and Cdk2 activities.	"DAP	25	28	Chemical"	"[{""token"": ""DAP"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Chemical""}]"
Attenuated p53 expression and p21 induction also eliminates DAP - induced G ( 1) - phase arrest and inhibition of Cdk4 and Cdk2 activities.	"DAP	60	63	Chemical"	"[{""token"": ""DAP"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Chemical""}]"
Together, these findings establish that activation of the p53 - p21 pathway is responsible for the DAP - induced G ( 1) - phase checkpoint response and provide the first solid evidence that p21 induction by p53 during a DNA damage - induced G ( 1) - phase checkpoint response inhibits both Cdk4 and Cdk2 activities.	"DAP	99	102	Chemical"	"[{""token"": ""DAP"", ""start_span"": 99, ""end_span"": 102, ""type"": ""Chemical""}]"
Here we present biochemical evidence supporting this hypothesis, and in addition we demonstrate that PHS also stimulates autophosphorylation and activation of Ypk1 / 2.	"PHS	101	104	Chemical"	"[{""token"": ""PHS"", ""start_span"": 101, ""end_span"": 104, ""type"": ""Chemical""}]"
Greatest stimulation of Ypk1 / 2 phosphorylation and activity are achieved by inclusion of both PHS and Pkh1 in an in vitro kinase reaction.	"PHS	96	99	Chemical"	"[{""token"": ""PHS"", ""start_span"": 96, ""end_span"": 99, ""type"": ""Chemical""}]"
We also demonstrate for the first time that Pkh1 phosphorylates the Sch9 protein kinase in vitro and that such phosphorylation is stimulated by PHS.	"PHS	144	147	Chemical"	"[{""token"": ""PHS"", ""start_span"": 144, ""end_span"": 147, ""type"": ""Chemical""}]"
Thus, our data support a model in which PHS, rather than simply being an upstream activator of Pkh1, also activates kinases that are downstream targets of Pkh1 including Ypk1 / 2 and Sch9.	"PHS	40	43	Chemical"	"[{""token"": ""PHS"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Chemical""}]"
The increases in myotube hypertrophy and RNA content were blocked by rapamycin treatment, which also prevented the increase in cyclin D1 protein expression, CDK - 4 activity, Rb phosphorylation, and the increase in UBF availability.	"rapamycin	69	78	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 69, ""end_span"": 78, ""type"": ""Chemical""}]"
Identification of an intestinal heme transporter.	"heme	32	36	Chemical"	"[{""token"": ""heme"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Chemical""}]"
Most heme is absorbed in the proximal intestine, with absorptive capacity decreasing distally.	"heme	5	9	Chemical"	"[{""token"": ""heme"", ""start_span"": 5, ""end_span"": 9, ""type"": ""Chemical""}]"
Our data indicate that HCP 1 is the long - sought intestinal heme transporter.	"heme	61	65	Chemical"	"[{""token"": ""heme"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Chemical""}]"
Here we report that, in contrast to uninfected cells, mdm2 was undetectable upon treatment of infected fibroblasts with the proteasome inhibitor MG132.	"MG132	145	150	Chemical"	"[{""token"": ""MG132"", ""start_span"": 145, ""end_span"": 150, ""type"": ""Chemical""}]"
The regions of IE2 - 86 important for mdm2 depletion were those containing the sequences corresponding to the putative zinc finger and C - terminal acidic motifs.	"zinc	119	123	Chemical"	"[{""token"": ""zinc"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Chemical""}]"
Yet the role of p21 upregulation by RA in lymphoma cells remains unknown.	"RA	36	38	Chemical"	"[{""token"": ""RA"", ""start_span"": 36, ""end_span"": 38, ""type"": ""Chemical""}]"
Here, we show that, in human pre - B lymphoma Nalm6 cells, RA - induced proliferation inhibition results from massive cell death characterized by apoptosis.	"RA	59	61	Chemical"	"[{""token"": ""RA"", ""start_span"": 59, ""end_span"": 61, ""type"": ""Chemical""}]"
Upregulated p21 by RA accompanies caspase - 3 activation and precedes the occurrence of apoptosis.	"RA	19	21	Chemical"	"[{""token"": ""RA"", ""start_span"": 19, ""end_span"": 21, ""type"": ""Chemical""}]"
We found that both STS - and genotoxin - induced cerebellar NPC death were markedly inhibited by p53 or Bax deficiency.	"STS	19	22	Chemical"	"[{""token"": ""STS"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Chemical""}]"
In contrast, STS caused cerebellar NPC death without requiring new protein synthesis or PUMA expression.	"STS	13	16	Chemical"	"[{""token"": ""STS"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Chemical""}]"
In addition, genotoxic agents increased nuclear p53 immunoreactivity, whereas STS produced rapid cytoplasmic p53 accumulation.	"STS	78	81	Chemical"	"[{""token"": ""STS"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Chemical""}]"
Interestingly, STS - induced death of cerebellar granule neurons was p53 - independent, indicating a differentiation - dependent feature of neuronal apoptotic regulation.	"STS	15	18	Chemical"	"[{""token"": ""STS"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Chemical""}]"
These results suggest that STS - induced cerebellar NPC death requires a direct effect of p53 on cytoplasmic apoptotic mediators, whereas genotoxin - induced death requires p53 - dependent gene transcription of PUMA.	"STS	27	30	Chemical"	"[{""token"": ""STS"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Chemical""}]"
Cdk - inhibitory activity and stability of p27Kip1 are directly regulated by oncogenic tyrosine kinases.	"tyrosine	87	95	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 87, ""end_span"": 95, ""type"": ""Chemical""}]"
Here we show that Cdk inhibition and p27 stability are regulated through direct phosphorylation by tyrosine kinases.	"tyrosine	99	107	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 99, ""end_span"": 107, ""type"": ""Chemical""}]"
Y88 phosphorylation does not prevent p27 binding to cyclin A / Cdk2.	"Y88	0	3	Chemical"	"[{""token"": ""Y88"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}]"
Instead, it causes phosphorylated Y88 and the entire inhibitory 3 ( 10) - helix of p27 to be ejected from the Cdk2 active site, thus restoring partial Cdk activity.	"Y88	34	37	Chemical"	"[{""token"": ""Y88"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Chemical""}]"
Experimental analysis revealed that the membrane - bound osmosensor Sho1 is phosphorylated by Hog1 and that phosphorylation occurs on Ser - 166.	"Ser - 166	134	143	Chemical"	"[{""token"": ""Ser - 166"", ""start_span"": 134, ""end_span"": 143, ""type"": ""Chemical""}]"
The binding of S6K1 and 4E - BP1 to raptor requires a TOR signaling ( TOS) motif, which contains an essential Phe followed by four alternating acidic and small hydrophobic amino acids.	"Phe	110	113	Chemical"	"[{""token"": ""Phe"", ""start_span"": 110, ""end_span"": 113, ""type"": ""Chemical""}]"
PRAS40 binding to raptor was severely inhibited by mutation of PRAS40 ( Phe ( 129) to Ala).	"Ala	86	89	Chemical"	"[{""token"": ""Ala"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Chemical""}]"
PRAS40 binding to raptor was also abolished by mutation of the major mTORC1 phosphorylation site, Ser ( 183), to Asp.	"Asp	113	116	Chemical"	"[{""token"": ""Asp"", ""start_span"": 113, ""end_span"": 116, ""type"": ""Chemical""}]"
Overexpressed PRAS40 suppressed the phosphorylation of S6K1 and 4E - BP1 at their rapamycin - sensitive phosphorylation sites, and reciprocally, overexpression of S6K1 or 4E - BP1 suppressed phosphorylation of PRAS40 ( Ser ( 183)) and its binding to raptor.	"rapamycin	82	91	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 82, ""end_span"": 91, ""type"": ""Chemical""}]"
This requires the replication fork - associated acetyl transferase Eco1, but Eco1 ' s mechanism of action is not known.	"acetyl	48	54	Chemical"	"[{""token"": ""acetyl"", ""start_span"": 48, ""end_span"": 54, ""type"": ""Chemical""}]"
An acetylation - mimicking mutation of a conserved lysine in cohesin ' s Smc3 subunit makes Eco1 dispensable for cell growth, and we show that Smc3 is acetylated in an Eco1 - dependent manner during DNA replication to promote sister chromatid cohesion.	"lysine	51	57	Chemical"	"[{""token"": ""lysine"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Chemical""}]"
Using site - specific antibodies we demonstrate that in murine p53, S15 is phosphorylated in a tetramerisation - dependent manner.	"S15	68	71	Chemical"	"[{""token"": ""S15"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Chemical""}]"
In contrast, human p53 S15 phosphorylation is not tetramerisation - dependent.	"S15	23	26	Chemical"	"[{""token"": ""S15"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Chemical""}]"
Analysis of chemical shift changes reveals the binding modes of isoindolinone inhibitors of the MDM2 - p53 interaction.	"isoindolinone	64	77	Chemical"	"[{""token"": ""isoindolinone"", ""start_span"": 64, ""end_span"": 77, ""type"": ""Chemical""}]"
In this study we present a method for defining the binding modes of a set of structurally related isoindolinone inhibitors of the MDM2 - p53 interaction.	"isoindolinone	98	111	Chemical"	"[{""token"": ""isoindolinone"", ""start_span"": 98, ""end_span"": 111, ""type"": ""Chemical""}]"
This approach derives the location and orientation of isoindolinone binding, based on an analysis of the patterns of magnitude and direction of chemical shift perturbations for a series of inhibitors of the MDM2 - p53 interaction.	"isoindolinone	54	67	Chemical"	"[{""token"": ""isoindolinone"", ""start_span"": 54, ""end_span"": 67, ""type"": ""Chemical""}]"
Isoindolinones are a novel class of MDM2 - antagonists of moderate affinity, which still require the development of more potent candidates for clinical applications.	"Isoindolinones	0	14	Chemical"	"[{""token"": ""Isoindolinones"", ""start_span"": 0, ""end_span"": 14, ""type"": ""Chemical""}]"
For a set of 12 structurally related isoindolinones, the data suggests 4 different orientations of binding, caused by subtle changes in the chemical structure of the inhibitors.	"isoindolinones	37	51	Chemical"	"[{""token"": ""isoindolinones"", ""start_span"": 37, ""end_span"": 51, ""type"": ""Chemical""}]"
Here, we show that an MAR binding protein SMAR1 interacts with MDM2 and the Ser15 phosphorylated form of p53, forming a ternary complex in the post stress - recovery phase.	"Ser15	76	81	Chemical"	"[{""token"": ""Ser15"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Chemical""}]"
This limonoid abrogated the expression of proteins associated with cell survival ( Bcl - 2, Bcl - xL, IAP - 1, and IAP - 2), proliferation ( cyclin D1), invasion ( MMP - 9), and angiogenesis ( VEGF), all regulated by nuclear factor ( NF) - kappaB.	"limonoid	5	13	Chemical"	"[{""token"": ""limonoid"", ""start_span"": 5, ""end_span"": 13, ""type"": ""Chemical""}]"
We found that suppression of NF - kappaB activation by nimbolide was caused by inhibition of IkappaB kinase ( IKK), which led to suppression of IkappaBalpha phosphorylation and degradation, nuclear translocation, DNA binding, and gene transcription.	"nimbolide	55	64	Chemical"	"[{""token"": ""nimbolide"", ""start_span"": 55, ""end_span"": 64, ""type"": ""Chemical""}]"
Overall, our results indicate that nimbolide can sensitize tumor cells to chemotherapeutic agents through interaction with IKK, leading to inhibition of NF - kappaB - regulated proteins.	"nimbolide	35	44	Chemical"	"[{""token"": ""nimbolide"", ""start_span"": 35, ""end_span"": 44, ""type"": ""Chemical""}]"
Phosphorylation of p50 NF - kappaB at a single serine residue by DNA - dependent protein kinase is critical for VCAM - 1 expression upon TNF treatment.	"serine	47	53	Chemical"	"[{""token"": ""serine"", ""start_span"": 47, ""end_span"": 53, ""type"": ""Chemical""}]"
The phosphorylation and subsequent degradation of I - kappaBalpha as well as the serine 536 phosphorylation and nuclear translocation of p65 NF - kappaB were insufficient for VCAM - 1 expression in response to TNF.	"serine 536	81	91	Chemical"	"[{""token"": ""serine 536"", ""start_span"": 81, ""end_span"": 91, ""type"": ""Chemical""}]"
Chromatin immunoprecipitation revealed lithium chloride - induced binding of beta - catenin on one of the T - cell activating factor binding sites.	"lithium chloride	39	55	Chemical"	"[{""token"": ""lithium chloride"", ""start_span"": 39, ""end_span"": 55, ""type"": ""Chemical""}]"
