The leukemia cell lines K562 and HL - 60 had no detectable TGF - beta RII mRNA.	"leukemia cell lines K562	4	28	Cell"	"HL - 60	33	40	Cell"	"[{""token"": ""leukemia cell lines K562"", ""start_span"": 4, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""HL - 60"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Cell""}]"
The p75 receptor belongs to the tumor necrosis factor ( TNF) family of death receptors and has been suggested as a receptor that mediates apoptosis in neuronal and NB cells.	"neuronal	151	159	Cell"	"NB cells	164	172	Cell"	"[{""token"": ""neuronal"", ""start_span"": 151, ""end_span"": 159, ""type"": ""Cell""}, {""token"": ""NB cells"", ""start_span"": 164, ""end_span"": 172, ""type"": ""Cell""}]"
PROCEDURE: To investigate the effect of p75 expression in NB, we transfected the p75 cDNA into SH - SY5Y cells, an NB cell line lacking expression of both p75 and TrkA.	"SH - SY5Y cells	95	110	Cell"	"NB cell line	115	127	Cell"	"[{""token"": ""SH - SY5Y cells"", ""start_span"": 95, ""end_span"": 110, ""type"": ""Cell""}, {""token"": ""NB cell line"", ""start_span"": 115, ""end_span"": 127, ""type"": ""Cell""}]"
The present study shows that a mutant with an LMP1 site - specific mutation at TES2, LMP1 ( TRADD), initially stimulates cell growth and significantly extends the life span of MEF.	"cell	121	125	Cell"	"MEF	176	179	Cell"	"[{""token"": ""cell"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Cell""}, {""token"": ""MEF"", ""start_span"": 176, ""end_span"": 179, ""type"": ""Cell""}]"
The migration of vascular endothelial cells ( ECs) plays an important role in vascular remodeling.	"vascular endothelial cells	17	43	Cell"	"ECs	46	49	Cell"	"[{""token"": ""vascular endothelial cells"", ""start_span"": 17, ""end_span"": 43, ""type"": ""Cell""}, {""token"": ""ECs"", ""start_span"": 46, ""end_span"": 49, ""type"": ""Cell""}]"
Invasion of the human melanoma cell line, BLM, was also attenuated by the anti - PAI - 1 monoclonal antibody MAI - 12.	"melanoma cell line	22	40	Cell"	"BLM	42	45	Cell"	"[{""token"": ""melanoma cell line"", ""start_span"": 22, ""end_span"": 40, ""type"": ""Cell""}, {""token"": ""BLM"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Cell""}]"
Addition of exogenous PAI - 1, however, prevented HT1080 cell adhesion ( IC50 180 nM) and promoted cell detachment from vitronectin.	"HT1080 cell	50	61	Cell"	"cell	99	103	Cell"	"[{""token"": ""HT1080 cell"", ""start_span"": 50, ""end_span"": 61, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Cell""}]"
Inhibition of PDGF - stimulated and matrix - mediated proliferation of human vascular smooth muscle cells by SPARC is independent of changes in cell shape or cyclin - dependent kinase inhibitors.	"vascular smooth muscle cells	77	105	Cell"	"cell	144	148	Cell"	"[{""token"": ""vascular smooth muscle cells"", ""start_span"": 77, ""end_span"": 105, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Cell""}]"
What was observed, however, was the multistep acquisition of aberrant cellular genetic changes in marrow cells from patients who transformed, including activating ras oncogene mutations, clonal cytogenetic abnormalities, and G - CSF receptor mutations.	"cellular	70	78	Cell"	"marrow cells	98	110	Cell"	"[{""token"": ""cellular"", ""start_span"": 70, ""end_span"": 78, ""type"": ""Cell""}, {""token"": ""marrow cells"", ""start_span"": 98, ""end_span"": 110, ""type"": ""Cell""}]"
Since congenital neutropenia and SDS are inherited forms of bone marrow failure, G - CSF may accelerate the propensity for MDS / AML in the genetically altered stem and progenitor cells, especially in those with G - CSF receptor and ras mutations ( 82% and 50% of patients who transform, respectively).	"stem	160	164	Cell"	"progenitor cells	169	185	Cell"	"[{""token"": ""stem"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Cell""}, {""token"": ""progenitor cells"", ""start_span"": 169, ""end_span"": 185, ""type"": ""Cell""}]"
Cancer cells secrete soluble factors which can induce proliferation and migration of capillary endothelial cells.	"Cancer cells	0	12	Cell"	"capillary endothelial cells	85	112	Cell"	"[{""token"": ""Cancer cells"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Cell""}, {""token"": ""capillary endothelial cells"", ""start_span"": 85, ""end_span"": 112, ""type"": ""Cell""}]"
The results showed that the expression of full - length T antigen rendered rat embryo fibroblasts ( REF) sensitive to 5 - FU - induced apoptosis.	"embryo fibroblasts	79	97	Cell"	"REF	100	103	Cell"	"[{""token"": ""embryo fibroblasts"", ""start_span"": 79, ""end_span"": 97, ""type"": ""Cell""}, {""token"": ""REF"", ""start_span"": 100, ""end_span"": 103, ""type"": ""Cell""}]"
Treatment of REF or REF expressing full - length T antigen, an N - terminal segment, or T251 - 708 resulted in increased expression of the p53 - responsive MDM2 gene; apoptosis occurred through a p53 - dependent pathway, as p53 - null cells expressing these T antigens were resistant to 5 - FU - induced apoptosis.	"REF	13	16	Cell"	"REF	20	23	Cell"	"[{""token"": ""REF"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Cell""}, {""token"": ""REF"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Cell""}]"
In contrast, pellets from the CLA - fed animals contained fewer infiltrating cells, which formed limited branching cellular networks, the majority of which had collapsed lumen and no RBCs.	"cells	77	82	Cell"	"RBCs	183	187	Cell"	"[{""token"": ""cells"", ""start_span"": 77, ""end_span"": 82, ""type"": ""Cell""}, {""token"": ""RBCs"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Cell""}]"
ELISA found the presence of vascular endothelial growth factors ( VEGF) both in the tested oral cancer cells and NOK.	"oral cancer cells	91	108	Cell"	"NOK	113	116	Cell"	"[{""token"": ""oral cancer cells"", ""start_span"": 91, ""end_span"": 108, ""type"": ""Cell""}, {""token"": ""NOK"", ""start_span"": 113, ""end_span"": 116, ""type"": ""Cell""}]"
We have used retroviral - mediated gene delivery to effect sustained autocrine expression of TIMP - 3 in murine neuroblastoma and melanoma tumor cells in order to further examine the ability of TIMPs to inhibit angiogenesis in vivo.	"neuroblastoma	112	125	Cell"	"melanoma tumor cells	130	150	Cell"	"[{""token"": ""neuroblastoma"", ""start_span"": 112, ""end_span"": 125, ""type"": ""Cell""}, {""token"": ""melanoma tumor cells"", ""start_span"": 130, ""end_span"": 150, ""type"": ""Cell""}]"
Histologic evaluation revealed that although tumors overexpressing TIMP - 3 had an increased number of CD31 ( +) endothelial cells, these endothelial cells had not formed functional tubules, as evidenced by decreased vessel continuity and minimal pericyte recruitment.	"endothelial cells	113	130	Cell"	"pericyte	247	255	Cell"	"[{""token"": ""endothelial cells"", ""start_span"": 113, ""end_span"": 130, ""type"": ""Cell""}, {""token"": ""pericyte"", ""start_span"": 247, ""end_span"": 255, ""type"": ""Cell""}]"
The initial step of adhesion was mediated by sialyl Lewis ( x) ( Le ( x)) and sialyl Le ( a), the carbohydrate determinants expressed on the cancer cells, and E - selectin expressed constitutively on F - 2 cells.	"cancer cells	141	153	Cell"	"F - 2 cells	200	211	Cell"	"[{""token"": ""cancer cells"", ""start_span"": 141, ""end_span"": 153, ""type"": ""Cell""}, {""token"": ""F - 2 cells"", ""start_span"": 200, ""end_span"": 211, ""type"": ""Cell""}]"
This in vitro morphogenesis was inhibited by the addition of anti - sialyl Le ( x) / Le ( a) or anti - beta ( 1) - integrin antibodies, which led to the formation of cancer cell aggregates that were independent from the F - 2 cell networks.	"cancer cell aggregates	166	188	Cell"	"F - 2 cell	220	230	Cell"	"[{""token"": ""cancer cell aggregates"", ""start_span"": 166, ""end_span"": 188, ""type"": ""Cell""}, {""token"": ""F - 2 cell"", ""start_span"": 220, ""end_span"": 230, ""type"": ""Cell""}]"
This in vitro morphological appearance was exactly reproduced in the in vivo tumors, which were formed when the mixture of A431 and F - 2 cells at the ratio of 10: 1 were cotransplanted s. c. into the back of nude rats.	"A431	123	127	Cell"	"F - 2 cells	132	143	Cell"	"[{""token"": ""A431"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Cell""}, {""token"": ""F - 2 cells"", ""start_span"": 132, ""end_span"": 143, ""type"": ""Cell""}]"
Keratinocyte progenitor cells from TPA - treated Tg. AC mice were isolated with fluorescence - activated cell sorting and expression was analyzed using cDNA microarray technology.	"Keratinocyte progenitor cells	0	29	Cell"	"cell	105	109	Cell"	"[{""token"": ""Keratinocyte progenitor cells"", ""start_span"": 0, ""end_span"": 29, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Cell""}]"
The purpose of this study was to try to understand why DU145 cells are resistant to CH - 11 and determine the signaling pathway utilized by AdGFPFasL ( TET) to induce apoptosis in these Fas - resistant cells.	"DU145 cells	55	66	Cell"	"cells	202	207	Cell"	"[{""token"": ""DU145 cells"", ""start_span"": 55, ""end_span"": 66, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 202, ""end_span"": 207, ""type"": ""Cell""}]"
Altogether, these results suggest that the glycolytic pathway may be an important target for therapeutic intervention to sensitize tumor cells to selectively toxic soluble death ligands or death ligand - expressing cells of the immune system by facilitating the activation of initiator caspase - 8.	"tumor cells	131	142	Cell"	"cells	215	220	Cell"	"[{""token"": ""tumor cells"", ""start_span"": 131, ""end_span"": 142, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 215, ""end_span"": 220, ""type"": ""Cell""}]"
To determine whether changes in angiogenesis are responsible for the decrease in progesterone synthesis, we measured hemoglobin and CD34 levels in luteinized ovaries following injection of COX inhibitors and measured the relative frequency of cells positive for platelet - endothelial cell adhesion molecule as a specific marker for endothelial cells.	"cells	243	248	Cell"	"endothelial cells	333	350	Cell"	"[{""token"": ""cells"", ""start_span"": 243, ""end_span"": 248, ""type"": ""Cell""}, {""token"": ""endothelial cells"", ""start_span"": 333, ""end_span"": 350, ""type"": ""Cell""}]"
Cell - matrix adhesion assay was used to study the adhesive ability of CNE1 - GL cells.	"Cell	0	4	Cell"	"CNE1 - GL cells	71	86	Cell"	"[{""token"": ""Cell"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Cell""}, {""token"": ""CNE1 - GL cells"", ""start_span"": 71, ""end_span"": 86, ""type"": ""Cell""}]"
The positive rates of expression of MMP - 9 in CNE1 and CNE1 - GL cells were 30. 2% and 98. 2%, respectively ( P < 0. 05).	"CNE1	47	51	Cell"	"CNE1 - GL cells	56	71	Cell"	"[{""token"": ""CNE1"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Cell""}, {""token"": ""CNE1 - GL cells"", ""start_span"": 56, ""end_span"": 71, ""type"": ""Cell""}]"
Invasion assay and migration assay showed that the invasion and migration of CNE1 - GL cell were higher than those of CNE1 cells ( P < 0. 01).	"CNE1 - GL cell	77	91	Cell"	"CNE1 cells	118	128	Cell"	"[{""token"": ""CNE1 - GL cell"", ""start_span"": 77, ""end_span"": 91, ""type"": ""Cell""}, {""token"": ""CNE1 cells"", ""start_span"": 118, ""end_span"": 128, ""type"": ""Cell""}]"
However, how survivin couples to the cell death machinery has remained elusive, and the relevant cellular targets of survivin antagonists have not been completely elucidated.	"cell	37	41	Cell"	"cellular	97	105	Cell"	"[{""token"": ""cell"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 97, ""end_span"": 105, ""type"": ""Cell""}]"
Experimental Design: Human umbilical vein and dermal microvascular endothelial cells were infected with replication - deficient adenoviruses encoding survivin ( pAd - Survivin), green fluorescent protein ( pAd - GFP), or a phosphorylation - defective survivin Thr ( 34) - - > Ala ( pAd - T34A) dominant negative mutant.	"umbilical vein	27	41	Cell"	"dermal microvascular endothelial cells	46	84	Cell"	"[{""token"": ""umbilical vein"", ""start_span"": 27, ""end_span"": 41, ""type"": ""Cell""}, {""token"": ""dermal microvascular endothelial cells"", ""start_span"": 46, ""end_span"": 84, ""type"": ""Cell""}]"
The cell death pathway initiated by survivin targeting was mapped with respect to cytochrome c release, changes in mitochondrial transmembrane potential, and apoptosome requirements using mouse embryonic fibroblasts deficient in Apaf - 1 or caspase - 9.	"cell	4	8	Cell"	"embryonic fibroblasts	194	215	Cell"	"[{""token"": ""cell"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Cell""}, {""token"": ""embryonic fibroblasts"", ""start_span"": 194, ""end_span"": 215, ""type"": ""Cell""}]"
Conversely, expression of pAd - T34A caused apoptosis in umbilical vein and dermal microvascular endothelial cells and resulted in caspase - 3 activity.	"umbilical vein	57	71	Cell"	"dermal microvascular endothelial cells	76	114	Cell"	"[{""token"": ""umbilical vein"", ""start_span"": 57, ""end_span"": 71, ""type"": ""Cell""}, {""token"": ""dermal microvascular endothelial cells"", ""start_span"": 76, ""end_span"": 114, ""type"": ""Cell""}]"
Cell death induced by survivin targeting exhibited the hallmarks of mitochondrial - dependent apoptosis with release of cytochrome c and loss of mitochondrial transmembrane potential and was suppressed in Apaf - 1 or caspase - 9 knockout mouse embryonic fibroblasts.	"Cell	0	4	Cell"	"embryonic fibroblasts	244	265	Cell"	"[{""token"": ""Cell"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Cell""}, {""token"": ""embryonic fibroblasts"", ""start_span"": 244, ""end_span"": 265, ""type"": ""Cell""}]"
Accumulating evidences indicate that receptor activator of NF - kB ligand ( RANKL) is the ultimate extracellular mediator that stimulates osteoclast differentiation into mature osteoclasts.	"osteoclast	138	148	Cell"	"osteoclasts	177	188	Cell"	"[{""token"": ""osteoclast"", ""start_span"": 138, ""end_span"": 148, ""type"": ""Cell""}, {""token"": ""osteoclasts"", ""start_span"": 177, ""end_span"": 188, ""type"": ""Cell""}]"
These experiments demonstrate that direct interactions between breast cancer and stromal or osteoblastic cells induce osteoclastogenesis in vitro through modulating RANKL expression.	"stromal	81	88	Cell"	"osteoblastic cells	92	110	Cell"	"[{""token"": ""stromal"", ""start_span"": 81, ""end_span"": 88, ""type"": ""Cell""}, {""token"": ""osteoblastic cells"", ""start_span"": 92, ""end_span"": 110, ""type"": ""Cell""}]"
We have recently found that sodium fluoride ( NaF) induced apoptotic cell death in tumor cell lines.	"cell	69	73	Cell"	"tumor cell lines	83	99	Cell"	"[{""token"": ""cell"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Cell""}, {""token"": ""tumor cell lines"", ""start_span"": 83, ""end_span"": 99, ""type"": ""Cell""}]"
TGFbeta1 was initially identified in culture media from transformed cells as part of a factor that could produce a transformed phenotype in a nontransformed cell line.	"transformed cells	56	73	Cell"	"nontransformed cell	142	161	Cell"	"[{""token"": ""transformed cells"", ""start_span"": 56, ""end_span"": 73, ""type"": ""Cell""}, {""token"": ""nontransformed cell"", ""start_span"": 142, ""end_span"": 161, ""type"": ""Cell""}]"
NIH3T3 transfectant containing human K - ras oncogene shows enhanced metastatic activity after in vivo tumor growth or co - culture with fibroblasts.	"NIH3T3 transfectant	0	19	Cell"	"fibroblasts	137	148	Cell"	"[{""token"": ""NIH3T3 transfectant"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Cell""}, {""token"": ""fibroblasts"", ""start_span"": 137, ""end_span"": 148, ""type"": ""Cell""}]"
Six subclones were randomly selected from H - 3 cells which had been subcultured to passage 22.	"subclones	4	13	Cell"	"H - 3 cells	42	53	Cell"	"[{""token"": ""subclones"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Cell""}, {""token"": ""H - 3 cells"", ""start_span"": 42, ""end_span"": 53, ""type"": ""Cell""}]"
The low metastatic and G - 418 - resistant H - 3 cells were co - cultured with BALB / c3T3 fibroblasts for 2 - 4 weeks.	"H - 3 cells	43	54	Cell"	"BALB / c3T3 fibroblasts	79	102	Cell"	"[{""token"": ""H - 3 cells"", ""start_span"": 43, ""end_span"": 54, ""type"": ""Cell""}, {""token"": ""BALB / c3T3 fibroblasts"", ""start_span"": 79, ""end_span"": 102, ""type"": ""Cell""}]"
Fibroblasts of the host animal may thus have an important role in generating enhanced metastatic activity of H - 3 cells.	"Fibroblasts	0	11	Cell"	"H - 3 cells	109	120	Cell"	"[{""token"": ""Fibroblasts"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Cell""}, {""token"": ""H - 3 cells"", ""start_span"": 109, ""end_span"": 120, ""type"": ""Cell""}]"
Immunohistochemistry scores for matrix metalloproteinase - 9 expression were significantly elevated compared to controls in scar endothelial cells and fibroblasts from 2 until 12 and 20 weeks, respectively.	"scar endothelial cells	124	146	Cell"	"fibroblasts	151	162	Cell"	"[{""token"": ""scar endothelial cells"", ""start_span"": 124, ""end_span"": 146, ""type"": ""Cell""}, {""token"": ""fibroblasts"", ""start_span"": 151, ""end_span"": 162, ""type"": ""Cell""}]"
One of the most fundamental is the ability to act as essential growth checkpoint that protects cells against cellular transformation.	"cells	95	100	Cell"	"cellular	109	117	Cell"	"[{""token"": ""cells"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 109, ""end_span"": 117, ""type"": ""Cell""}]"
Enhanced IGF - 1 expression improves smooth muscle cell engraftment after cell transplantation.	"smooth muscle cell	37	55	Cell"	"cell	74	78	Cell"	"[{""token"": ""smooth muscle cell"", ""start_span"": 37, ""end_span"": 55, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Cell""}]"
The functional benefit of cell transplantation after a myocardial infarction is diminished by early cell losses.	"cell	26	30	Cell"	"cell	100	104	Cell"	"[{""token"": ""cell"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Cell""}]"
One week later, IGF - 1 - transfected SMCs had increased myocardial IGF - 1 and VEGF levels, increased Bcl2 expression, limited cell apoptosis, and enhanced vessel formation in the myocardial scar compared with the two control groups ( P less than 0. 05 for all groups).	"SMCs	38	42	Cell"	"cell	128	132	Cell"	"[{""token"": ""SMCs"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Cell""}]"
The proportion of SMCs surviving in the implanted region was greater ( P less than 0. 05) in the IGF - 1 - transfected group than in the vector or cell controls.	"SMCs	18	22	Cell"	"cell	147	151	Cell"	"[{""token"": ""SMCs"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Cell""}]"
