We verified the differential expression of spy2039 and spy0130 by qRT - PCR.	"spy2039	43	50	Protein"	"spy0130	55	62	Protein"	"[{""token"": ""spy2039"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"
Allelic replacement created two putative deletion mutants; however, RT - PCR analysis ( Figure 4A) revealed that only one such clone ( SF370Deltaspy0129. 2) was a true knock - out for the spy0129 gene and useful for further study.	"SF370Deltaspy0129	135	152	Protein"	"spy0129	188	195	Protein"	"[{""token"": ""SF370Deltaspy0129"", ""start_span"": 135, ""end_span"": 152, ""type"": ""Protein""}, {""token"": ""spy0129"", ""start_span"": 188, ""end_span"": 195, ""type"": ""Protein""}]"
These results suggest that either the spy0130 gene product is involved directly in adherence, or that due to the elimination of the sortase, the pili, which may function in their entirety as adhesins, were not assembled on the surface of the mutant.	"spy0130	38	45	Protein"	"sortase	132	139	Protein"	"[{""token"": ""spy0130"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""sortase"", ""start_span"": 132, ""end_span"": 139, ""type"": ""Protein""}]"
We are working to produce an in - frame deletion of spy0128 and a spy0130 single knock - out mutant to delineate the contribution of each individual clustered gene product to adherence.	"spy0128	52	59	Protein"	"spy0130	66	73	Protein"	"[{""token"": ""spy0128"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Protein""}]"
Another cluster, spy1725 - 1719, contained six genes that together ( though not individually) exhibited significant downregulation.	"spy1725	17	24	Protein"	"1719	27	31	Protein"	"[{""token"": ""spy1725"", ""start_span"": 17, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""1719"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}]"
We examined the spy1725 and spy1723 gene products ( annotated as hypothetical proteins [ 14]) for similarities with known proteins that might indicate a role for these gene products in protein biosynthesis.	"spy1725	16	23	Protein"	"spy1723	28	35	Protein"	"[{""token"": ""spy1725"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""spy1723"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Protein""}]"
The spy1723 gene product has similar domain structure to the YlxR protein of S. pneumoniae, an RNA - binding protein implicated in transcription termination [ 53].	"spy1723	4	11	Protein"	"YlxR	61	65	Protein"	"[{""token"": ""spy1723"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""YlxR"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Protein""}]"
For example, the algorithm identified a significant neighbor cluster spanning spy0711 - 0712.	"spy0711	78	85	Protein"	"0712	88	92	Protein"	"[{""token"": ""spy0711"", ""start_span"": 78, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""0712"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}]"
This grouping encodes two known virulence factors, pyrogenic exotoxin SpeC and the MF2 DNase, previously shown to be commonly regulated as an operon [ 11].	"SpeC	70	74	Protein"	"MF2	83	86	Protein"	"[{""token"": ""SpeC"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""MF2"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Protein""}]"
Porphyromonas gingivalis short fimbriae are regulated by a FimS / FimR two - component system	"FimS	59	63	Protein"	"FimR	66	70	Protein"	"[{""token"": ""FimS"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}]"
Here, the novel finding that FimR, a member of the two - component regulatory system, is a transcriptional activator of the mfa1 gene is promoted.	"FimR	29	33	Protein"	"mfa1	124	128	Protein"	"[{""token"": ""FimR"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}]"
The long ( major) filamentous structure is comprised of a FimA subunit protein encoded by the fimA gene.	"FimA	58	62	Protein"	"fimA	94	98	Protein"	"[{""token"": ""FimA"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Protein""}]"
The function of the FimA protein and regulation of fimA expression have been extensively studied.	"FimA	20	24	Protein"	"fimA	51	55	Protein"	"[{""token"": ""FimA"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}]"
A P. gingivalis fimA mutant shows impaired invasion capability of epithelial cells compared with wild - type strain, suggesting the involvement of FimA in the bacterial interaction with surface receptor ( s) on gingival cells ( Weinberg et al., 1997).	"fimA	16	20	Protein"	"FimA	147	151	Protein"	"[{""token"": ""fimA"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""FimA"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}]"
Coadhesion and biofilm development between P. gingivalis and Streptococcus gordonii require the interaction of Mfa1 with streptococcal protein SspB ( Park et al., 2005).	"Mfa1	111	115	Protein"	"SspB	143	147	Protein"	"[{""token"": ""Mfa1"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""SspB"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}]"
In a nutrient - limited medium, expression of FimA and Mfa1 are inhibited in P. gingivalis, whereas such differences are not found in gingipain expression.	"FimA	46	50	Protein"	"Mfa1	55	59	Protein"	"[{""token"": ""FimA"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""Mfa1"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}]"
In this study, it is demonstrated that FimR is a positive regulator of Mfa1 expression.	"FimR	39	43	Protein"	"Mfa1	71	75	Protein"	"[{""token"": ""FimR"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""Mfa1"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Protein""}]"
1a, expression of the fimA gene was abolished in the fimR - mutant strain FRE.	"fimA	22	26	Protein"	"fimR	53	57	Protein"	"[{""token"": ""fimA"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}]"
This analysis revealed that the expression of the fimA and mfa1 genes was consistent at the mRNA level and protein level ( Fig. 1b).	"fimA	50	54	Protein"	"mfa1	59	63	Protein"	"[{""token"": ""fimA"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}]"
It is likely that mfa1 gene possesses two functional promoters, which are also detected in the fimA gene of P. gingivalis ( Xie & Lamont, 1999; Nishikawa et al., 2004).	"mfa1	18	22	Protein"	"fimA	95	99	Protein"	"[{""token"": ""mfa1"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}]"
Binding of FimR to the promoter region of mfa1	"FimR	11	15	Protein"	"mfa1	42	46	Protein"	"[{""token"": ""FimR"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Protein""}]"
The previous study has shown that the mechanism of FimR activation of the fimA gene involves a regulatory cascade ( Nishikawa et al., 2004).	"FimR	51	55	Protein"	"fimA	74	78	Protein"	"[{""token"": ""FimR"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}]"
The recombinant FimR ( rFimR) was expressed in pET expression system and purified from E. coli.	"FimR	16	20	Protein"	"rFimR	23	28	Protein"	"[{""token"": ""FimR"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""rFimR"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Protein""}]"
The rHGP44 protein, a binding domain of P. gingivalis gingipains ( Xie et al., 2006), expressed in the same system and purified by the same procedures as rFimR was used as a control.	"rHGP44	4	10	Protein"	"rFimR	154	159	Protein"	"[{""token"": ""rHGP44"", ""start_span"": 4, ""end_span"": 10, ""type"": ""Protein""}, {""token"": ""rFimR"", ""start_span"": 154, ""end_span"": 159, ""type"": ""Protein""}]"
3, the DNA fragment of the mfa1 promoter region was shifted in the presence of the rFimR.	"mfa1	27	31	Protein"	"rFimR	83	88	Protein"	"[{""token"": ""mfa1"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""rFimR"", ""start_span"": 83, ""end_span"": 88, ""type"": ""Protein""}]"
As the concentration of rFimR increased, the retarded protein - DNA complex became evident, with complete loss of the mfa1 promoter DNA.	"rFimR	24	29	Protein"	"mfa1	118	122	Protein"	"[{""token"": ""rFimR"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Protein""}]"
No significant difference was detected in the level of DNA binding between the phosphorylated rFimR and unphosphorylated rFimR ( data not shown).	"rFimR	94	99	Protein"	"rFimR	121	126	Protein"	"[{""token"": ""rFimR"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""rFimR"", ""start_span"": 121, ""end_span"": 126, ""type"": ""Protein""}]"
Moreover, incubation of rHGP44 with mfa1 promoter fragment did not retard the DNA movement in polyacrylamide gel.	"rHGP44	24	30	Protein"	"mfa1	36	40	Protein"	"[{""token"": ""rHGP44"", ""start_span"": 24, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}]"
There was also no DNA shift detected when rFimR was incubated with the coding region of mfa1.	"rFimR	42	47	Protein"	"mfa1	88	92	Protein"	"[{""token"": ""rFimR"", ""start_span"": 42, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}]"
It is hypothesized that the FimS / FimR system regulates expression of each fimbrial gene through a unique mechanism.	"FimS	28	32	Protein"	"FimR	35	39	Protein"	"[{""token"": ""FimS"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}]"
This may explain the much tighter control of fimA expression by FimR.	"fimA	45	49	Protein"	"FimR	64	68	Protein"	"[{""token"": ""fimA"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Protein""}]"
In E. coli, two promoters direct transcription of acs encoding, an acetate - scavenging enzyme required for fitness during periods of carbon starvation - the distal acsP1 and the proximal acsP2 ( Beatty et al., 2003).	"acsP1	165	170	Protein"	"acsP2	188	193	Protein"	"[{""token"": ""acsP1"", ""start_span"": 165, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""acsP2"", ""start_span"": 188, ""end_span"": 193, ""type"": ""Protein""}]"
The data presented here provide evidence that these two distinct fimbriae are under the control of a two - component regulatory system: FimS / FimR.	"FimS	136	140	Protein"	"FimR	143	147	Protein"	"[{""token"": ""FimS"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}]"
Control of M. tuberculosis ESAT - 6 Secretion and Specific T Cell Recognition by PhoP	"ESAT - 6	27	35	Protein"	"PhoP	81	85	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 27, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}]"
Whereas the attenuation of BCG is due mainly to loss of the ESAT - 6 secretion system, ESX - 1, the reason why H37Ra is attenuated remained unknown.	"ESAT - 6	60	68	Protein"	"ESX - 1	87	94	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 60, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""ESX - 1"", ""start_span"": 87, ""end_span"": 94, ""type"": ""Protein""}]"
However, here we show that a point mutation ( S219L) in the predicted DNA binding region of the regulator PhoP is involved in the attenuation of H37Ra via a mechanism that impacts on the secretion of the major T cell antigen ESAT - 6.	"PhoP	106	110	Protein"	"ESAT - 6	225	233	Protein"	"[{""token"": ""PhoP"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 225, ""end_span"": 233, ""type"": ""Protein""}]"
"Only H37Ra "" knock - ins "" that carried an integrated cosmid with the wild - type phoP gene from M. tuberculosis H37Rv showed changes in colony morphology, increased virulence, ESAT - 6 secretion, and induction of specific T cell responses, whereas other H37Ra constructs did not."	"phoP	82	86	Protein"	"ESAT - 6	177	185	Protein"	"[{""token"": ""phoP"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 177, ""end_span"": 185, ""type"": ""Protein""}]"
This finding established a link between the PhoP regulator and ESAT - 6 secretion that opens exciting new perspectives for elucidating virulence regulation in M. tuberculosis.	"PhoP	44	48	Protein"	"ESAT - 6	63	71	Protein"	"[{""token"": ""PhoP"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 63, ""end_span"": 71, ""type"": ""Protein""}]"
It is clearly visible that at nucleotide position 656 of phoP two peaks exist, one originating from the SNP present in H37Ra and one from the integrated cosmid I36 carrying the H37Rv wild - type copy of phoP.	"phoP	57	61	Protein"	"phoP	203	207	Protein"	"[{""token"": ""phoP"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 203, ""end_span"": 207, ""type"": ""Protein""}]"
Similar results were also obtained for the SNPs in fadE5 and rpsL using cosmids I230 and I563, respectively ( Figure S1).	"fadE5	51	56	Protein"	"rpsL	61	65	Protein"	"[{""token"": ""fadE5"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""rpsL"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Protein""}]"
Complementation of H37Ra with the PhoP - expressing cosmid increased the virulence of the H37Ra:: phoP recombinant relative to H37Ra, resulting in a 1. 0 log and 0. 5 log increase in CFU number in lungs and spleens, respectively.	"PhoP	34	38	Protein"	"phoP	98	102	Protein"	"[{""token"": ""PhoP"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}]"
In contrast, no effects on the virulence were observed when H37Ra was complemented with fadE5 ( Figure 2) or rpsL ( unpublished data).	"fadE5	88	93	Protein"	"rpsL	109	113	Protein"	"[{""token"": ""fadE5"", ""start_span"": 88, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""rpsL"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Protein""}]"
Link between Mutation in phoP and Secretion of ESAT - 6	"phoP	25	29	Protein"	"ESAT - 6	47	55	Protein"	"[{""token"": ""phoP"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Protein""}]"
As PhoP fulfills important regulatory functions in M. tuberculosis [ 21, 22], it was of primary interest to identify and study potential effector molecules whose involvement in host pathogen interaction were influenced by the point mutation in phoP of H37Ra.	"PhoP	3	7	Protein"	"phoP	244	248	Protein"	"[{""token"": ""PhoP"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Protein""}]"
Since secreted proteins of the ESX - 1 system of M. tuberculosis constitute a major interface between the bacterium and its host [ 23], we analyzed the different strains for their potential to induce T cell responses against ESAT - 6 and its binding partner, the 10 - kD culture filtrate protein CFP - 10.	"ESAT - 6	225	233	Protein"	"CFP - 10	296	304	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 225, ""end_span"": 233, ""type"": ""Protein""}, {""token"": ""CFP - 10"", ""start_span"": 296, ""end_span"": 304, ""type"": ""Protein""}]"
Two weeks after vaccination we assessed the interferon - gamma ( IFN - gamma) production of splenocytes mounted against ESX - 1 antigens or controls.	"interferon - gamma	44	62	Protein"	"IFN - gamma	65	76	Protein"	"[{""token"": ""interferon - gamma"", ""start_span"": 44, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 65, ""end_span"": 76, ""type"": ""Protein""}]"
Most importantly, the various strains differed extensively in their potential to induce antigen specific T cell responses towards ESAT - 6 and CFP - 10.	"ESAT - 6	130	138	Protein"	"CFP - 10	143	151	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 130, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""CFP - 10"", ""start_span"": 143, ""end_span"": 151, ""type"": ""Protein""}]"
Firstly, we constructed a partially diploid H37Ra knock - in strain carrying cosmid RD1 - ppe68 - ko that, in BCG yields the greatest amounts of ESAT - 6 expression and secretion [ 24].	"ppe68	90	95	Protein"	"ESAT - 6	145	153	Protein"	"[{""token"": ""ppe68"", ""start_span"": 90, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 145, ""end_span"": 153, ""type"": ""Protein""}]"
However, in comparison to the corresponding MT103 wild - type strain, the SO2 strain showed a strongly reduced ESAT - 6 and CFP - 10 specific T cell response, corresponding to a similar low level as the H37Ra strain ( Figure 3B).	"ESAT - 6	111	119	Protein"	"CFP - 10	124	132	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 111, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""CFP - 10"", ""start_span"": 124, ""end_span"": 132, ""type"": ""Protein""}]"
We have previously shown that antigen - specific IFN - gamma production of splenocytes is a reliable readout system to evaluate whether or not ESAT - 6 was secreted by recombinant strains [ 23, 24, 26].	"IFN - gamma	49	60	Protein"	"ESAT - 6	143	151	Protein"	"[{""token"": ""IFN - gamma"", ""start_span"": 49, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 143, ""end_span"": 151, ""type"": ""Protein""}]"
Thus, in order to determine the reason for the observed failure of H37Ra to induce ESAT - 6 - specific responses, H37Rv and H37Ra strains were tested for their potential to express and secrete ESAT - 6 in vitro.	"ESAT - 6	83	91	Protein"	"ESAT - 6	193	201	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 83, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 193, ""end_span"": 201, ""type"": ""Protein""}]"
The western blot analysis presented in Figure 5 shows that the cell lysates of H37Ra and H37Ra:: rpsL contain large amounts of ESAT - 6, indicating that the antigen is properly expressed.	"rpsL	97	101	Protein"	"ESAT - 6	127	135	Protein"	"[{""token"": ""rpsL"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 127, ""end_span"": 135, ""type"": ""Protein""}]"
However, hardly any ESAT - 6 was present in the culture filtrates of these cultures, indicating that these strains were unable to secrete ESAT - 6 under the in vitro conditions employed in spite of proper expression.	"ESAT - 6	20	28	Protein"	"ESAT - 6	138	146	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 20, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 138, ""end_span"": 146, ""type"": ""Protein""}]"
In contrast, from examination of the western blots of M. tuberculosis H37Ra:: phoP and H37Rv it is clear that a large portion of their ESAT - 6 protein is secreted into the culture filtrates.	"phoP	78	82	Protein"	"ESAT - 6	135	143	Protein"	"[{""token"": ""phoP"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 135, ""end_span"": 143, ""type"": ""Protein""}]"
Analysis of the M. tuberculosis MT103 phoP ko strain SO2 showed strong expression of ESAT - 6, but only very little secreted ESAT - 6 ( Figure 5).	"ESAT - 6	85	93	Protein"	"ESAT - 6	125	133	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 85, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 125, ""end_span"": 133, ""type"": ""Protein""}]"
These findings are consistent with data from a previous transcriptional study [ 12] and suggest that the proposed ability of PhoP to downregulate its own expression [ 22] is affected by the S219L phoP mutation [ 29].	"PhoP	125	129	Protein"	"phoP	196	200	Protein"	"[{""token"": ""PhoP"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 196, ""end_span"": 200, ""type"": ""Protein""}]"
They also indicate that it is not a lack of phoP expression that is causing the phoP - associated effects in H37Ra.	"phoP	44	48	Protein"	"phoP	80	84	Protein"	"[{""token"": ""phoP"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}]"
In the bacterial world the PhoP / PhoR like two - component systems are widely distributed and fulfill a large variety of functions including sensing phosphate and magnesium [ 32, 33], or regulating virulence genes [ 34].	"PhoP	27	31	Protein"	"PhoR	34	38	Protein"	"[{""token"": ""PhoP"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""PhoR"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}]"
For M. tuberculosis, several studies have described a link between the inactivation of phoP and loss of virulence, suggesting that the phoP gene is required for intracellular growth of M. tuberculosis [ 14, 25].	"phoP	87	91	Protein"	"phoP	135	139	Protein"	"[{""token"": ""phoP"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 135, ""end_span"": 139, ""type"": ""Protein""}]"
It was also found that the PhoP - PhoR system controls the biosynthesis of polyketide - derived lipids [ 35] and determines the amount of triacylated and monoacylated lipoarabinomannans in M. tuberculosis [ 36].	"PhoP	27	31	Protein"	"PhoR	34	38	Protein"	"[{""token"": ""PhoP"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""PhoR"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}]"
Finally, microarray - based trancriptome analysis using the wild - type versus a phoP ko mutant of H37Rv has provided an overview of the transcriptional regulation linked to PhoP [ 21].	"phoP	81	85	Protein"	"PhoP	174	178	Protein"	"[{""token"": ""phoP"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 174, ""end_span"": 178, ""type"": ""Protein""}]"
This finding argues that the PhoP S219L mutation likely has a broad impact on gene regulation in H37Ra with effects similar to those seen for complete inactivation of phoP.	"PhoP	29	33	Protein"	"phoP	167	171	Protein"	"[{""token"": ""PhoP"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 167, ""end_span"": 171, ""type"": ""Protein""}]"
There were also several ppe genes that seem to be regulated by phoP but not ppe68 [ 21].	"phoP	63	67	Protein"	"ppe68	76	81	Protein"	"[{""token"": ""phoP"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""ppe68"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Protein""}]"
