Sentence	entity_1	entity_2	json	split
METHODS Sample collection Microbial plankton samples were collected on the spring 2016 AZMP mission ( HUD2016003 April 925) aboard the CCGS Hudson along three stations from the Halifax Line ( HL, Figure S1) with samples from four depths each: HL2 ( 44. 2664, 63. 3169; 1 m, 20 m, 40 m, 80 m), HL4 ( 43. 4813, 62. 4541; 1 m, 20 m, 40 m, 60 m) and HL6 ( 42. 8321, 61. 7324; 1 m, 20 m, 50 m, 80 m).	spring 2016,75,86,date	April 925,113,122,date	"[{""token"": ""spring 2016"", ""start_span"": 75, ""end_span"": 86, ""type"": ""date""}, {""token"": ""April 925"", ""start_span"": 113, ""end_span"": 122, ""type"": ""date""}]"	train
Materials and Methods Sample collection Two specimens of Mycale ( Aegogropila) magellanica were collected by SCUBA diving between 3 to 10 m depth at Rio Seco, Magellan Strait ( 530338S; 705122W) during the Austral summer 2015.	Austral summer,206,220,date	2015,221,225,date	"[{""token"": ""Austral summer"", ""start_span"": 206, ""end_span"": 220, ""type"": ""date""}, {""token"": ""2015"", ""start_span"": 221, ""end_span"": 225, ""type"": ""date""}]"	train
Materials and methods Site description and sample collection During a field sampling campaign in February 2014 ( dry season), fluid and gas samples were collected from three hyperalkaline springs: Spring 9 and Spring 8, located at the Murcilago river watershed, and Quebrada Danta ( Q. Danta) located in the Potrero Grande watershed ( Figure 1).	February 2014,97,110,date	dry season,113,123,date	"[{""token"": ""February 2014"", ""start_span"": 97, ""end_span"": 110, ""type"": ""date""}, {""token"": ""dry season"", ""start_span"": 113, ""end_span"": 123, ""type"": ""date""}]"	train
ALOHA surface seawater Illumina paired - end reads 13, 294, 194 8, 629, 462 14, 035, 332 Contigs assembled 1, 771, 587 1, 341, 086 444, 296 Weighted - average contig length ( N50a) 315 bp 301 bp 539 bp Contigs annotated to KO 454, 684 290, 117 330, 104 Contigs annotated (%) 25. 7 21. 6 74. 3 Counts mapped to KO 6, 446, 495 3, 743, 920 3, 669, 469 Counts mapped to KO of known functionb 3, 664, 674 2, 116, 212 2, 550, 585 Genomes per million genesb, c 417 ( 478) 423 ( 476) 823 KO of known function (%) 56. 8 ( 57. 9) 56. 5 ( 59. 6) 69. 5 Trichodesmium samples were collected 23 Mar 2014; seawater sample was collected 30 July 2015.	23 Mar 2014,578,589,date	30 July 2015,621,633,date	"[{""token"": ""23 Mar 2014"", ""start_span"": 578, ""end_span"": 589, ""type"": ""date""}, {""token"": ""30 July 2015"", ""start_span"": 621, ""end_span"": 633, ""type"": ""date""}]"	train
Kammerlander et al., 2015) and were sampled four times during the ice - free season in 2012 ( Supplementary Table 1).	ice - free season,66,83,date	2012,87,91,date	"[{""token"": ""ice - free season"", ""start_span"": 66, ""end_span"": 83, ""type"": ""date""}, {""token"": ""2012"", ""start_span"": 87, ""end_span"": 91, ""type"": ""date""}]"	train
An additional seven samples were collected for metagenomics at two times during 2013 and 2014 from borehole 08E140C01.	2013,80,84,date	2014,89,93,date	"[{""token"": ""2013"", ""start_span"": 80, ""end_span"": 84, ""type"": ""date""}, {""token"": ""2014"", ""start_span"": 89, ""end_span"": 93, ""type"": ""date""}]"	train
Materials and Methods Sampling The molecular diversity and seasonality of the planktonic organisms of lakes Fuschlsee, Wallersee, and Augstsee ( all located in Salzkammergut, Austria; for more details see Table 1) was evaluated based on sampling in 2006 and for Lake Fuschlsee additionally in 2007 ( for additional publications on this dataset, see ( Medinger et al., 2010; Nolte et al., 2010;	2006,249,253,date	2007,293,297,date	"[{""token"": ""2006"", ""start_span"": 249, ""end_span"": 253, ""type"": ""date""}, {""token"": ""2007"", ""start_span"": 293, ""end_span"": 297, ""type"": ""date""}]"	train
The inoculum for Alk - Opt consisted of 1. 5 L of alkaline sludge obtained from a second alkaline reactor ( Alk - Sed - 2) which was inoculated with a second batch of fresh sediments obtained from the same soda lakes in 2012 and used within 6 months of the sampling date and had been operating for over 190 days with constant biogas production.	2012,220,224,date	within 6 months of the sampling date,234,270,date	"[{""token"": ""2012"", ""start_span"": 220, ""end_span"": 224, ""type"": ""date""}, {""token"": ""within 6 months of the sampling date"", ""start_span"": 234, ""end_span"": 270, ""type"": ""date""}]"	train
Materials and Methods Field Sampling Sampling was conducted around the hyporheic zone of Spaulding Pond, Taylor Valley in the McMurdo Dry Valleys of Antarctica, during the austral summer of 2015.	austral summer,172,186,date	2015,190,194,date	"[{""token"": ""austral summer"", ""start_span"": 172, ""end_span"": 186, ""type"": ""date""}, {""token"": ""2015"", ""start_span"": 190, ""end_span"": 194, ""type"": ""date""}]"	train
Reactor CD01 characteristics and metagenome and metaproteome features Characteristic or feature Link _ ADIa metagenomea Link _ ADIb metaproteome Sample features Collection yr 2013 2015 Substrate Slaughterhouse and municipal waste Municipal waste Temp ( C) 38 42 pH 7. 8 7. 7 N - NH4 + concn ( g / liter) 4. 6 2. 7 NH3 concn ( g / liter) 0. 36 0. 22 VFA concn ( g / liter) 1. 3 0. 45 HRT ( days) 45 33 OLR ( gVSb / liter / day) 3. 0 4. 2 Data set features and genome binsc Total DNA ( assembled) length ( Mb) Syntrophomonas sp. 1. 11 Tepidanaerobacter sp. 1. 32 Thermacetogenium sp. 0. 07 Methanosarcina sp. 0. 78 Methanoculleus sp. 2. 59 unFirm _ 1 2. 65d Total no. of proteins Syntrophomonas sp. 10 Tepidanaerobacter sp. 16 Thermacetogenium sp. 0 Methanosarcina sp. 8 Methanoculleus sp. 30e unFirm _ 1 176 Link _ ADIa corresponds to the sampling time used for metagenomic characterization of CD01.	2013,175,179,date	2015,180,184,date	"[{""token"": ""2013"", ""start_span"": 175, ""end_span"": 179, ""type"": ""date""}, {""token"": ""2015"", ""start_span"": 180, ""end_span"": 184, ""type"": ""date""}]"	train
Sediments for incubation were sampled in December 2015 and May 2016 with a Haps corer ( Kanneworff and Nicolaisen, 1972), then transferred into a gravity core liner ( diameter 11. 8 cm) on deck, brought back to the laboratory, kept at in situ temperature, and processed within 48 h.	December 2015,41,54,date	May 2016,59,67,date	"[{""token"": ""December 2015"", ""start_span"": 41, ""end_span"": 54, ""type"": ""date""}, {""token"": ""May 2016"", ""start_span"": 59, ""end_span"": 67, ""type"": ""date""}]"	train
Samples for mRNA analysis were collected by pumping water from 31 m on July 12 and from 10 to 25 m on July 13.	July 12,71,78,date	July 13,102,109,date	"[{""token"": ""July 12"", ""start_span"": 71, ""end_span"": 78, ""type"": ""date""}, {""token"": ""July 13"", ""start_span"": 102, ""end_span"": 109, ""type"": ""date""}]"	train
Experimental procedures Substrate and reactors performances Dairy cattle manure was obtained from Research Centre Foulum ( Aarhus University, Denmark) in two periods ( April and June).	April,168,173,date	June,178,182,date	"[{""token"": ""April"", ""start_span"": 168, ""end_span"": 173, ""type"": ""date""}, {""token"": ""June"", ""start_span"": 178, ""end_span"": 182, ""type"": ""date""}]"	train
To summarize, following purging of several well volumes of water, a total of 500 L of groundwater were extracted from well FW301 ( 1 / 16 / 07 and 2 / 5 / 07) at a depth of 21 m by peristaltic pumps and biomass was collected by filtering with 0. 2 m Supor filters ( Pall Corporation, Port Washington, NY, USA).	1 / 16 / 07,131,142,date	2 / 5 / 07,147,157,date	"[{""token"": ""1 / 16 / 07"", ""start_span"": 131, ""end_span"": 142, ""type"": ""date""}, {""token"": ""2 / 5 / 07"", ""start_span"": 147, ""end_span"": 157, ""type"": ""date""}]"	train
The cattle manure sampled in April was used to feed the pilot - scale reactors; the manure sampled in June was used in the two lab - scale reactors.	April,29,34,date	June,102,106,date	"[{""token"": ""April"", ""start_span"": 29, ""end_span"": 34, ""type"": ""date""}, {""token"": ""June"", ""start_span"": 102, ""end_span"": 106, ""type"": ""date""}]"	train
