Similar results were also obtained with respect to 5 - FU.	"5 - FU	51	57	Chemical"	"[{""token"": ""5 - FU"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Chemical""}]"
This has been suggested as one of the mechanisms to explain the mammography paradox for women aged 40 - 49 years.	"women	88	93	Organism"	"[{""token"": ""women"", ""start_span"": 88, ""end_span"": 93, ""type"": ""Organism""}]"
We could imagine that it also plays a role in adjuvant chemotherapy effectiveness since, perhaps not coincidentally, this is most beneficial for premenopausal node - positive patients.	"patients	175	183	Organism"	"[{""token"": ""patients"", ""start_span"": 175, ""end_span"": 183, ""type"": ""Organism""}]"
We also speculate that this synchronizes them into a temporal highly chemosensitive state and is the underlying reason why adjuvant chemotherapy works particularly well for that patient category.	"patient	178	185	Organism"	"[{""token"": ""patient"", ""start_span"": 178, ""end_span"": 185, ""type"": ""Organism""}]"
However, we need to determine whether it happens in breast cancer.	"breast cancer	52	65	Cancer"	"[{""token"": ""breast cancer"", ""start_span"": 52, ""end_span"": 65, ""type"": ""Cancer""}]"
IMPLICATIONS: Short - course cytotoxic chemotherapy after surgery has probably reached its zenith, and other strategies, perhaps antiangiogenic methods, are needed to successfully treat more patients.	"patients	191	199	Organism"	"[{""token"": ""patients"", ""start_span"": 191, ""end_span"": 199, ""type"": ""Organism""}]"
Therefore, the role of VEGF after seizures could be either protective or destructive.	"VEGF	23	27	Gene_or_gene_product"	"[{""token"": ""VEGF"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
Photodynamic therapy ( PDT) is a novel treatment entity that exploits the photophysical properties of various photosensitive chemical entities which, upon light activation, results in targeted photooxidation and subsequent tissue destruction.	"tissue	223	229	Tissue"	"[{""token"": ""tissue"", ""start_span"": 223, ""end_span"": 229, ""type"": ""Tissue""}]"
The safety of verteporfin is directly dependent upon the appropriate integration of dosage, infusion and light activation required for a suitable pharmacotherapeutic outcome.	"verteporfin	14	25	Chemical"	"[{""token"": ""verteporfin"", ""start_span"": 14, ""end_span"": 25, ""type"": ""Chemical""}]"
Presence of subfoveal CNV at 6 and 12 months of follow - up was determined by review of fluorescein angiograms.	"fluorescein	88	99	Chemical"	"[{""token"": ""fluorescein"", ""start_span"": 88, ""end_span"": 99, ""type"": ""Chemical""}]"
Eleven lesions progressed to a subfoveal location by 12 months.	"lesions	7	14	Pathological_formation"	"[{""token"": ""lesions"", ""start_span"": 7, ""end_span"": 14, ""type"": ""Pathological_formation""}]"
CONCLUSIONS: Despite a small sample size and limited length of follow - up, this study shows that visual acuity on average can remain stable for at least 12 months after PDT of juxtafoveal lesions.	"juxtafoveal lesions	177	196	Pathological_formation"	"[{""token"": ""juxtafoveal lesions"", ""start_span"": 177, ""end_span"": 196, ""type"": ""Pathological_formation""}]"
Growth through the foveal center still can occur, however, and this can be associated with substantial visual loss.	"foveal center	19	32	Tissue"	"[{""token"": ""foveal center"", ""start_span"": 19, ""end_span"": 32, ""type"": ""Tissue""}]"
However, no changes were observed in the presence of netrin - 1.	"netrin - 1	53	63	Gene_or_gene_product"	"[{""token"": ""netrin - 1"", ""start_span"": 53, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}]"
The rats were divided into 4 groups.	"rats	4	8	Organism"	"[{""token"": ""rats"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Organism""}]"
RESULTS: There was a statistically significant difference between the control and enoxaparine Na groups regarding adhesions.	"enoxaparine Na	82	96	Chemical"	"[{""token"": ""enoxaparine Na"", ""start_span"": 82, ""end_span"": 96, ""type"": ""Chemical""}]"
Statistically significant differences were observed between groups 1 and 4 and between groups 1 and 3 regarding the hydroxyproline content of the abdominal wounds.	"abdominal wounds	146	162	Pathological_formation"	"[{""token"": ""abdominal wounds"", ""start_span"": 146, ""end_span"": 162, ""type"": ""Pathological_formation""}]"
In the pathologic analysis of the abdominal wounds, there was no statistically significant difference between any of the groups, including the control group, regarding inflammation.	"abdominal wounds	34	50	Pathological_formation"	"[{""token"": ""abdominal wounds"", ""start_span"": 34, ""end_span"": 50, ""type"": ""Pathological_formation""}]"
VEGF - targeted therapy: therapeutic potential and recent advances.	"VEGF	0	4	Gene_or_gene_product"	"[{""token"": ""VEGF"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
After over 30 years of theorizing, the use of angiogenesis inhibitors as anticancer therapy has finally moved from the realm of research to reality.	"anticancer	73	83	Cancer"	"[{""token"": ""anticancer"", ""start_span"": 73, ""end_span"": 83, ""type"": ""Cancer""}]"
Cox proportional hazards multivariate analysis ( MVA) was used to determine the relation of MDM2 to the endpoints.	"MDM2	92	96	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}]"
In the manual count analysis, there was no significant relation between MDM2 overexpression and outcome.	"MDM2	72	76	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}]"
The intensity of MDM2 staining was not significant.	"MDM2	17	21	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
CONCLUSIONS: MDM2 expression quantified by image analysis was weakly associated with DM.	"MDM2	13	17	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
TSP interacts with a number of proteases and receptors and in this way inhibits stimulation of angiogenesis.	"TSP	0	3	Gene_or_gene_product"	"[{""token"": ""TSP"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Simultaneously, MMP - 2 expression increases with malignancy.	"MMP - 2	16	23	Gene_or_gene_product"	"[{""token"": ""MMP - 2"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Recent advances have fostered a more detailed understanding of molecular mechanisms and networks governing EMT in tumor progression.	"tumor	114	119	Cancer"	"[{""token"": ""tumor"", ""start_span"": 114, ""end_span"": 119, ""type"": ""Cancer""}]"
Moreover, the downregulation of c - myc oncogene by an antisense strategy might represent a useful goal for improving the efficacy of this anti - neoplastic drug family.	"c - myc	32	39	Gene_or_gene_product"	"[{""token"": ""c - myc"", ""start_span"": 32, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
At this time, the cells ' growth is arrested at very high density, and no differentiated morphologic characteristics are observed.	"cells	18	23	Cell"	"[{""token"": ""cells"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Cell""}]"
RESULTS: Thirty - two of 35 patients ( median age, 62 years) are evaluable for response.	"patients	28	36	Organism"	"[{""token"": ""patients"", ""start_span"": 28, ""end_span"": 36, ""type"": ""Organism""}]"
"Trough celecoxib levels achieved targeted "" antiangiogenic "" levels."	"celecoxib	7	16	Chemical"	"[{""token"": ""celecoxib"", ""start_span"": 7, ""end_span"": 16, ""type"": ""Chemical""}]"
Patients were followed up at 1 month and 3 months after treatment and thereafter at 3 - month intervals.	"Patients	0	8	Organism"	"[{""token"": ""Patients"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Organism""}]"
CONCLUSION: PDT preserves vision in patients with CNV associated with PM.	"patients	36	44	Organism"	"[{""token"": ""patients"", ""start_span"": 36, ""end_span"": 44, ""type"": ""Organism""}]"
Carcinogenesis and transcriptional regulation through Maf recognition elements.	"Maf	54	57	Gene_or_gene_product"	"[{""token"": ""Maf"", ""start_span"": 54, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Many studies on carcinogenesis carried out early in the last century are united on the consensus that cancer is a genetic disease.	"cancer	102	108	Cancer"	"[{""token"": ""cancer"", ""start_span"": 102, ""end_span"": 108, ""type"": ""Cancer""}]"
Cancer cells typically display gene dysfunction and endogenous or exogenous insults resulting in gene dysfunction are often carcinogenic.	"Cancer cells	0	12	Cell"	"[{""token"": ""Cancer cells"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Cell""}]"
Adaptive landscapes and emergent phenotypes: why do cancers have high glycolysis?	"cancers	52	59	Cancer"	"[{""token"": ""cancers"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Cancer""}]"
Investigating the causes of increased aerobic glycolysis in tumors ( Warburg Effect) has gone in and out of fashion many times since it was first described almost a century ago.	"tumors	60	66	Cancer"	"[{""token"": ""tumors"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Cancer""}]"
There is also an implicit assumption that a mechanistic understanding, although fundamentally reductionist, will nonetheless lead to a more profound teleological understanding of the need for altered metabolism in invasive cancers.	"cancers	223	230	Cancer"	"[{""token"": ""cancers"", ""start_span"": 223, ""end_span"": 230, ""type"": ""Cancer""}]"
In this communication, we describe an alternative approach that begins with teleology; i. e. adaptive landscapes and selection pressures that promote emergence of aerobic glycolysis during the somatic evolution of invasive cancer.	"cancer	223	229	Cancer"	"[{""token"": ""cancer"", ""start_span"": 223, ""end_span"": 229, ""type"": ""Cancer""}]"
PURPOSE: Spironolactone has recently been shown to have suppressive effects on several immunoactive and proinflammatory cytokines.	"Spironolactone	9	23	Chemical"	"[{""token"": ""Spironolactone"", ""start_span"": 9, ""end_span"": 23, ""type"": ""Chemical""}]"
CONCLUSION: We present initial results demonstrating anti - inflammatory effects of spironolactone.	"spironolactone	84	98	Chemical"	"[{""token"": ""spironolactone"", ""start_span"": 84, ""end_span"": 98, ""type"": ""Chemical""}]"
Recent evidence suggests an association of these polymorphisms with an increased risk of cervical cancer, so we explored this relationship.	"cervical cancer	89	104	Cancer"	"[{""token"": ""cervical cancer"", ""start_span"": 89, ""end_span"": 104, ""type"": ""Cancer""}]"
Associations with cancer risk were estimated using two - sided logistic regression.	"cancer	18	24	Cancer"	"[{""token"": ""cancer"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Cancer""}]"
None of the polymorphisms were associated with risk of advanced stage or histologic subtype of cervical cancer.	"cervical cancer	95	110	Cancer"	"[{""token"": ""cervical cancer"", ""start_span"": 95, ""end_span"": 110, ""type"": ""Cancer""}]"
LVI is associated with axillary lymph node metastases ( ALNM) and a long - term prognostic factor.	"axillary lymph node	23	42	Multi"	"[{""token"": ""axillary lymph node"", ""start_span"": 23, ""end_span"": 42, ""type"": ""Multi""}]"
There was a significant correlation between D2 - 40 + LVI and age, t - stage, nodal status, grading and hormonreceptor - status.	"D2 - 40	44	51	Gene_or_gene_product"	"[{""token"": ""D2 - 40"", ""start_span"": 44, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}]"
In a multivariate analysis D2 - 40 + was the strongest predictor for ALNM with an odds ratio of 3. 489 and a P - value of P = 0. 0003, followed only by T - stage and grading with odds ratios of 3. 167 and 1. 953 and P - values P = 0. 0003 and P = 0. 0352.	"D2 - 40	27	34	Gene_or_gene_product"	"[{""token"": ""D2 - 40"", ""start_span"": 27, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
Further prospective studies are needed to prove the clinical impact of D2 - 40.	"D2 - 40	71	78	Gene_or_gene_product"	"[{""token"": ""D2 - 40"", ""start_span"": 71, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}]"
Solid tumors express a range of factors required to sustain their growth and promote their dissemination.	"Solid tumors	0	12	Cancer"	"[{""token"": ""Solid tumors"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Cancer""}]"
METHODS: Standard therapy with primary resection followed by adjuvant chemotherapy and radiation had failed in all patients.	"patients	115	123	Organism"	"[{""token"": ""patients"", ""start_span"": 115, ""end_span"": 123, ""type"": ""Organism""}]"
RESULTS: Of the 13 treated patients, 10 ( 77%) had a radiologically demonstrated partial response and 3 ( 23%) had stable disease.	"patients	27	35	Organism"	"[{""token"": ""patients"", ""start_span"": 27, ""end_span"": 35, ""type"": ""Organism""}]"
Six patients ( 46%) had a clinical response.	"patients	4	12	Organism"	"[{""token"": ""patients"", ""start_span"": 4, ""end_span"": 12, ""type"": ""Organism""}]"
The disease progressed in 8 patients, despite an initial response.	"patients	28	36	Organism"	"[{""token"": ""patients"", ""start_span"": 28, ""end_span"": 36, ""type"": ""Organism""}]"
Five patients are still responding to therapy.	"patients	5	13	Organism"	"[{""token"": ""patients"", ""start_span"": 5, ""end_span"": 13, ""type"": ""Organism""}]"
Six of the 8 patients whose disease progressed have died.	"patients	13	21	Organism"	"[{""token"": ""patients"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Organism""}]"
Tumor growth was determined and survival was recorded.	"Tumor	0	5	Cancer"	"[{""token"": ""Tumor"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cancer""}]"
TUNEL assay and microvessel density was assessed to evaluate apoptosis and angiogenesis.	"microvessel	16	27	Tissue"	"[{""token"": ""microvessel"", ""start_span"": 16, ""end_span"": 27, ""type"": ""Tissue""}]"
These results show that STX243 is a potent in vivo drug and could be clinically effective at treating a number of oncological conditions.	"STX243	24	30	Chemical"	"[{""token"": ""STX243"", ""start_span"": 24, ""end_span"": 30, ""type"": ""Chemical""}]"
Blockade of angiogenesis is an important approach for cancer treatment and prevention.	"cancer	54	60	Cancer"	"[{""token"": ""cancer"", ""start_span"": 54, ""end_span"": 60, ""type"": ""Cancer""}]"
However, most current anti - VEGF agents often cause some side effects when given chronically.	"VEGF	29	33	Gene_or_gene_product"	"[{""token"": ""VEGF"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
Identification of naturally occurring VEGF inhibitors derived from diet would be one alternative approach with an advantage of known safety.	"VEGF	38	42	Gene_or_gene_product"	"[{""token"": ""VEGF"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"
A similar trend was noted in the SCCVII tumor model.	"SCCVII tumor	33	45	Cancer"	"[{""token"": ""SCCVII tumor"", ""start_span"": 33, ""end_span"": 45, ""type"": ""Cancer""}]"
In the present study, we found significant binding of nicked beta2GPI to AS4. 5 ( K ( D) = 3. 27 x 10 ( 6) M ( - 1)).	"nicked beta2GPI	54	69	Gene_or_gene_product"	"[{""token"": ""nicked beta2GPI"", ""start_span"": 54, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
In contrast, intact beta2GPI does not bind to AS4. 5 or inhibit its antiangiogenic activity.	"beta2GPI	20	28	Gene_or_gene_product"	"[{""token"": ""beta2GPI"", ""start_span"": 20, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
METHODS: Thirty - six New Zealand white rabbits were evaluated in this study.	"New Zealand white rabbits	22	47	Organism"	"[{""token"": ""New Zealand white rabbits"", ""start_span"": 22, ""end_span"": 47, ""type"": ""Organism""}]"
In control group, there was no vascular bundle implantation.	"vascular bundle	31	46	Multi"	"[{""token"": ""vascular bundle"", ""start_span"": 31, ""end_span"": 46, ""type"": ""Multi""}]"
RESULTS: The bone grafts were found revascularization in 3 days after surgery in the test group, whereas at 2 weeks in the control group.	"bone grafts	13	24	Multi"	"[{""token"": ""bone grafts"", ""start_span"": 13, ""end_span"": 24, ""type"": ""Multi""}]"
Myeloma cells counteracted the metabolic stress by activating autophagy.	"Myeloma cells	0	13	Cell"	"[{""token"": ""Myeloma cells"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Cell""}]"
Co - treatment with inhibitors of autophagy results in marked enhancement of cell death.	"cell	77	81	Cell"	"[{""token"": ""cell"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Cell""}]"
This study establishes the potential of metabolic targeting as a broader means to kill and sensitize myeloma and identifies a compound that can achieve this goal.	"myeloma	101	108	Cancer"	"[{""token"": ""myeloma"", ""start_span"": 101, ""end_span"": 108, ""type"": ""Cancer""}]"
METHODS: Thirty - two male wistar rats randomly divided into four groups.	"wistar rats	27	38	Organism"	"[{""token"": ""wistar rats"", ""start_span"": 27, ""end_span"": 38, ""type"": ""Organism""}]"
Targeted antibody - based therapy has been used successfully to treat cancers.	"cancers	70	77	Cancer"	"[{""token"": ""cancers"", ""start_span"": 70, ""end_span"": 77, ""type"": ""Cancer""}]"
Angiogenesis has become an attractive target for drug therapy because of its key role in tumor growth.	"tumor	89	94	Cancer"	"[{""token"": ""tumor"", ""start_span"": 89, ""end_span"": 94, ""type"": ""Cancer""}]"
The following review describes key molecular mechanisms and novel therapies that are on the horizon for antiangiogenic tumor therapy.	"tumor	119	124	Cancer"	"[{""token"": ""tumor"", ""start_span"": 119, ""end_span"": 124, ""type"": ""Cancer""}]"
These results strongly suggested that the BI - 1 gene might play a crucial role in neoplastic genesis and development.	"BI - 1	42	48	Gene_or_gene_product"	"[{""token"": ""BI - 1"", ""start_span"": 42, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}]"
The long latency of prostate cancer development provides an opportunity to intervene with agents of known mechanisms at various stages of disease progression.	"prostate cancer	20	35	Cancer"	"[{""token"": ""prostate cancer"", ""start_span"": 20, ""end_span"": 35, ""type"": ""Cancer""}]"
Crosstalk between these two pathways is also thought to contribute to progression and hormone - refractory prostate disease.	"prostate disease	107	123	Cancer"	"[{""token"": ""prostate disease"", ""start_span"": 107, ""end_span"": 123, ""type"": ""Cancer""}]"
Inhibitors of Hedgehog signaling have been the subject of intense research.	"Hedgehog	14	22	Gene_or_gene_product"	"[{""token"": ""Hedgehog"", ""start_span"": 14, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}]"
Analysis of promoter hypermethylation of the APC gene was also carried out using methylation - specific PCR ( MS - PCR).	"APC	45	48	Gene_or_gene_product"	"[{""token"": ""APC"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}]"
Promoter hypermethylation of APC was observed in 54. 65 per cent ( 47 of 86) of cases.	"APC	29	32	Gene_or_gene_product"	"[{""token"": ""APC"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
It has been reported that rhizocalin and its derivates have a chemopreventive and chemotherapeutic effect.	"rhizocalin	26	36	Chemical"	"[{""token"": ""rhizocalin"", ""start_span"": 26, ""end_span"": 36, ""type"": ""Chemical""}]"
Molecular modeling studies suggested that mutation N172D, located within the substrate binding region, is mainly responsible for impaired mutCK1delta activity.	"mutCK1delta	138	149	Gene_or_gene_product"	"[{""token"": ""mutCK1delta"", ""start_span"": 138, ""end_span"": 149, ""type"": ""Gene_or_gene_product""}]"
Two of them were selected for high or low osteonectin expression and tested in vivo in spontaneous and artificial metastasis assays.	"osteonectin	42	53	Gene_or_gene_product"	"[{""token"": ""osteonectin"", ""start_span"": 42, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"
Pathologic conditions included dystrophia, moderate dysplasia, severe dysplasia, and intraepithelial carcinoma.	"intraepithelial carcinoma	85	110	Cancer"	"[{""token"": ""intraepithelial carcinoma"", ""start_span"": 85, ""end_span"": 110, ""type"": ""Cancer""}]"
Glycolysis and glutaminolysis in perifused Ehrlich ascites tumour cells.	"Ehrlich ascites tumour cells	43	71	Cell"	"[{""token"": ""Ehrlich ascites tumour cells"", ""start_span"": 43, ""end_span"": 71, ""type"": ""Cell""}]"
These activities provide an explanation for the angiogenic properties of EGF in vivo.	"EGF	73	76	Gene_or_gene_product"	"[{""token"": ""EGF"", ""start_span"": 73, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}]"
While the study of angiogenesis as a phenomenon is still in an early phase, it has become possible, by using a combination of in vitro and in vivo techniques, to more thoroughly understand the initiation and control of capillary growth.	"capillary	219	228	Tissue"	"[{""token"": ""capillary"", ""start_span"": 219, ""end_span"": 228, ""type"": ""Tissue""}]"
At intervals of four to 14 days, the animals were challenged by intrastromal inoculation with 10, 000 plaque - forming units of viable HSV.	"HSV	135	138	Organism"	"[{""token"": ""HSV"", ""start_span"": 135, ""end_span"": 138, ""type"": ""Organism""}]"
The absence of iritis, neovascularization, and necrotizing keratitis in the corneas of the immunized animals was particularly striking.	"corneas	76	83	Multi"	"[{""token"": ""corneas"", ""start_span"": 76, ""end_span"": 83, ""type"": ""Multi""}]"
Under specific conditions, casein could be used as an exogenous substrate as well.	"casein	27	33	Gene_or_gene_product"	"[{""token"": ""casein"", ""start_span"": 27, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
Although contaminating kinases were detectable in the immune complexes, at least the p53 molecules were phosphorylated in vitro in a more specific way.	"p53	85	88	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 85, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}]"
It was shown that large T - antigen showed associated kinase activity, although none of our results could unambiguously demonstrate an intrinsic kinase activity of this protein.	"large T - antigen	18	35	Gene_or_gene_product"	"[{""token"": ""large T - antigen"", ""start_span"": 18, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
Thus, it is highly unlikely that the p53 molecule per se carries intrinsic or even associated kinase activities.	"p53	37	40	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
Molecular mediators of interactions with extracellular matrix components in metastasis and angiogenesis.	"extracellular matrix components	41	72	Cellular_component"	"[{""token"": ""extracellular matrix components"", ""start_span"": 41, ""end_span"": 72, ""type"": ""Cellular_component""}]"
Metastasis and tumor angiogenesis are invasive phenomena and share many common properties at the physiological level and some similarities at the molecular level.	"tumor	15	20	Cancer"	"[{""token"": ""tumor"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Cancer""}]"
Some potentially promising prognostic, diagnostic, and therapeutic modalities for tumor angiogenesis and metastatic disease are also discussed.	"tumor	82	87	Cancer"	"[{""token"": ""tumor"", ""start_span"": 82, ""end_span"": 87, ""type"": ""Cancer""}]"
These transcripts were localized in stromal fibroblasts adjacent to the neoplastic foci.	"stromal fibroblasts	36	55	Cell"	"[{""token"": ""stromal fibroblasts"", ""start_span"": 36, ""end_span"": 55, ""type"": ""Cell""}]"
This protein is produced in large amounts by fibroblasts cultivated in vitro.	"fibroblasts	45	56	Cell"	"[{""token"": ""fibroblasts"", ""start_span"": 45, ""end_span"": 56, ""type"": ""Cell""}]"
Since all these cells lack any mRNA for collagen, XII, it seems likely that the synthesis is blocked at the transcriptional level.	"cells	16	21	Cell"	"[{""token"": ""cells"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Cell""}]"
Experiments with a temperature - sensitive mutant of Rous sarcoma virus demonstrated that a single oncogene product is sufficient to inhibit the synthesis.	"Rous sarcoma virus	53	71	Organism"	"[{""token"": ""Rous sarcoma virus"", ""start_span"": 53, ""end_span"": 71, ""type"": ""Organism""}]"
[ 13C] Lactate production from [ 13C] glucose, with no detectable uptake of [ 13C] alanine, indicated that energy production in H5 spheroids was primarily via glycolysis.	"H5 spheroids	128	140	Cell"	"[{""token"": ""H5 spheroids"", ""start_span"": 128, ""end_span"": 140, ""type"": ""Cell""}]"
These proteins are mainly produced by specific integral parts of the viral genome, the oncogenes.	"viral	69	74	Organism"	"[{""token"": ""viral"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Organism""}]"
They are important components of the growth regulatory pathways in normal cells.	"cells	74	79	Cell"	"[{""token"": ""cells"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Cell""}]"
The induction of elevated p53 levels was dependent upon the presence of active virus and was prevented by neutralizing antibody.	"p53	26	29	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 26, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
This observed genomic instability will be of value in predicting the potential metastatic behavior of these aggressive pituitary tumors.	"pituitary tumors	119	135	Cancer"	"[{""token"": ""pituitary tumors"", ""start_span"": 119, ""end_span"": 135, ""type"": ""Cancer""}]"
Its suppression has also been shown to be associated with malignant transformation of epithelial cells.	"epithelial cells	86	102	Cell"	"[{""token"": ""epithelial cells"", ""start_span"": 86, ""end_span"": 102, ""type"": ""Cell""}]"
[ Effects of carcinostatic agents in the hematogenous metastasis of cancer].	"cancer	68	74	Cancer"	"[{""token"": ""cancer"", ""start_span"": 68, ""end_span"": 74, ""type"": ""Cancer""}]"
Potential roles for focal adhesion kinase in development.	"focal adhesion kinase	20	41	Gene_or_gene_product"	"[{""token"": ""focal adhesion kinase"", ""start_span"": 20, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}]"
In this review, this evidence is surveyed together with evidence from analogous situations, such as tumour cell migration and invasiveness.	"tumour cell	100	111	Cell"	"[{""token"": ""tumour cell"", ""start_span"": 100, ""end_span"": 111, ""type"": ""Cell""}]"
