The relationship of glycosylation and isoelectric point with tumor accumulation of avidin.	"avidin	83	89	Protein"	"[{""token"": ""avidin"", ""start_span"": 83, ""end_span"": 89, ""type"": ""Protein""}]"
These changes along with the increase in collagen III content seem to be responsible for the observed alteration in the architecture of collagen fibrils in sclerotic skin.	"collagen III	41	53	Protein"	"[{""token"": ""collagen III"", ""start_span"": 41, ""end_span"": 53, ""type"": ""Protein""}]"
Using the well - characterized in vitro approach to study the properties of Golgi membranes, we determined whether the Golgi enzyme NAGT I is transported to ER / Golgi intermediates.	"NAGT I	132	138	Protein"	"[{""token"": ""NAGT I"", ""start_span"": 132, ""end_span"": 138, ""type"": ""Protein""}]"
Immunofluorescent studies of human chromosomes with antibodies against phosphorylated H1 histone.	"H1 histone	86	96	Protein"	"[{""token"": ""H1 histone"", ""start_span"": 86, ""end_span"": 96, ""type"": ""Protein""}]"
In this work we have used indirect immunofluorescence on human cells with antibodies that are specific for phosphorylated histone H1 to examine the cellular distribution and chromosome association patterns of this protein.	"histone H1	122	132	Protein"	"[{""token"": ""histone H1"", ""start_span"": 122, ""end_span"": 132, ""type"": ""Protein""}]"
It was also shown that the ability to label chromosomes could vary drastically with different fixation procedures, adding further complications to interpretation of the potentially complex role of phosphorylated histone H1 in chromatin condensation or decondensation.	"histone H1	212	222	Protein"	"[{""token"": ""histone H1"", ""start_span"": 212, ""end_span"": 222, ""type"": ""Protein""}]"
The isoelectric focusing pattern of serum transferrin in CDG - Ia and CDG - Ic is indistinguishable.	"transferrin	42	53	Protein"	"[{""token"": ""transferrin"", ""start_span"": 42, ""end_span"": 53, ""type"": ""Protein""}]"
Interestingly, beta - trace protein in cerebrospinal fluid derived from immunoblot analysis of the brain showed a less pronounced hypoglycosylation pattern in CDG - Ic patients than in CDG - Ia patients.	"beta - trace protein	15	35	Protein"	"[{""token"": ""beta - trace protein"", ""start_span"": 15, ""end_span"": 35, ""type"": ""Protein""}]"
Phosphorylation of RTP, an ER stress - responsive cytoplasmic protein.	"RTP	19	22	Protein"	"[{""token"": ""RTP"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Protein""}]"
We raised an antiserum against a recombinant human RTP.	"RTP	51	54	Protein"	"[{""token"": ""RTP"", ""start_span"": 51, ""end_span"": 54, ""type"": ""Protein""}]"
Western blot analysis showed that RTP expression was induced in human umbilical vein endothelial cells under conditions causing endoplasmic reticulum stress.	"RTP	34	37	Protein"	"[{""token"": ""RTP"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Protein""}]"
RTP was partially phosphorylated at seven or more sites.	"RTP	0	3	Protein"	"[{""token"": ""RTP"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}]"
Protein kinase A directly phosphorylated recombinant RTP in vitro.	"RTP	53	56	Protein"	"[{""token"": ""RTP"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Protein""}]"
These data demonstrated that RTP is a phosphorylated stress - responsive protein, and its phosphorylation may be related to cell growth.	"RTP	29	32	Protein"	"[{""token"": ""RTP"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Protein""}]"
The general amino acid permease ( Gap1p) of Saccharomyces cerevisiae is an integral membrane protein that contains 12 hydrophobic regions predicted to be membrane - spanning segments.	"Gap1p	34	39	Protein"	"[{""token"": ""Gap1p"", ""start_span"": 34, ""end_span"": 39, ""type"": ""Protein""}]"
The resulting 13 gene sandwich fusion proteins were expressed in a gap1Delta null mutant strain; 9 of these retain amino acid transport activity and are folded and correctly targeted to the plasma membrane.	"gap1Delta	67	76	Protein"	"[{""token"": ""gap1Delta"", ""start_span"": 67, ""end_span"": 76, ""type"": ""Protein""}]"
The glycosylation state of each of the fusion proteins was monitored; the results indicate that all 12 hydrophobic segments of Gap1p span the membrane, and the NH ( 2) and COOH termini are cytoplasmically oriented.	"Gap1p	127	132	Protein"	"[{""token"": ""Gap1p"", ""start_span"": 127, ""end_span"": 132, ""type"": ""Protein""}]"
These results were independently tested by isolating sealed right - side - out microsomes from sec12 - 1 strains expressing six different Gap1p constructs containing functional factor Xa protease cleavage sites.	"Gap1p	138	143	Protein"	"[{""token"": ""Gap1p"", ""start_span"": 138, ""end_span"": 143, ""type"": ""Protein""}]"
N - and O - glycan mixtures from organs of mice deficient in ST6Gal - I ( CMP - Sia: Galbeta1 - 4GlcNAc alpha2 - 6 sialyltransferase) were studied by the nano - NMR spectroscopy approach, showing no detectable alpha2 - 6 - linked sialic acids.	"ST6Gal - I	61	71	Protein"	"[{""token"": ""ST6Gal - I"", ""start_span"": 61, ""end_span"": 71, ""type"": ""Protein""}]"
Thus, ST6Gal - I is likely responsible for generating most or all of these residues in normal mice.	"ST6Gal - I	6	16	Protein"	"[{""token"": ""ST6Gal - I"", ""start_span"": 6, ""end_span"": 16, ""type"": ""Protein""}]"
In mice deficient in GalNAcT - 8 ( UDP - GalNAc: polypeptide O - Ser / Thr GalNAc transferase 8), HPLC profiling indicates that O - glycans persist in the thymus in large amounts, without a major change in overall profile, suggesting that other enzymes can synthesize the GalNAc - O - Ser / Thr linkage in this tissue.	"GalNAcT - 8	21	32	Protein"	"[{""token"": ""GalNAcT - 8"", ""start_span"": 21, ""end_span"": 32, ""type"": ""Protein""}]"
The protein - arginine methyltransferase activities in the three fractions were analyzed using recombinant fibrillarin ( a nucleolar RGG protein) as the methyl - accepting substrate.	"fibrillarin	107	118	Protein"	"[{""token"": ""fibrillarin"", ""start_span"": 107, ""end_span"": 118, ""type"": ""Protein""}]"
Fibrillarin methylation was strongest in the presence of the cytosolic fraction, followed by the ribosomal and then the nucleus fractions.	"Fibrillarin	0	11	Protein"	"[{""token"": ""Fibrillarin"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Protein""}]"
Competition experiments with various M31 mutants allowed mapping of the nuclear envelope - binding site within an N - terminal region that includes the chromodomain.	"M31	37	40	Protein"	"[{""token"": ""M31"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Protein""}]"
A His ( 6) - tagged peptide representing this region inhibited recruitment of LAP2beta and B - type lamins around the surfaces of condensed chromosomes, suggesting involvement of HP1 proteins in nuclear envelope reassembly.	"LAP2beta	78	86	Protein"	"[{""token"": ""LAP2beta"", ""start_span"": 78, ""end_span"": 86, ""type"": ""Protein""}]"
High frequency of promoter hypermethylation of RASSF1A in nasopharyngeal carcinoma.	"RASSF1A	47	54	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 47, ""end_span"": 54, ""type"": ""Protein""}]"
We have investigated the genetic and epigenetic changes of a newly isolated tumor suppressor gene on 3p21. 3, RASSF1A, in nasopharyngeal carcinoma ( NPC).	"RASSF1A	110	117	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 110, ""end_span"": 117, ""type"": ""Protein""}]"
Promoter hypermethylation of the 5 ' CpG island of RASSF1A was detected in 4 of 4 ( 100%) xenografts, in 3 of 4 ( 75%) cell lines, and in 14 of 21 ( 66. 7%) primary tumors but not in the normal nasopharyngeal epithelia.	"RASSF1A	51	58	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 51, ""end_span"": 58, ""type"": ""Protein""}]"
In the cell lines and xenografts with extensive methylation, no RASSF1A gene expression was found.	"RASSF1A	64	71	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Protein""}]"
After treatment with 5 ' - aza - 2 ' deoxycytidine, reexpression and demethylation of the RASSF1A gene were detected in a NPC cell line.	"RASSF1A	90	97	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 90, ""end_span"": 97, ""type"": ""Protein""}]"
These findings suggest that promoter hypermethylation may participate in the transcriptional inactivation of the RASSF1A gene in NPC.	"RASSF1A	113	120	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 113, ""end_span"": 120, ""type"": ""Protein""}]"
The high incidence of RASSF1A alterations suggest that it is the critical target gene on chromosome 3p21. 3 involved in the development of NPC.	"RASSF1A	22	29	Protein"	"[{""token"": ""RASSF1A"", ""start_span"": 22, ""end_span"": 29, ""type"": ""Protein""}]"
However, at present, it is not known whether methylation represses GSTP1 gene expression in human prostate cancer.	"GSTP1	67	72	Protein"	"[{""token"": ""GSTP1"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Protein""}]"
We found the GSTP1 gene promoter to be completely methylated in the LNCaP prostate cancer cell line, where this gene is transcriptionally inactive.	"GSTP1	13	18	Protein"	"[{""token"": ""GSTP1"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Protein""}]"
Treatment of LNCaP cells with a DNA methyltransferase inhibitor, 5 - Aza - 2 ' - deoxycytidine, resulted in demethylation and activation of the GSTP1 gene.	"GSTP1	144	149	Protein"	"[{""token"": ""GSTP1"", ""start_span"": 144, ""end_span"": 149, ""type"": ""Protein""}]"
In contrast, TSA treatment failed to demethylate or activate the GSTP1 gene.	"GSTP1	65	70	Protein"	"[{""token"": ""GSTP1"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Protein""}]"
These data demonstrate that cytosine methylation can repress GSTP1 gene expression in LNCaP prostate cancer cells and that this effect is possibly mediated by a methyl cytosine - binding protein complex 1 - like complex.	"GSTP1	61	66	Protein"	"[{""token"": ""GSTP1"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Protein""}]"
Furthermore, these data also support the notion of the dominance of methylation over TSA - sensitive histone deacetylation in silencing genes with a high CpG density in the promoter region.	"histone	101	108	Protein"	"[{""token"": ""histone"", ""start_span"": 101, ""end_span"": 108, ""type"": ""Protein""}]"
Furthermore, the induction of cell dissociation by 5 - Aza - CdR and 5 - methyl - dCTP was postponed by 2 - 3 h by co - injection of Bcl - 2 mRNA and the normal metabolite ( CdR and dCTP, respectively).	"Bcl - 2	133	140	Protein"	"[{""token"": ""Bcl - 2"", ""start_span"": 133, ""end_span"": 140, ""type"": ""Protein""}]"
We determined erythrocyte filterability through 5 - microm pores, in 51 patients with non - insulin - dependent diabetes mellitus, 18 healthy controls, 15 patients with homozygous beta - thalassemia and 15 with beta - thalassemia traits.	"insulin	92	99	Protein"	"[{""token"": ""insulin"", ""start_span"": 92, ""end_span"": 99, ""type"": ""Protein""}]"
Characterization of the secretable ectodomain of thyrotropin receptor produced by the recombinant baculovirus system.	"thyrotropin receptor	49	69	Protein"	"[{""token"": ""thyrotropin receptor"", ""start_span"": 49, ""end_span"": 69, ""type"": ""Protein""}]"
Various attempts have been made to obtain a large amount of soluble ectodomain of TSHR in insect or mammalian cells, but most of them failed to secrete the overexpressed ectodomain.	"TSHR	82	86	Protein"	"[{""token"": ""TSHR"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Protein""}]"
Moreover, the secreted form of sTSHR - gp exhibited high - affinity ligand binding, whereas the non - secreted form did not show any significant ligand binding.	"sTSHR	31	36	Protein"	"[{""token"": ""sTSHR"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Protein""}]"
C. elegans EGL - 9 and mammalian homologs define a family of dioxygenases that regulate HIF by prolyl hydroxylation.	"EGL - 9	11	18	Protein"	"[{""token"": ""EGL - 9"", ""start_span"": 11, ""end_span"": 18, ""type"": ""Protein""}]"
Recent studies have defined posttranslational modification by prolyl hydroxylation as a key regulatory event that targets HIF - alpha subunits for proteasomal destruction via the von Hippel - Lindau ubiquitylation complex.	"von Hippel - Lindau	179	198	Protein"	"[{""token"": ""von Hippel - Lindau"", ""start_span"": 179, ""end_span"": 198, ""type"": ""Protein""}]"
Biochemical characterization of the vanilloid receptor 1 expressed in a dorsal root ganglia derived cell line.	"vanilloid receptor 1	36	56	Protein"	"[{""token"": ""vanilloid receptor 1"", ""start_span"": 36, ""end_span"": 56, ""type"": ""Protein""}]"
The vanilloid receptor VR1 is an ion channel predominantly expressed by primary sensory neurons involved in nociception.	"VR1	23	26	Protein"	"[{""token"": ""VR1"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Protein""}]"
Here we describe its biochemical properties and assess the subcellular localization, the glycosylation state and the quaternary structure of VR1 expressed in HEK293 cells and in the DRG - derived cell line F - 11 ( N18TG2 mouse neuroblastoma x rat dorsal root ganglia, hybridoma).	"VR1	141	144	Protein"	"[{""token"": ""VR1"", ""start_span"": 141, ""end_span"": 144, ""type"": ""Protein""}]"
VR1 was found to be glycosylated in both cell types.	"VR1	0	3	Protein"	"[{""token"": ""VR1"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}]"
VR1 occured in high molecular mass complexes as assessed by blue native PAGE.	"VR1	0	3	Protein"	"[{""token"": ""VR1"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}]"
In the presence of limited amounts of SDS dimers, trimers and tetramers of VR1 were observed, consistent with the predicted tetrameric quaternary structure of the receptor.	"VR1	75	78	Protein"	"[{""token"": ""VR1"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Protein""}]"
Whereas VR1 localized both to the plasma membrane and to intracellular membranes in HEK293 cells, it localized predominantly to the plasma membrane in F - 11 cells.	"VR1	8	11	Protein"	"[{""token"": ""VR1"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Protein""}]"
Using confocal laserscanning microscopy, we observed an enrichment of anti - VR1 immunoreactivity in neurite - like structures of F - 11 cells.	"VR1	77	80	Protein"	"[{""token"": ""VR1"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Protein""}]"
JBP1 produces sDMAs in the RG domain - containing Sm proteins.	"JBP1	0	4	Protein"	"[{""token"": ""JBP1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
SmD3 from the methylosome, but not that from the 6S complex, can be transferred to the SMN complex in vitro.	"SmD3	0	4	Protein"	"[{""token"": ""SmD3"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
A subset has been biochemically linked to histone deacetylases, suggesting a molecular mechanism for the functional properties of methylated DNA.	"histone	42	49	Protein"	"[{""token"": ""histone"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Protein""}]"
Despite several obvious attractions, the connection between MBD proteins and histone deacetylases fails to explain all the existing data.	"histone	77	84	Protein"	"[{""token"": ""histone"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Protein""}]"
Molecular and immunohistochemical study of the inactivation of the p16 gene in primary hepatocellular carcinoma.	"p16	67	70	Protein"	"[{""token"": ""p16"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Protein""}]"
OBJECTIVE: To determine whether p16 gene is involved in the genesis of primary hepatocellular carcinoma ( HCC).	"p16	32	35	Protein"	"[{""token"": ""p16"", ""start_span"": 32, ""end_span"": 35, ""type"": ""Protein""}]"
METHODS: Twenty - five HCC tumor samples with corresponding non - tumor liver tissue specimens were examined for p16 gene alterations.	"p16	113	116	Protein"	"[{""token"": ""p16"", ""start_span"": 113, ""end_span"": 116, ""type"": ""Protein""}]"
The identification of deletion of exon 1 and exon 2 in p16 gene was performed using comparative multiplex polymerase chain reaction ( PCR) analysis.	"p16	55	58	Protein"	"[{""token"": ""p16"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Protein""}]"
No point mutation was identified in the remaining 22 tumor samples without p16 gene deletions.	"p16	75	78	Protein"	"[{""token"": ""p16"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Protein""}]"
However, the corresponding non - tumor liver tissue specimens were always unmethylated at the p16 locus.	"p16	94	97	Protein"	"[{""token"": ""p16"", ""start_span"": 94, ""end_span"": 97, ""type"": ""Protein""}]"
CONCLUSION: Inactivation of the p16 gene may play an important role in the genesis of primary hepatocellular carcinoma.	"p16	32	35	Protein"	"[{""token"": ""p16"", ""start_span"": 32, ""end_span"": 35, ""type"": ""Protein""}]"
The hypoxia - inducible factors ( HIFs) 1alpha and 2alpha are key mammalian transcription factors that exhibit dramatic increases in both protein stability and intrinsic transcriptional potency during low - oxygen stress.	"2alpha	51	57	Protein"	"[{""token"": ""2alpha"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Protein""}]"
Inhibitors of Fe ( II) - and 2 - oxoglutarate - dependent dioxygenases prevented hydroxylation of the Asn, thus allowing the CAD to interact with the p300 transcription coactivator.	"p300	150	154	Protein"	"[{""token"": ""p300"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Protein""}]"
Replacement of the conserved Asn by Ala resulted in constitutive p300 interaction and strong transcriptional activity.	"p300	65	69	Protein"	"[{""token"": ""p300"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}]"
Polymorphism of the N - acetyltransferase 2 gene as a susceptibility risk factor for antituberculosis drug - induced hepatitis.	"N - acetyltransferase 2	20	43	Protein"	"[{""token"": ""N - acetyltransferase 2"", ""start_span"": 20, ""end_span"": 43, ""type"": ""Protein""}]"
To determine whether acetylator status is a risk factor for antituberculosis drug - induced hepatitis, we genotyped NAT2 in 224 incident tuberculosis patients who received antituberculosis treatment.	"NAT2	116	120	Protein"	"[{""token"": ""NAT2"", ""start_span"": 116, ""end_span"": 120, ""type"": ""Protein""}]"
Acetylator status was determined by genotyping NAT2 in patients using a polymerase chain reaction with restriction fragment length polymorphism.	"NAT2	47	51	Protein"	"[{""token"": ""NAT2"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}]"
In conclusion, slow - acetylator status of NAT2 is a significant susceptibility risk factor for antituberculosis drug - induced hepatitis.	"NAT2	43	47	Protein"	"[{""token"": ""NAT2"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}]"
Reversal of tolerance induced by transplantation of skin expressing the immunodominant T cell epitope of rat type II collagen entitles development of collagen - induced arthritis but not graft rejection.	"type II collagen	109	125	Protein"	"[{""token"": ""type II collagen"", ""start_span"": 109, ""end_span"": 125, ""type"": ""Protein""}]"
We have previously shown that TSC transgenic mice, which express the heterologous epitope in type I collagen ( CI), e. g. in skin, are tolerized against rat CII and resistant to CIA.	"CII	157	160	Protein"	"[{""token"": ""CII"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Protein""}]"
Interestingly, TSC grafts were accepted and not even immunization of recipient mice with CII in adjuvant induced graft rejection.	"CII	89	92	Protein"	"[{""token"": ""CII"", ""start_span"": 89, ""end_span"": 92, ""type"": ""Protein""}]"
Instead, TSC skin recipients displayed a reduced T and B cell response to CII and were also protected from arthritis.	"CII	74	77	Protein"	"[{""token"": ""CII"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Protein""}]"
The von Hippel - Lindau tumor suppressor protein: new insights into oxygen sensing and cancer.	"von Hippel - Lindau tumor suppressor	4	40	Protein"	"[{""token"": ""von Hippel - Lindau tumor suppressor"", ""start_span"": 4, ""end_span"": 40, ""type"": ""Protein""}]"
Recognition of HIF by pVHL is linked to enzymatic hydroxylation of conserved prolyl residues in the HIF alpha subunits by members of the EGLN family.	"pVHL	22	26	Protein"	"[{""token"": ""pVHL"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}]"
The roles of supernumerical X chromosomes and XIST expression in testicular germ cell tumors.	"XIST	46	50	Protein"	"[{""token"": ""XIST"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}]"
PURPOSE: An overabundance of X chromosomes in testicular germ cell tumors and the identification of the candidate testicular germ cell tumor susceptibility gene TGCT1 on Xq27 highlight the potential involvement of X chromosomes in testicular germ cell tumor pathogenesis.	"TGCT1	161	166	Protein"	"[{""token"": ""TGCT1"", ""start_span"": 161, ""end_span"": 166, ""type"": ""Protein""}]"
The current study was designed to shed light on the question whether the multiple X chromosomes in testicular germ cell tumor are active or inactive through a complex mechanism of X chromosomal gain and XIST expression.	"XIST	203	207	Protein"	"[{""token"": ""XIST"", ""start_span"": 203, ""end_span"": 207, ""type"": ""Protein""}]"
RESULTS: XIST expression was common in seminomatous testicular germ cell tumors ( 2 of 2 or 100% of seminoma derived cell lines and 10 of 12 or 83% of seminomatous testicular germ cell tumor tissues) but not in nonseminomatous testicular germ cell tumors ( 0 of 2 or 0% nonseminoma derived cell lines and 2 of 8 or 25% of nonseminomatous testicular germ cell tumor tissues).	"XIST	9	13	Protein"	"[{""token"": ""XIST"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}]"
In this report the genes encoding gonadotropin subunits alpha, follicle - stimulating hormone ( FSH) beta and luteinizing hormone ( LH) beta of the giant panda were amplified for the first time by RT - PCR from pituitary total RNA, and were cloned, sequenced and analyzed.	"gonadotropin subunits alpha	34	61	Protein"	"[{""token"": ""gonadotropin subunits alpha"", ""start_span"": 34, ""end_span"": 61, ""type"": ""Protein""}]"
Three distinct differences were found at the site of 59 aa of the alpha subunit and 55 aa, 68 aa of FSH beta subunit.	"FSH beta	100	108	Protein"	"[{""token"": ""FSH beta"", ""start_span"": 100, ""end_span"": 108, ""type"": ""Protein""}]"
Erasure of methylation imprinting of Igf2r during mouse primordial germ - cell development.	"Igf2r	37	42	Protein"	"[{""token"": ""Igf2r"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Protein""}]"
The mouse Igf2r gene is an imprinted gene that shows maternal - specific expression.	"Igf2r	10	15	Protein"	"[{""token"": ""Igf2r"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Protein""}]"
Inhibition of complex glycosylation increases the formation of PrPsc.	"PrPsc	63	68	Protein"	"[{""token"": ""PrPsc"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Protein""}]"
Similarly to inhibitors of alpha - mannosidases, geldanamycin stabilized a high mannose PrPC glycoform and prevented the subsequent processing into complex structures.	"PrPC	88	92	Protein"	"[{""token"": ""PrPC"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}]"
Inhibition of complex glycosylation did not interfere with the glycosylphosphatidylinositol ( GPI) anchor attachment and cellular trafficking of high mannose PrPC to the outer leaflet of the plasma membrane.	"PrPC	158	162	Protein"	"[{""token"": ""PrPC"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Protein""}]"
However, the responses of the two templates differ mechanistically in that the CREB - binding protein p300 potentiates activation from the transient template in a manner dependent on its Cys / His - rich region 3, but does not appear to affect the repression of the replicating chromatin template.	"p300	102	106	Protein"	"[{""token"": ""p300"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Protein""}]"
Identification of the ZPC oligosaccharide ligand involved in sperm binding and the glycan structures of Xenopus laevis vitelline envelope glycoproteins.	"ZPC	22	25	Protein"	"[{""token"": ""ZPC"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Protein""}]"
As shown previously, ZPC is the primary ligand for sperm binding to the egg envelope, and this binding involves the oligosaccharide moieties of the glycoprotein ( Biol. Reprod., 62: 766 - 774, 2000).	"ZPC	21	24	Protein"	"[{""token"": ""ZPC"", ""start_span"": 21, ""end_span"": 24, ""type"": ""Protein""}]"
The N - linked glycans of the VE were composed predominantly of a heterogeneous mixture of high - mannose ( 5 - 9) and neutral, complex oligosaccharides primarily derived from ZPC ( the dominant glycoprotein).	"ZPC	176	179	Protein"	"[{""token"": ""ZPC"", ""start_span"": 176, ""end_span"": 179, ""type"": ""Protein""}]"
The consensus sequence for N - linked glycosylation at the evolutionarily conserved residue N113 of the ZPC protein sequence was glycosylated solely with high - mannose oligosaccharides.	"ZPC	104	107	Protein"	"[{""token"": ""ZPC"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Protein""}]"
This conserved glycosylation site may be of importance to the three - dimensional structure of the ZPC glycoproteins.	"ZPC	99	102	Protein"	"[{""token"": ""ZPC"", ""start_span"": 99, ""end_span"": 102, ""type"": ""Protein""}]"
One of the complex oligosaccharides of ZPC possessed terminal beta - N - acetyl - glucosamine residues.	"ZPC	39	42	Protein"	"[{""token"": ""ZPC"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Protein""}]"
The same ZPC oligosaccharide species isolated from the activated egg envelopes lacked terminal beta - N - acetyl - glucosamine residues.	"ZPC	9	12	Protein"	"[{""token"": ""ZPC"", ""start_span"": 9, ""end_span"": 12, ""type"": ""Protein""}]"
We propose that an alteration in the oligosaccharide structure of ZPC by glucosaminidase released from the cortical granule reaction is responsible for the loss of sperm binding ligand activity at fertilization.	"ZPC	66	69	Protein"	"[{""token"": ""ZPC"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Protein""}]"
Recent work has shown that histone methylation is an important regulator of transcription.	"histone	27	34	Protein"	"[{""token"": ""histone"", ""start_span"": 27, ""end_span"": 34, ""type"": ""Protein""}]"
We describe an in vivo role of the Saccharomyces cerevisiae HMT, Set2.	"Set2	65	69	Protein"	"[{""token"": ""Set2"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}]"
A possible role of carbohydrate moieties in prostaglandin D2 and prostaglandin E2 receptor proteins from the porcine temporal cortex.	"prostaglandin D2	44	60	Protein"	"[{""token"": ""prostaglandin D2"", ""start_span"": 44, ""end_span"": 60, ""type"": ""Protein""}]"
