Sentence	entity_1	entity_2	entity_3	entity_4	json	split
Briefly, undiluted native CVF was obtained from women who were of reproductive age ( 18 to 45 years old) and in good general health by using a self - sampling menstrual collection device ( Instead Softcup).	women,48,53,state	reproductive age,66,82,state	18 to 45 years old,85,103,state	good general health,112,131,state	"[{""token"": ""women"", ""start_span"": 48, ""end_span"": 53, ""type"": ""state""}, {""token"": ""reproductive age"", ""start_span"": 66, ""end_span"": 82, ""type"": ""state""}, {""token"": ""18 to 45 years old"", ""start_span"": 85, ""end_span"": 103, ""type"": ""state""}, {""token"": ""good general health"", ""start_span"": 112, ""end_span"": 131, ""type"": ""state""}]"	train
Quantitative Determination of Phenolic Acids and Flavonoids The phenolic acids were evaluated using a five - point calibration curve of ferulic acid at 330 nm, ( R2 = 1, linearity range 00. 21 g), while the flavonoid content was determined using a five - point calibration curve of apigenin at 350 nm ( R2 = 0. 999, linearity range 00. 80 g).	Phenolic Acids,30,44,state	Flavonoids,49,59,state	phenolic acids,64,78,state	flavonoid,207,216,state	"[{""token"": ""Phenolic Acids"", ""start_span"": 30, ""end_span"": 44, ""type"": ""state""}, {""token"": ""Flavonoids"", ""start_span"": 49, ""end_span"": 59, ""type"": ""state""}, {""token"": ""phenolic acids"", ""start_span"": 64, ""end_span"": 78, ""type"": ""state""}, {""token"": ""flavonoid"", ""start_span"": 207, ""end_span"": 216, ""type"": ""state""}]"	train
Inhibition effect of humic acid ( HA) on anaerobic digestion of cellulose and xylan and the mitigation potential of the inhibition were evaluated in controlled fed batch reactors at 30C and a hydraulic retention time ( HRT) of 20days.	anaerobic digestion,41,60,state	controlled fed,149,163,state	batch,164,169,state	30C,182,185,state	"[{""token"": ""anaerobic digestion"", ""start_span"": 41, ""end_span"": 60, ""type"": ""state""}, {""token"": ""controlled fed"", ""start_span"": 149, ""end_span"": 163, ""type"": ""state""}, {""token"": ""batch"", ""start_span"": 164, ""end_span"": 169, ""type"": ""state""}, {""token"": ""30C"", ""start_span"": 182, ""end_span"": 185, ""type"": ""state""}]"	train
Both UASB reactors were filled with a methanogenic inoculum ( 1. 5L) and neutralized lactate - rich artificial medium ( 2L), and then incubated at room temperature ( 2025C).	methanogenic,38,50,state	lactate - rich,85,99,state	room temperature,147,163,state	2025C,166,171,state	"[{""token"": ""methanogenic"", ""start_span"": 38, ""end_span"": 50, ""type"": ""state""}, {""token"": ""lactate - rich"", ""start_span"": 85, ""end_span"": 99, ""type"": ""state""}, {""token"": ""room temperature"", ""start_span"": 147, ""end_span"": 163, ""type"": ""state""}, {""token"": ""2025C"", ""start_span"": 166, ""end_span"": 171, ""type"": ""state""}]"	train
To quantify stability in insects, mature larvae were mono - associated as described above with E. mundtii G2 carrying either pRK1 or pRK62, and returned to conventional grain - honey diet to complete larval and pupal development.	mature,34,40,state	larvae,41,47,state	larval,200,206,state	pupal,211,216,state	"[{""token"": ""mature"", ""start_span"": 34, ""end_span"": 40, ""type"": ""state""}, {""token"": ""larvae"", ""start_span"": 41, ""end_span"": 47, ""type"": ""state""}, {""token"": ""larval"", ""start_span"": 200, ""end_span"": 206, ""type"": ""state""}, {""token"": ""pupal"", ""start_span"": 211, ""end_span"": 216, ""type"": ""state""}]"	train
The diffuse, low - temperature venting area on the northeastern flank of the hydrothermal mound ( Figure S1B) is characterized by patchy dense colonization by siboglinid tubeworms ( Sclerolinum contortum) ( Kongsrud and Rapp, 2012) and small mound - to chimney - like structures ( 1 m tall) of barite ( Figures 1AE), which demonstrate active venting by being partially covered by thick ( several cm), white microbial mats ( Figures 1AD; Figure S2A).	diffuse,4,11,state	low - temperature,13,30,state	barite,294,300,state	active,335,341,state	"[{""token"": ""diffuse"", ""start_span"": 4, ""end_span"": 11, ""type"": ""state""}, {""token"": ""low - temperature"", ""start_span"": 13, ""end_span"": 30, ""type"": ""state""}, {""token"": ""barite"", ""start_span"": 294, ""end_span"": 300, ""type"": ""state""}, {""token"": ""active"", ""start_span"": 335, ""end_span"": 341, ""type"": ""state""}]"	train
K / BxN mice were generated by crossing KRN TCR transgenic mice on the B6 background with NOD mice and maintained at the University of Arizona.	K / BxN,0,7,state	KRN TCR,40,47,state	transgenic,48,58,state	NOD,90,93,state	"[{""token"": ""K / BxN"", ""start_span"": 0, ""end_span"": 7, ""type"": ""state""}, {""token"": ""KRN TCR"", ""start_span"": 40, ""end_span"": 47, ""type"": ""state""}, {""token"": ""transgenic"", ""start_span"": 48, ""end_span"": 58, ""type"": ""state""}, {""token"": ""NOD"", ""start_span"": 90, ""end_span"": 93, ""type"": ""state""}]"	train
In order to better understand the methanogenic communities that are responsible for methane production in acetate - fed MECs operated with current generation, we examined microbial communities and gas production rates in MECs using two different inoculum sources: sediments from a natural bog; and anaerobic digester ( AD) sludge from a local wastewater treatment plant.	methane production,84,102,state	acetate - fed,106,119,state	gas production rates,197,217,state	anaerobic,298,307,state	"[{""token"": ""methane production"", ""start_span"": 84, ""end_span"": 102, ""type"": ""state""}, {""token"": ""acetate - fed"", ""start_span"": 106, ""end_span"": 119, ""type"": ""state""}, {""token"": ""gas production rates"", ""start_span"": 197, ""end_span"": 217, ""type"": ""state""}, {""token"": ""anaerobic"", ""start_span"": 298, ""end_span"": 307, ""type"": ""state""}]"	train
The newborns were followed by monthly stool sampling, periodic laboratory assays and questionnaires regarding breastfeeding, diet, allergies, infections, family history, use of drugs and clinical examinations.	newborns,4,12,state	breastfeeding,110,123,state	allergies,131,140,state	infections,142,152,state	"[{""token"": ""newborns"", ""start_span"": 4, ""end_span"": 12, ""type"": ""state""}, {""token"": ""breastfeeding"", ""start_span"": 110, ""end_span"": 123, ""type"": ""state""}, {""token"": ""allergies"", ""start_span"": 131, ""end_span"": 140, ""type"": ""state""}, {""token"": ""infections"", ""start_span"": 142, ""end_span"": 152, ""type"": ""state""}]"	train
Enlarged lymph nodes demonstrating CD histopathology can occur in isolation ( unicentric CD; UCD) sometimes accompanied by mild symptoms, or at multiple sites ( multicentric CD, MCD) with systemic inflammation and cytokine - driven multi - organ dysfunction.	Enlarged lymph nodes,0,20,state	CD histopathology,35,52,state	systemic inflammation,188,209,state	cytokine - driven multi - organ dysfunction,214,257,state	"[{""token"": ""Enlarged lymph nodes"", ""start_span"": 0, ""end_span"": 20, ""type"": ""state""}, {""token"": ""CD histopathology"", ""start_span"": 35, ""end_span"": 52, ""type"": ""state""}, {""token"": ""systemic inflammation"", ""start_span"": 188, ""end_span"": 209, ""type"": ""state""}, {""token"": ""cytokine - driven multi - organ dysfunction"", ""start_span"": 214, ""end_span"": 257, ""type"": ""state""}]"	train
Results Hypercholesterolemia and drug treatment analysis Hypercholesterolemia was confirmed at 5 weeks of HFD feeding by elevated serum cholesterol levels.	Hypercholesterolemia,8,28,state	Hypercholesterolemia,57,77,state	HFD,106,109,state	elevated serum cholesterol,121,147,state	"[{""token"": ""Hypercholesterolemia"", ""start_span"": 8, ""end_span"": 28, ""type"": ""state""}, {""token"": ""Hypercholesterolemia"", ""start_span"": 57, ""end_span"": 77, ""type"": ""state""}, {""token"": ""HFD"", ""start_span"": 106, ""end_span"": 109, ""type"": ""state""}, {""token"": ""elevated serum cholesterol"", ""start_span"": 121, ""end_span"": 147, ""type"": ""state""}]"	train
Therefore, the present investigation sought to investigate the role of RA in modulating the periodontal microbiome by comparing periodontally healthy individuals with and without RA.	RA,71,73,state	periodontally,128,141,state	healthy,142,149,state	RA,179,181,state	"[{""token"": ""RA"", ""start_span"": 71, ""end_span"": 73, ""type"": ""state""}, {""token"": ""periodontally"", ""start_span"": 128, ""end_span"": 141, ""type"": ""state""}, {""token"": ""healthy"", ""start_span"": 142, ""end_span"": 149, ""type"": ""state""}, {""token"": ""RA"", ""start_span"": 179, ""end_span"": 181, ""type"": ""state""}]"	train
This interval was visually distinct ( light brown, oxidized) from darker, reduced sub - surface sediment.	light brown,38,49,state	oxidized,51,59,state	darker,66,72,state	reduced,74,81,state	"[{""token"": ""light brown"", ""start_span"": 38, ""end_span"": 49, ""type"": ""state""}, {""token"": ""oxidized"", ""start_span"": 51, ""end_span"": 59, ""type"": ""state""}, {""token"": ""darker"", ""start_span"": 66, ""end_span"": 72, ""type"": ""state""}, {""token"": ""reduced"", ""start_span"": 74, ""end_span"": 81, ""type"": ""state""}]"	train
Duplicate serum bottles for all oils and all nitrate concentrations were incubated upside down at 30C for 90 days, while shaking at 80 rpm.	nitrate,45,52,state	upside down,83,94,state	30C,98,101,state	shaking at 80 rpm,121,138,state	"[{""token"": ""nitrate"", ""start_span"": 45, ""end_span"": 52, ""type"": ""state""}, {""token"": ""upside down"", ""start_span"": 83, ""end_span"": 94, ""type"": ""state""}, {""token"": ""30C"", ""start_span"": 98, ""end_span"": 101, ""type"": ""state""}, {""token"": ""shaking at 80 rpm"", ""start_span"": 121, ""end_span"": 138, ""type"": ""state""}]"	train
This study focuses on metabolic transformation of lactate during the acetogenic and methanogenic steps of anaerobic digestion in methane - yielding bioreactors.	acetogenic,69,79,state	methanogenic,84,96,state	anaerobic digestion,106,125,state	methane - yielding,129,147,state	"[{""token"": ""acetogenic"", ""start_span"": 69, ""end_span"": 79, ""type"": ""state""}, {""token"": ""methanogenic"", ""start_span"": 84, ""end_span"": 96, ""type"": ""state""}, {""token"": ""anaerobic digestion"", ""start_span"": 106, ""end_span"": 125, ""type"": ""state""}, {""token"": ""methane - yielding"", ""start_span"": 129, ""end_span"": 147, ""type"": ""state""}]"	train
At pH levels of < 7, samples contain the lactate anion and protonated lactic acid, the sum of which we refer to as lactic acid.	pH,3,5,state	lactate anion,41,54,state	protonated lactic acid,59,81,state	lactic acid,115,126,state	"[{""token"": ""pH"", ""start_span"": 3, ""end_span"": 5, ""type"": ""state""}, {""token"": ""lactate anion"", ""start_span"": 41, ""end_span"": 54, ""type"": ""state""}, {""token"": ""protonated lactic acid"", ""start_span"": 59, ""end_span"": 81, ""type"": ""state""}, {""token"": ""lactic acid"", ""start_span"": 115, ""end_span"": 126, ""type"": ""state""}]"	train
Dilution effects along the chain of lakes following the current and differences in the nutrient load of the ground water at several points along the chain have created a unique trophic gradient from eutrophic to oligotrophic conditions.	Dilution effects,0,16,state	trophic gradient,177,193,state	eutrophic,199,208,state	oligotrophic,212,224,state	"[{""token"": ""Dilution effects"", ""start_span"": 0, ""end_span"": 16, ""type"": ""state""}, {""token"": ""trophic gradient"", ""start_span"": 177, ""end_span"": 193, ""type"": ""state""}, {""token"": ""eutrophic"", ""start_span"": 199, ""end_span"": 208, ""type"": ""state""}, {""token"": ""oligotrophic"", ""start_span"": 212, ""end_span"": 224, ""type"": ""state""}]"	train
Samples from patients with CD were assayed for HHV - 8 infection at diagnosis or flare by either latency - associated nuclear antigen - 1 ( LANA - 1) staining or PCR testing for HHV - 8 DNA of biopsied lymph node tissue.	patients,13,21,state	CD,27,29,state	HHV - 8 infection,47,64,state	flare,81,86,state	"[{""token"": ""patients"", ""start_span"": 13, ""end_span"": 21, ""type"": ""state""}, {""token"": ""CD"", ""start_span"": 27, ""end_span"": 29, ""type"": ""state""}, {""token"": ""HHV - 8 infection"", ""start_span"": 47, ""end_span"": 64, ""type"": ""state""}, {""token"": ""flare"", ""start_span"": 81, ""end_span"": 86, ""type"": ""state""}]"	train
A majority of the women had normal cervical cytology ( 75. 6% ( 62 / 82)) while few had experienced vaginal discharge ( 15. 4% 12 / 78)) or genital ulceration ( 2. 3% ( 2 / 87)) in the last 6 months.	women,18,23,state	normal cervical cytology,28,52,state	vaginal discharge,100,117,state	genital ulceration,140,158,state	"[{""token"": ""women"", ""start_span"": 18, ""end_span"": 23, ""type"": ""state""}, {""token"": ""normal cervical cytology"", ""start_span"": 28, ""end_span"": 52, ""type"": ""state""}, {""token"": ""vaginal discharge"", ""start_span"": 100, ""end_span"": 117, ""type"": ""state""}, {""token"": ""genital ulceration"", ""start_span"": 140, ""end_span"": 158, ""type"": ""state""}]"	train
The filtrate from the 0. 2 m Sterivex filter cartridges ( EMD Millipore, Billerica, MA) used for molecular sampling ( see methods below) was collected into an acid - cleaned 30 mL Nalgene bottle ( Tupas et al., 1994; Joye et al., 2010) for dissolved organic carbon ( DOC) and nitrogen and phosphorous species: total dissolved nitrogen ( TDN), ammonium ( NH4 +), nitrite ( NO2 -), nitrite + nitrate ( NO2 - + NO3 -), total dissolved phosphorous ( TDP), and orthophosphate ( PO4 - 3).	nitrogen,276,284,state	phosphorous,289,300,state	nitrogen,326,334,state	phosphorous,432,443,state	"[{""token"": ""nitrogen"", ""start_span"": 276, ""end_span"": 284, ""type"": ""state""}, {""token"": ""phosphorous"", ""start_span"": 289, ""end_span"": 300, ""type"": ""state""}, {""token"": ""nitrogen"", ""start_span"": 326, ""end_span"": 334, ""type"": ""state""}, {""token"": ""phosphorous"", ""start_span"": 432, ""end_span"": 443, ""type"": ""state""}]"	train
First on March 9th 2011 ( N: 053 44 153 / E: 007 41 943, 3C, overcast), second on March 6th 2012 ( N: 053 44 133 / E: 007 41 989, 9C, sunny).	3C,57,59,state	overcast,61,69,state	9C,130,132,state	sunny,134,139,state	"[{""token"": ""3C"", ""start_span"": 57, ""end_span"": 59, ""type"": ""state""}, {""token"": ""overcast"", ""start_span"": 61, ""end_span"": 69, ""type"": ""state""}, {""token"": ""9C"", ""start_span"": 130, ""end_span"": 132, ""type"": ""state""}, {""token"": ""sunny"", ""start_span"": 134, ""end_span"": 139, ""type"": ""state""}]"	train
Animal weight, food and beverage intake, stool appearance and behaviour were monitored daily.	weight,7,13,state	food and beverage intake,15,39,state	stool appearance,41,57,state	behaviour,62,71,state	"[{""token"": ""weight"", ""start_span"": 7, ""end_span"": 13, ""type"": ""state""}, {""token"": ""food and beverage intake"", ""start_span"": 15, ""end_span"": 39, ""type"": ""state""}, {""token"": ""stool appearance"", ""start_span"": 41, ""end_span"": 57, ""type"": ""state""}, {""token"": ""behaviour"", ""start_span"": 62, ""end_span"": 71, ""type"": ""state""}]"	train
The Loki ' s Castle Vent Field ( LCVF), located at the Arctic Mid - Ocean Ridge ( AMOR) in the Norwegian - Greenland Sea, is a sediment - influenced, basalt - hosted hydrothermal field with emanating fluids with high concentrations of H2S, H2, CH4, and NH4 + ( Pedersen et al., 2010).	basalt,150,156,state	H2S,235,238,state	H2,240,242,state	CH4,244,247,state	"[{""token"": ""basalt"", ""start_span"": 150, ""end_span"": 156, ""type"": ""state""}, {""token"": ""H2S"", ""start_span"": 235, ""end_span"": 238, ""type"": ""state""}, {""token"": ""H2"", ""start_span"": 240, ""end_span"": 242, ""type"": ""state""}, {""token"": ""CH4"", ""start_span"": 244, ""end_span"": 247, ""type"": ""state""}]"	train
Intestines were collected from six birds post mortem from the monitored and control flocks each when the birds were 2 weeks ( monitored: 2W _ 12W _ 6 and control: 2W _ C12W _ C6), 4 weeks ( monitored: 4W _ 14W _ 6 and control: 4W _ C14W _ C6) and 6 weeks ( monitored: 6W _ 16W _ 6 and control: 6W _ C16W _ C6) of age.	post mortem,41,52,state	2 weeks,116,123,state	4 weeks,180,187,state	6 weeks,247,254,state	"[{""token"": ""post mortem"", ""start_span"": 41, ""end_span"": 52, ""type"": ""state""}, {""token"": ""2 weeks"", ""start_span"": 116, ""end_span"": 123, ""type"": ""state""}, {""token"": ""4 weeks"", ""start_span"": 180, ""end_span"": 187, ""type"": ""state""}, {""token"": ""6 weeks"", ""start_span"": 247, ""end_span"": 254, ""type"": ""state""}]"	train
The working concentration range was between 0. 1 and 5 mM. GC Measurements Carbon dioxide and CH4 measurements were performed simultaneously using 7890B GC system with flame ionization detector ( FID) for CH4 and thermal conductivity detector ( TCD) for CO2.	Carbon dioxide,75,89,state	CH4,94,97,state	CH4,205,208,state	CO2,254,257,state	"[{""token"": ""Carbon dioxide"", ""start_span"": 75, ""end_span"": 89, ""type"": ""state""}, {""token"": ""CH4"", ""start_span"": 94, ""end_span"": 97, ""type"": ""state""}, {""token"": ""CH4"", ""start_span"": 205, ""end_span"": 208, ""type"": ""state""}, {""token"": ""CO2"", ""start_span"": 254, ""end_span"": 257, ""type"": ""state""}]"	train
In addition to the active venting barite field, an extinct vent area with barite - rich silica chimneys ( Figure 1G; Figure S2B) is present further to the southwest of the hydrothermal mound ( Figure S1B).	active,19,25,state	barite,34,40,state	extinct,51,58,state	barite,74,80,state	"[{""token"": ""active"", ""start_span"": 19, ""end_span"": 25, ""type"": ""state""}, {""token"": ""barite"", ""start_span"": 34, ""end_span"": 40, ""type"": ""state""}, {""token"": ""extinct"", ""start_span"": 51, ""end_span"": 58, ""type"": ""state""}, {""token"": ""barite"", ""start_span"": 74, ""end_span"": 80, ""type"": ""state""}]"	train
For mucus scores, 0 corresponded to no visible mucus; 1 to occasional and punctate mucus staining in the airways; 2 to presence of ring - like mucus structures in less than 10% of airways; and 3 to presence of ring - like mucus structures in greater than 10% of airways.	no visible mucus,36,52,state	occasional and punctate mucus,59,88,state	ring - like mucus structures,131,159,state	ring - like mucus structures,210,238,state	"[{""token"": ""no visible mucus"", ""start_span"": 36, ""end_span"": 52, ""type"": ""state""}, {""token"": ""occasional and punctate mucus"", ""start_span"": 59, ""end_span"": 88, ""type"": ""state""}, {""token"": ""ring - like mucus structures"", ""start_span"": 131, ""end_span"": 159, ""type"": ""state""}, {""token"": ""ring - like mucus structures"", ""start_span"": 210, ""end_span"": 238, ""type"": ""state""}]"	train
To be eligible for the study, participants had to be female, 18 to 23years old, HIV - 1 uninfected, and sexually active.	female,53,59,state	18 to 23years old,61,78,state	HIV - 1 uninfected,80,98,state	sexually active,104,119,state	"[{""token"": ""female"", ""start_span"": 53, ""end_span"": 59, ""type"": ""state""}, {""token"": ""18 to 23years old"", ""start_span"": 61, ""end_span"": 78, ""type"": ""state""}, {""token"": ""HIV - 1 uninfected"", ""start_span"": 80, ""end_span"": 98, ""type"": ""state""}, {""token"": ""sexually active"", ""start_span"": 104, ""end_span"": 119, ""type"": ""state""}]"	train
Simulating riverbed burial and development of anoxic conditions, sediment microcosm experiments amended with Animas River dissolved organic carbon revealed the release of specific metal pools coupled to microbial Fe - and SO42 - reduction.	anoxic,46,52,state	organic carbon,132,146,state	metal pools,180,191,state	Fe - and SO42 - reduction,213,238,state	"[{""token"": ""anoxic"", ""start_span"": 46, ""end_span"": 52, ""type"": ""state""}, {""token"": ""organic carbon"", ""start_span"": 132, ""end_span"": 146, ""type"": ""state""}, {""token"": ""metal pools"", ""start_span"": 180, ""end_span"": 191, ""type"": ""state""}, {""token"": ""Fe - and SO42 - reduction"", ""start_span"": 213, ""end_span"": 238, ""type"": ""state""}]"	train
SCFAs are among the main products of cheese whey AD and, despite the low alkalinity typical of this waste, Fontana et al. have recently demonstrated the higher efficiency of a two - stage continuous stirred tank reactor ( CSTR) than a single - stage configuration for treating whey permeate and hard - cheese solid waste to produce biogas [ 10].	two - stage,176,187,state	continuous stirred,188,206,state	single - stage,235,249,state	biogas,332,338,state	"[{""token"": ""two - stage"", ""start_span"": 176, ""end_span"": 187, ""type"": ""state""}, {""token"": ""continuous stirred"", ""start_span"": 188, ""end_span"": 206, ""type"": ""state""}, {""token"": ""single - stage"", ""start_span"": 235, ""end_span"": 249, ""type"": ""state""}, {""token"": ""biogas"", ""start_span"": 332, ""end_span"": 338, ""type"": ""state""}]"	train
We recruited in Thailand at Khun Chang Khian ( KCK), a rural Hmong village located one hour from Chiang Mai city, as well as from Mae La ( ML) Camp, a Burmese refugee camp in Tak province located on the Myanmar - Thailand border ( Figure S1).	rural,55,60,state	Hmong,61,66,state	Burmese,151,158,state	refugee,159,166,state	"[{""token"": ""rural"", ""start_span"": 55, ""end_span"": 60, ""type"": ""state""}, {""token"": ""Hmong"", ""start_span"": 61, ""end_span"": 66, ""type"": ""state""}, {""token"": ""Burmese"", ""start_span"": 151, ""end_span"": 158, ""type"": ""state""}, {""token"": ""refugee"", ""start_span"": 159, ""end_span"": 166, ""type"": ""state""}]"	train
